f	Bacteroidaceae	Enterobacteriaceae	Streptococcaceae	Lactobacillaceae	Veillonellaceae	Erysipelatoclostridiaceae	Micrococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Methanobacteriaceae	Marinifilaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	0.951376380098069	0.986454180272142	-5	-5	-5	-5	-5	0.0663632022584946	0.0880190793238638	0.264085514155395	0.418049261100667	1.63962801034967	-5	-5	-5	0.105820041248875	-0.154722075245364	-0.794362640520571	-5
Healthy	1.74783028473047	-5	-5	-5	-5	-5	-5	1.10768268611987	-0.295652121429059	-5	0.579395987303872	-5	0.866621056253241	-5	-5	-5	-5	-5	-5
Healthy	1.72534398472439	-5	-5	-5	-5	-5	-5	0.72205859495003	-0.83374754804584	0.171705981376956	-5	-5	0.458722433800222	-5	-5	-5	-5	-5	-5
Healthy	0.753566207633706	-5	-5	-5	-5	-5	-5	-0.348131049753465	-5	-5	0.279527783292017	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.54219842077457	-5	-0.169411331314856	-5	0.0235939977382082	-5	-5	1.30706473841213	1.01469774850903	-0.134896025358872	-5	-2.79860287567955	-5	-5	-5	-5	-5	-5	-5
Healthy	1.75217425969463	-5	-5	-5	-5	-5	-5	0.684733184327011	1.03859473133614	-0.254175994059787	0.792386786145778	-5	-5	-5	-0.255026763964733	-5	-5	-5	-5
Healthy	1.26817390882452	-1.01587791713889	-1.47781668238131	-1.98088370955293	-5	-5	-5	1.1009571356995	0.564158104275546	-0.385218751858922	-5	0.815250243860085	0.799515610671236	-5	-0.0191833724103408	-0.277942228668536	-1.35076252765039	-1.44708854978349	-0.496331862454351
Healthy	1.66858633555195	-1.07381195089279	-1.77572598570574	-1.35349824996839	-2.22694530663574	-5	-5	1.11779014983648	0.378241599497053	0.84938562719768	-5	-5	-0.15358247041197	-5	-0.488049829624501	0.0957480250442235	-3.2839966563652	-1.29260016886675	-1.4087127349415
Healthy	1.71748543082935	-5	-1.71579493229821	-5	-5	-5	-5	1.24008775247789	0.635095523184499	-0.378605586791193	-5	-5	-0.685858796739429	-5	-0.111511609537604	-1.91470942176993	-0.744076541267099	-5	-1.70136521687556
Healthy	1.14982516181725	-5	-5	-1.07083661679494	-5	-5	-5	1.18079945560002	0.997676399751038	-5	0.469780792850616	-5	-0.0687608572473792	-5	-5	0.123949591081827	-5	-1.15521228117215	-5
Healthy	1.4934093905568	-5	-1.28291227507298	-5	-1.90692869362394	-3.2518119729938	-2.39577394691553	1.18128750658172	1.09551072269155	-0.112343322416142	-5	-0.0835460514500749	0.856505343348038	-0.593527949534324	0.279566570280012	-5	-1.83564714421556	-0.576737737901385	-1.18902860017779
Healthy	1.30116134987843	-5	1.1269644402306	-5	-5	-5	-5	0.975087453435228	-5	1.22148491906009	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.60898703950159	-5	-1.79425445905734	-5	-1.86296254521049	-5	-5	0.37159239488545	1.31658086566086	-0.476578725627368	-0.355541715083896	-0.218474395596606	-0.152785287758974	-5	-0.043010837158594	-0.92161569125181	-1.14697138528701	-0.606389703644708	-5
Healthy	-0.56125202309777	0.375840952758352	-0.462747745749293	-0.961538803821436	-5	-5	-5	1.4491178545749	-5	1.55339155917997	-5	-0.00261361560268669	-5	-5	-5	-5	-5	-0.0813721327862228	-5
Healthy	1.86971428135975	0.177438375806556	-0.917789283398757	-5	-5	-5	-5	0.585977063678932	0.193614295428634	-0.844087310914094	-5	-5	0.412992798904376	-5	-5	-5	-1.01269132626882	-5	-5
Healthy	1.44342916133512	0.411570887173071	-0.368150537840182	-0.861981660385737	0.989411548229137	-1.70289634985074	-1.58972903574782	0.612949069045181	-5	-5	-5	-5	-5	-5	-5	0.559244509416333	-5	-5	-5
Healthy	0.930091305931401	-1.23425695857896	0.0509285617774432	-0.436008977413847	-5	-5	-5	1.54045411318771	-0.174957061303584	1.03998803970842	-5	-1.58037463911226	0.355493663995184	0.218461978766149	-0.488892380040732	-0.857798309836487	-5	-1.79805693659835	-5
Healthy	1.24487037494188	-5	-0.544591684757714	-5	-5	-0.963411023244595	-5	0.730895274398542	0.462311130315528	-1.37768233916616	-5	0.270571704722232	0.51030232728663	0.90543588720795	0.910634008346503	-1.34553466647985	-0.210553262965207	-1.9017024635053	-0.893367211079884
D014376	1.7928445205479	0.443175337205447	-1.61834351741421	-5	-1.40982716840369	-1.55767704425443	-5	1.25278824590968	-0.0778768490770577	-5	0.602701187857597	-5	-5	-5	-5	-5	-1.72330847115496	-5	-5
Healthy	1.62736421774254	-5	-1.10773839308446	-5	-5	-5	-5	1.41598657678453	0.423257345715005	0.320561680195237	0.193238724856175	-5	-5	-5	-5	-0.767664722914346	-5	-5	-5
D014376	0.700774651884603	0.497606840516214	-0.72736948410596	-0.707588851162175	-2.32422165832591	-0.880051639969078	-2.21968268785985	-0.865536008465711	-5	-5	-5	-5	-5	-5	-5	-5	-5	-3.05060999335509	-5
Healthy	1.23899524129313	1.22703810241191	-5	-5	-5	-5	-5	1.29766532782319	0.753411451864336	-5	-5	0.74214280216862	0.46037156183465	-5	-5	-0.300812902691751	-5	-5	-5
Healthy	1.39981973061662	-1.30381841283148	-1.06570359318059	-2.3585258894959	-1.25328797748334	-5	-5	1.31259663335331	0.719140619695214	-1.61136603064821	0.521164245234233	-5	0.505339940604518	-5	0.104521252618329	0.357871984039196	-5	-0.543679524625626	-5
Healthy	1.58969118064357	-1.59142087459133	-5	-5	-5	-5	-5	0.792191307435894	0.837224058796229	-0.163068550109335	-5	0.766518433276982	-5	-5	-5	-5	-0.620730750526353	-5	-5
Healthy	1.07148359866083	1.33662401418808	0.091846264855252	-5	-1.36101184065632	-0.545246580034338	-5	1.26187639673694	0.557983341397184	-1.65757731917779	-5	0.218672021321886	0.573923549338574	-0.0989123766000521	-0.0631445861152637	-0.4678318683063	-1.34208406317004	-5	-5
Healthy	1.09518156034197	-5	-0.559515979176601	-5	0.236479318104428	-5	-5	1.59537506542604	-0.910094888560602	0.358808271489324	0.49474716856849	-5	-5	-5	-5	-0.146356534676225	-5	-1.9613798380503	-5
Healthy	1.25872082968974	0.811735155939139	-0.722757627218642	-5	-5	-5	-5	0.640088704941548	0.935657378806223	-0.0322087372703593	-5	1.30050874675137	-0.230984736872638	-0.265824467335679	-5	-5	-0.142926951366022	-5	-5
Healthy	1.476263690349	-5	-1.48558507941963	-5	-5	-5	-5	1.3757118865383	0.506372423814909	0.558809334357925	-0.00398770325701485	-1.06108018775523	-5	-5	-0.0417659044388201	-0.856080061614163	-5	-5	-5
Healthy	1.75222451277329	-0.981674054597079	-5	-5	-5	-5	-5	1.18324449723243	0.374574226824472	0.339544849295641	-5	-0.392009141452825	-0.963411023244595	-5	-5	-5	-5	-5	-1.70487291474781
Healthy	1.62225993759292	-1.00117418095971	-5	-5	-0.673787070000569	-5	-5	1.01488034167546	0.221416846209772	0.00361991650831003	-5	-1.06429125215734	-5	-5	-0.400433488998382	-1.10712659311123	-0.606021397348228	-1.23010596418783	-5
Healthy	1.31508932424031	-5	-0.731913695552616	-5	-5	-1.18601892436353	-5	1.15191322113061	-0.533399263703119	-1.53895190832934	0.498321583350671	1.68812791006636	-5	-5	-5	-5	-5	-5	-5
Healthy	1.42352406105931	-1.0315637522883	-0.817328613324521	-5	-1.19551981089401	-5	-3.39794000867204	1.14402562286898	0.620538918337038	0.542963533042303	-5	-1.60101893334187	0.0273944621654235	-0.194444773478747	0.0623713661435777	-1.03226486821612	-1.10941133229451	-2.77211329538633	-1.05497479875754
