group	Prevotella	Phytobacter	Ruminococcus_B	Streptococcus	Veillonella	Parasutterella	Faecalimonas	Muricomes	Longicatena	Rothia	Prevotella	Enterocloster	Phascolarctobacterium	Anaerostipes	Haemophilus_D	Flavonifractor	Intestinibacter	Parasutterella	Clostridium_Q	Gordonibacter
Healthy	0	9.6929	0	0	0	0.00566	0	0.03971	0.12586	0	0	0.08449	0	0	0	0.06834	0	0.00566	0.02643	0.14655
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.42454	0	0	0	0	0	0	0	0
Healthy	0	0	0.1082	0	0	0	0	0	0	0	0	0.13261	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.67699	1.05582	0	0	0	0	0	0	0.09083	3.38321	0.12645	2.17012	0.01846	0	0	0	0
Healthy	0	0	1.66869	0	0	0.15992	0	0	0.30369	0	0	0.04318	0	0	0	0.08412	0	0.15992	0	0
Healthy	3.75336	0.0964	0.00021	0.00766	0	0.00359	0	0	0.00153	0	3.75336	2.12831	0	0.25806	0	0.02483	0	0.00359	0	0.03571
Healthy	0	0.03109	0.09418	0.01675	0.00592	0.00297	0.00857	0	0.00832	0	0	1.42967	0	0.1248	0.00554	0.01242	0.11958	0.00297	0	0
Healthy	3.98774	0	0.0054	0.01923	0	0.0108	0.05007	0	0	0	3.98774	0.05673	0	0	0	0.0292	0	0.0108	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.06939	0	0	0	0	0	0	0	0
Healthy	19.4628	0	0.0538	0.05212	0.01238	0.01728	0	0	0.0148	0.00401	19.4628	0.48892	0	1.3466	0	0.01615	0	0.01728	0	0
Healthy	0.30528	0	3.07044	13.39566	0	0	0	0	0	0	0.30528	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.01605	0.0137	0.0282	0	0.03231	0	0	0	0.13189	0	0	0.07188	0	0	0.0282	0	0
Healthy	0	1.55766	0.35078	0	0	0	0	0	0	0	0	3.36158	0	0.12332	0	0	0	0	0	0
Healthy	0	0.27181	0	0.12083	0	0.09287	0	0.10584	0	0	0	2.4787	0	0	0	0.5544	0	0.09287	0.17017	0
Healthy	0	2.53141	3.954	0.42839	3.45176	0	0.00418	0	0.00177	0.02571	0	0	0	0	0.02253	0.07648	0	0	0	0
Healthy	0	0.05193	0.19024	0.94356	0	0.05064	0	0	0	0	0	2.86464	1.5845	0.25623	0.07896	0.0081	0.43689	0.05064	0	0
Healthy	6.10752	0	0	0.28536	0	0.00025	0	0	0.01055	0	6.10752	0.66391	0	0.18994	0	0.05285	0	0.00025	0	0.01167
D014376	0.00452	2.75655	0	0.02407	0.03891	0	0	1.03958	0.03864	0	0.00452	14.49397	0	0	0	0.17278	0.01067	0	0	0
Healthy	0	0	0	0.07802	0	0.05761	0	0	0	0	0	0.04738	0	0.79942	0.13175	0	0.21074	0.05761	0	0
D014376	0.02166	3.13947	0.00533	0.18733	0.00473	0	0.0057	0.05366	0.00615	0.00602	0.02166	0.01928	0	0	0	0	0.12095	0	0.03225	0
Healthy	9.43514	16.867	0	0	0	0	0	0	0.21262	0	9.43514	0.11305	2.26583	0	0	0	0.30973	0	0	0
Healthy	0.00036	0.04967	0	0.07901	0.0558	0.02467	0	0	0.00655	0	0.00036	1.5754	0	0.18091	0	0.00964	1.78824	0.02467	0	0.01356
Healthy	0	0.02561	0	0	0	0.05902	0	0	0.00492	0	0	5.96047	0	0	0	0.41484	0	0.05902	0.03504	0
Healthy	0	21.7082	0.11064	0.45475	0.04354	0	0.12966	0.01555	0	0	0	1.35038	1.95356	0.30278	0.34385	0	0.05105	0	0.08165	0
Healthy	0	0	0	0.27572	1.72376	0.12175	0	0	0	0	0	0.60223	0	1.55228	2.16962	0	4.77347	0.12175	0	0
Healthy	6.96922	6.48238	0	0.18933	0	0.04911	0	0	0	0	6.96922	1.83281	1.04876	0	0	0.79294	0	0.04911	0	0
Healthy	0	0	0	0.03268	0	0.0283	0	0	0	0	0	0.15367	0	0.15727	0.09129	0	0.4766	0.0283	0	0
Healthy	32.1609	0.1043	0	0	0	0.32161	0	0	0	0	32.1609	0.21058	3.27575	0.04517	0	0	0	0.32161	0	0
Healthy	0	0.09972	0	0	0.21193	0.01507	0	0	0	0	0	0.10483	0	0.13423	0	0.17117	0	0.01507	0	0.00211
Healthy	0	0	0.01067	0.18538	0	0	0	0	0.1217	0	0	2.8838	0	0.77688	0	0.01067	0	0	0	0
Healthy	0.00254	0.00443	0	0.12713	0.06374	0.18042	0	0	0.00141	0.00039	0.00254	0.67854	2.67443	0.08035	0.10937	0.08463	0.02211	0.18042	0	0.00019
Healthy	0	0.21745	0.60085	0.17857	0.30547	0.04446	0	0	0	0	0	0.19353	0	0.98045	0	0	0	0.04446	0	0
Healthy	0	0	0	0.00266	0	0.19327	0	0	0	0	0	0.71649	0	0.35696	0	0.05382	0	0.19327	0	0.01691
Healthy	0	0	0	0	0	0.002	0	0	0.0123	0	0	0.16007	0	0	0	0.20742	0	0.002	0	0.05095
Healthy	26.4523	0	0	0.1302	0	0	0	0	0	0	26.4523	0.02364	0	0.65154	0	0	0	0	0	0
Healthy	0	0.91721	19.5045	0.00104	0.04024	0	0	0	0	0	0	0	0	0.00655	0	0.04847	0	0	0	0
