s	Prevotella_copri_A	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phytobacter_ursingii	Ruminococcus_B_gnavus	Streptococcus_parasanguinis_D	Veillonella_atypica	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Alistipes_putredinis	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Akkermansia_muciniphila_D	Lachnospira_eligens_B	Barnesiella_intestinihominis	Ruminiclostridium_E_siraeum	Roseburia_sp900552665	Roseburia_hominis	Mediterraneibacter_lactaris
Healthy	-5	-5	-5	0.986454180272142	-5	-5	-5	-5	-5	-5	-0.71810344975394	-5	0.256919696449344	1.63962801034967	-2.94692155651658	-5	-0.362810577851238	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.295652121429059	-0.075400281489385	-5	-5	-1.51272018355693	0.866621056253241	-5	0.899422125331053	-5	-0.458657935609943
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.83374754804584	-1.02867775475719	0.171705981376956	-5	0.35488025902298	0.458722433800222	0.111165021757667	-5	-5	0.258627706113928
Healthy	-5	-5	-5	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-0.329225520373139	-0.200804239506554	-1.75522823850471	-5	-5	0.90899568475106	0.373215534966044	-0.134896025358872	-2.79860287567955	-0.0654964988499561	-5	-5	-1.07628980560344	0.195943909464393	-5
Healthy	-5	-5	-5	-5	0.222378265944956	-5	-5	-5	-5	-5	0.968106396806949	0.226166683429083	-5	-5	-5	-5	-5	0.0108509573739229	-5	-1.03824678581322
Healthy	0.571630814800817	-5	-5	-1.01587791713889	-3.65757731917779	-2.74714696902011	-5	-5	-5	-5	0.216377057988173	0.355198570996061	-1.63978538670465	0.815250243860085	-0.9456934341516	0.799515610671236	-0.327052864653497	-0.660131359415349	-0.18160253455865	0.30554267487446
Healthy	-5	1.54997271693937	-5	-1.50723961097316	-1.02599520310259	-2.431798275933	-5	-5	-5	-2.36451625318509	0.338133641034116	0.0253837035262303	0.846837314327683	-5	-1.46826569072345	-0.15358247041197	-2.77211329538633	0.336209492134949	-2.01547268665621	-1.00753485219196
Healthy	-1.42608455957845	1.1630154919605	0.0989308535263082	-5	-2.26680273489343	-5	-5	-5	-5	-5	0.590282172556603	-5	-0.378605586791193	-5	1.00059500994851	-0.685858796739429	0.884362552546645	0.799546618096856	-5	-5
Healthy	-5	-5	0.912645513058822	-5	-5	-5	-5	-5	-5	-5	0.680245743900049	0.651607487481262	-5	-5	0.506349416162233	-0.0687608572473792	-5	-0.131050076200985	-5	-1.44635966376865
Healthy	1.2892055429926	-5	-5	-5	-1.26913700795351	-5	-5	-5	-2.39577394691553	-5	1.01536855858652	0.480235534517375	-0.916175003946663	-0.0835460514500749	-0.39099287211093	0.856505343348038	-5	0.0714511796623383	-0.435404943375162	0.0852941467814013
Healthy	-0.515287421105683	-5	-5	-5	0.487202029612374	-5	-5	-5	-5	-5	-5	-5	1.22148491906009	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	1.38913789862436	-5	-5	-5	-5	-5	-5	-5	1.18995355729989	-0.193243611348028	-0.476578725627368	-0.218474395596606	-0.469685017679468	-0.152785287758974	-5	-5	-1.65227978296596	-1.44977164694491
Healthy	-5	-5	-5	0.192475455673402	-0.454952795598816	-5	-5	-5	-5	-5	-5	1.01097843562859	1.55339155917997	-0.00261361560268669	0.127813998776952	-5	-0.797130412284789	-5	-0.756589858346289	-5
Healthy	-5	-5	-5	-0.565718591863699	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.412992798904376	-5	-5	-5	-5
Healthy	-5	-5	-5	0.403364207011209	0.597037763343695	-0.487515724122098	-0.482870109266796	-5	-1.58972903574782	-1.94730605807503	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-1.28449805470672	-0.720675334557389	-1.0007389288869	-5	-5	-5	-5	-2.70774392864352	1.12165864068844	1.03791271517197	-1.58037463911226	-0.923286755309975	0.355493663995184	-1.08107890990866	-0.339779805180208	-1.70071066591232	-5
Healthy	0.784593045630268	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.146819254385544	-0.906963747054837	-1.52665903581406	0.270571704722232	-1.19415945118533	0.51030232728663	0.383077156157465	-0.576639421915023	-0.486729115534484	-5
D014376	-2.34390179798717	-5	-5	0.440367449884514	-5	-1.91399629438162	-1.59980751140742	-5	-5	-2.13253251214095	-0.0778768490770577	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	0.760019669497378	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.22840061537815	0.320561680195237	-5	-0.0520274207542199	-5	0.0600213249091543	-0.162316885787969	-0.339248325852808	-0.965692470403437
D014376	-1.73541827076192	-4	-1.65757731917779	0.496857720738115	-2.27245874297144	-1.8965383779053	-2.41116827440579	-5	-2.21968268785985	-1.84133601918601	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.97474880896883	-5	-5	1.22703810241191	-5	-5	-5	-5	-5	-5	0.692898890557778	-0.179437326225574	-5	0.74214280216862	0.25333315826243	0.46037156183465	-1.65384269776799	-0.496986023155788	-5	-0.411269024501929
Healthy	-5	1.04891973056033	-5	-1.30381841283148	-5	-1.35644863143705	-5	-5	-5	-5	0.592301141070598	0.87035005410714	-1.86106605974308	-5	0.395864340247071	0.505339940604518	1.09237356156773	-0.0554630444322364	-1.5567370125413	0.248860577400447
Healthy	-5	-5	-5	-1.59142087459133	-5	-5	-5	-5	-5	-5	0.749063488247508	-5	-0.163068550109335	0.766518433276982	-1.31975516295739	-5	0.755196216792059	-5	-5	-5
