group	Bacteroidia	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Actinomycetia	Gammaproteobacteria	Negativicutes	Verrucomicrobiae	Bacilli	Methanobacteria	Coriobacteriia	Desulfovibrionia
Healthy	13.19395	9.98856	0.70028		13.19395	6.83724	0.01649	9.98856	2.61847	43.6142	0.18247	0	1.43645	0.70028
Healthy	72.2396	0.05238	0		72.2396	13.88306	0	0.05238	3.7966	0	0	0	0	0
Healthy	57.87419	0	0		57.87419	8.04962	0	0	0	0	0	0	0	0
Healthy	5.66977	0	0		5.66977	3.2063	1.80362	0	1.90338	0	0	0	0	0
D014607	85.0521	6.48865	0.00607		85.0521	6.57311	0	6.48865	0	0.00888	0	0	0.22169	0.00607
Healthy	47.14362	8.249	0		47.14362	26.42466	0.81149	8.249	4.43903	0.00158	0.69617	0	0	0
Healthy	69.59291	0.15992	0		69.59291	7.39766	0.38055	0.15992	6.19992	0	0.32099	0	0	0
Healthy	31.15765	2.78953	0.04458		31.15765	15.49563	0.49944	2.78953	0	6.53506	0.10396	0	0.563	0.04458
Healthy	51.65985	0.09287	0.00051		51.65985	29.18062	0.82039	0.09287	0.00592	0	0.07363	0	1.29762	0.00051
Healthy	58.6519	0.0108	0.18026		58.6519	28.78854	0	0.0108	0.30386	0	0.01923	0	0.01216	0.18026
Healthy	25.65235	1.7984	0		25.65235	33.73581	22.04304	1.7984	2.94971	0	0.08494	0	1.40023	0
Healthy	56.36691	1.79202	0.01459		56.36691	22.11296	0.72003	1.79202	0.01238	0.82499	0.75887	0.25495	0.265	0.01459
Healthy	23.10218	0	0		23.10218	29.89807	11.8332	0	0	0	13.39566	0	0	0
Healthy	67.84814	0.13843	0.07128		67.84814	10.34048	0	0.13843	0.45471	0.60467	0.01605	0	0.36728	0.07128
Healthy	0.27462	11.43909	0		0.27462	65.55638	8.62726	11.43909	0	0.99399	1.32629	0	0.82913	0
Healthy	86.76674	1.59752	0.09711		86.76674	7.32847	0.22932	1.59752	0	0	0.17548	0	0	0.09711
Healthy	64.33041	2.78402	0		64.33041	4.18008	12.81222	2.78402	9.75913	0	0.69145	0	3.62446	0
D014607	84.77283	0.22152	0		84.77283	11.01699	0.69634	0.22152	0	0	0.01258	0	0.03411	0
Healthy	13.80299	0.1879	0		13.80299	59.47244	1.14938	0.1879	1.5845	0.02627	2.75295	1.65371	0.15464	0
Healthy	34.77124	1.19055	0.6158		34.77124	9.24266	0.17058	1.19055	0	1.86453	0.47306	8.04332	0.05765	0.6158
Healthy	45.30071	0.18936	0		45.30071	34.33585	3.09685	0.18936	1.5604	0	0.74219	0	0.17073	0
Healthy	26.92825	16.867	0		26.92825	26.56389	2.47727	16.867	2.26583	5.52258	2.86958	0	0.50024	0
Healthy	35.10278	0.07434	0		35.10278	47.64267	0.3282	0.07434	3.37599	0	0.12167	0	2.56562	0
Healthy	48.16875	0.18263	0.23947		48.16875	17.49621	0	0.18263	0	5.84141	0.02265	0	0	0.23947
Healthy	20.83528	23.59619	0.04548		20.83528	24.58581	12.85417	23.59619	1.9971	1.65451	5.28737	0.79631	0.34053	0.04548
Healthy	12.59463	2.29137	0		12.59463	55.79246	2.73178	2.29137	4.84801	0	2.279	0	0.72482	0
Healthy	29.16997	6.53149	0.71956		29.16997	9.56664	0	6.53149	1.04876	19.976	0.2058	0.54221	0	0.71956
Healthy	34.23946	0.11959	0		34.23946	32.98286	9.87554	0.11959	0.99085	0.08687	0.49563	0	0.13928	0
Healthy	67.32252	0.42591	0		67.32252	17.90698	0	0.42591	3.29726	0.40549	0	0	0	0
Healthy	46.13277	0.11479	0.24772		46.13277	31.23049	0	0.11479	0.21193	0.08623	0.02068	0	0.13699	0.24772
Healthy	21.17389	0	0		21.17389	17.0801	0.34594	0	3.15007	48.7672	0.45389	0	0	0
Healthy	39.6002	0.43006	0.07772		39.6002	28.40003	0.60823	0.43006	2.73817	0.02505	1.63427	0.63907	0.09451	0.07772
Healthy	17.14225	0.26191	0		17.14225	46.69578	24.34814	0.26191	0.30547	0	0.17857	0	0.8977	0
Healthy	34.70987	0.19327	0.07473		34.70987	26.05212	3.39236	0.19327	0	1.65301	0.00266	0.18038	0.45568	0.07473
Healthy	56.87795	0.002	0.10324		56.87795	13.87038	5.62643	0.002	0	0	0.03714	0.08119	0.81405	0.10324
Healthy	54.17995	4.30761	0.08008		54.17995	22.23502	0.20527	4.30761	0.50975	0	0.1302	0	1.45829	0.08008
Healthy	24.69327	0.91721	0.01514		24.69327	20.69677	25.1842	0.91721	7.32293	0	0.29529	0	5.75242	0.01514
Healthy	63.4987	1.53674	0.15405		63.4987	14.20783	0.50195	1.53674	0.41868	0	0.01765	0.18758	0.20705	0.15405
Healthy	52.08938	2.21801	0.09305		52.08938	25.91353	0.25829	2.21801	2.04301	0.62975	0.58159	0.07048	0.08695	0.09305
Healthy	40.44836	0.29448	0		40.44836	31.11105	0.46911	0.29448	0.04899	0.03917	1.11176	0	0.37727	0
Healthy	48.12186	0.45536	0.0012		48.12186	17.53068	5.86576	0.45536	10.27783	1.1655	0.80843	0	0.9363	0.0012
Healthy	55.96175	0.01115	0.05871		55.96175	23.37749	5.61783	0.01115	0.00079	0.07252	0.09202	0.52921	1.71689	0.05871
Healthy	76.93222	0.38872	0.07883		76.93222	6.6307	0.65786	0.38872	6.47807	0	0.163	0	0.14288	0.07883
Healthy	9.78837	27.78192	0.13184		9.78837	0.33418	53.679	27.78192	3.2176	0	3.50436	0	0.12	0.13184
Healthy	47.09899	0	0.08855		47.09899	25.23882	0.99682	0	0	4.64535	1.20542	2.8803	0	0.08855
Healthy	89.10926	0.46306	0.00251		89.10926	2.56496	0	0.46306	3.3587	0	0.24408	0	0.15444	0.00251
Healthy	53.12384	1.28454	0.037		53.12384	35.90349	0	1.28454	0	0.02478	0.14314	0	0.01631	0.037
Healthy	30.60738	6.40698	0.65549		30.60738	9.89037	0	6.40698	1.00509	20.014	0.27287	0.54614	0	0.65549
Healthy	44.45977	0.1002	0.05737		44.45977	5.85974	0	0.1002	0	0	0	0	0.102	0.05737
Healthy	39.3006	0	0.02658		39.3006	25.37276	0.09522	0	0.6028	1.13725	0	15.6428	0.06941	0.02658
Healthy	41.24657	16.45125	0		41.24657	16.98491	0	16.45125	0	0	0.14265	0.32705	0	0
Healthy	86.758	1.75402	0.09831		86.758	7.64421	0.22191	1.75402	0	0	0.10243	0	0	0.09831
Healthy	12.46553	0	0		12.46553	68.26649	0	0	5.12865	0.00932	0.11515	3.21156	0	0
Healthy	76.44017	0.33784	0.10029		76.44017	6.84408	0.6206	0.33784	6.53381	0	0.14147	0	0.19064	0.10029
Healthy	9.7859	1.75061	0		9.7859	24.61586	22.56278	1.75061	2.39552	0	18.28259	1.04718	2.82554	0
Healthy	42.18549	15.52302	0.03635		42.18549	19.25723	5.0595	15.52302	2.17174	0	2.16373	0	1.73487	0.03635
Healthy	68.34488	0.12857	0		68.34488	7.33314	0.38779	0.12857	6.35013	0	0.24099	0	0	0
Healthy	75.43383	5.97118	0.20315		75.43383	5.42433	0.49252	5.97118	0	0	0.09705	0	0.31594	0.20315
Healthy	33.84867	13.22994	0		33.84867	11.78326	0	13.22994	11.5958	0.54368	0.2213	0.60936	0	0
Healthy	52.57168	1.43022	0.0924		52.57168	24.09324	0	1.43022	0.22524	1.91855	0.0141	0.01981	0.21172	0.0924
Healthy	56.34078	2.29813	0		56.34078	14.05663	5.17804	2.29813	0.01956	0	0.31709	0	0.00368	0
Healthy	20.22819	0.22236	0.06614		20.22819	40.22476	9.82654	0.22236	4.07963	0	0.62807	0	0.20396	0.06614
Healthy	34.97998	0.0093	0.28312		34.97998	33.73335	0.73193	0.0093	2.25084	0.87446	2.38221	0	1.11002	0.28312
Healthy	54.76138	1.16431	0		54.76138	21.43478	2.58432	1.16431	0	1.83608	0	0.54243	0.44391	0
Healthy	66.122	3.85255	0.01952		66.122	17.55031	0.50518	3.85255	4.777	0	0.19801	0	0	0.01952
Healthy	65.39898	0.2284	0		65.39898	9.97554	0	0.2284	0	7.69718	0	0	0	0
Healthy	76.52103	1.37665	0.04377		76.52103	8.60875	0.00669	1.37665	0	0	0.06404	0	0.31466	0.04377
Healthy	53.00535	0.43492	0.32464		53.00535	16.09551	0.13549	0.43492	0	5.35516	0	0	0.23162	0.32464
Healthy	75.97442	0.6141	0.00721		75.97442	8.39604	0	0.6141	2.69249	0	0.00291	0	0	0.00721
Healthy	43.89442	2.13381	0.08954		43.89442	22.17331	8.08516	2.13381	0.15028	4.75004	2.45663	0.00715	1.00781	0.08954
Healthy	54.50736	1.33336	0.17895		54.50736	7.2027	0.02207	1.33336	9.30256	7.16262	0.35675	0	0.69144	0.17895
Healthy	36.60204	1.87309	0.14804		36.60204	51.38719	2.3021	1.87309	0.81794	0.03189	0.02683	0.05897	0.41073	0.14804
Healthy	2.1963	0	0		2.1963	84.8431	0	0	0.2624	0	3.05681	2.07917	3.68311	0
Healthy	88.99303	0.54121	0		88.99303	2.63585	0	0.54121	3.36743	0	0.24293	0	0.14868	0
