group	Bacteroidaceae	Rikenellaceae	Enterobacteriaceae	Burkholderiaceae	Marinifilaceae	Acidaminococcaceae	Selenomonadaceae	Desulfovibrionaceae	Pasteurellaceae	Lactobacillaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae
Healthy	8.94079	1.22466	9.6929	0.29566	0	0	0	0.70028	0	0	1.16509	9.6929	0.29566	0	0	0	0.18247	0	0	0
Healthy	55.95388	0.50622	0	0.05238	0	0	0	0	0	0	12.81393	0	0.05238	0	0	0	0	0	0	0
Healthy	53.1305	0.14663	0	0	0	0	0	0	0	0	5.273	0	0	0	0	0	0	0	0	0
Healthy	5.66977	0	0	0	0	0	0	0	0	0	0.4486	0	0	0	0	0	0	0	0	0
D014607	82.63874	2.27229	0.5978	5.83104	0	0	0	0.00607	0	0	0.77676	0.5978	5.83104	0	0	0	0	0	0	0
Healthy	34.84964	10.34421	0	6.07888	0	3.38321	0	0	2.17012	0	20.27984	0	6.07888	0	0.67699	3.38321	0.01918	1.05582	2.17012	0
Healthy	56.51636	10.92935	0	0.15992	0.55586	0	0	0	0	0	4.83874	0	0.15992	0	0	0	0.32099	0	0	0
Healthy	18.54273	3.6657	0.0964	2.69313	0.95678	0	0	0.04458	0	0.01044	12.61702	0.0964	2.69313	0	0.03327	0	0.06025	0	0	0.01044
Healthy	46.6215	2.38913	0.08436	0.00297	0.32504	0	0	0.00051	0.00554	0.0443	13.11565	0.08436	0.00297	0	0.01675	0	0.01258	0.00592	0.00554	0.0443
Healthy	52.17775	4.31613	0	0.0108	0.77354	0	0.30386	0.18026	0	0	17.38151	0	0.0108	0	0.01923	0	0	0	0	0
Healthy	14.11968	9.94663	0	1.7984	0	0	0	0	0	0.08494	15.16349	0	1.7984	0	0	0	0	0	0	0.08494
Healthy	31.1465	12.45978	0	1.79202	1.90355	0	0	0.01459	0	0	15.18054	0	1.79202	0.25495	0.05212	0	0.7062	0.01238	0	0
Healthy	20.00604	0	0	0	0	0	0	0	0	0	9.4425	0	0	0	13.39566	0	0	0	0	0
Healthy	40.64311	20.72911	0	0.0282	0.9057	0	0	0.07128	0.07188	0	2.35283	0	0.0282	0	0.01605	0	0	0.0137	0.07188	0
Healthy	0.27462	0	2.37596	0	0	0	0	0	0	0.10925	28.12663	2.37596	0	0	0.34454	0	0	0	0	0.10925
Healthy	74.08226	1.56175	1.50465	0.09287	0	0	0	0.09711	0	0	3.85457	1.50465	0.09287	0	0.12083	0	0.05465	0	0	0
Healthy	27.76061	0	2.5797	0	0	0	0	0	0.02253	0.1374	4.10155	2.5797	0	0	0.42839	0	0.00177	9.75913	0.02253	0.1374
D014607	77.03658	4.15784	0.05002	0.16504	1.50009	0	0	0	0.00646	0.00437	2.12749	0.05002	0.16504	0	0.00821	0	0	0	0.00646	0.00437
Healthy	8.51316	0.6684	0.0583	0.05064	0.32441	1.5845	0	0	0.07896	0.36642	34.70995	0.0583	0.05064	1.65371	1.12441	1.5845	1.20177	0	0.07896	0.36642
Healthy	17.57398	2.89941	0	1.19055	8.14017	0	0	0.6158	0	0	5.38139	0	1.19055	8.04332	0.28536	0	0.07892	0	0	0
Healthy	42.39983	2.65006	0	0.05761	0	0	0	0	0.13175	0	26.06072	0	0.05761	0	0.07802	0	0.66417	0	0.13175	0
Healthy	17.33784	5.66775	16.867	0	0	2.26583	0	0	0	0	19.84564	16.867	0	0	0	2.26583	0.71151	0	0	0
Healthy	25.10843	5.23769	0.04967	0.02467	1.27209	0	0	0	0	0.00437	20.53981	0.04967	0.02467	0	0.08595	0	0.00655	0.0558	0	0.00437
Healthy	38.87685	6.87422	0.02561	0.15702	0	0	0	0.23947	0	0	6.19713	0.02561	0.15702	0	0	0	0.02265	0	0	0
Healthy	11.78917	3.61395	21.7082	0.12934	0.86467	1.95356	0	0.04548	0.34533	0	18.27579	21.7082	0.12934	0.79631	1.2355	1.95356	3.65654	0.04354	0.34533	0
Healthy	12.45034	0.12299	0	0.12175	0	0	0	0	2.16962	0	39.389	0	0.12175	0	0.27572	0	2.00328	1.72376	2.16962	0
Healthy	18.14348	8.62297	6.48238	0.04911	0	1.04876	0	0.71956	0	0	4.36604	6.48238	0.04911	0.54221	0.18933	1.04876	0.01647	0	0	0
Healthy	29.94081	3.20901	0	0.0283	0.9083	0	0	0	0.09129	0	23.75263	0	0.0283	0	0.03268	0	0.46295	0	0.09129	0
Healthy	56.5229	2.36904	0.1043	0.32161	0	3.27575	0	0	0	0	15.2491	0.1043	0.32161	0	0	3.27575	0	0	0	0
Healthy	41.90442	1.665	0.09972	0.01507	0.3977	0	0	0.24772	0	0	10.34856	0.09972	0.01507	0	0	0	0.02068	0.21193	0	0
Healthy	20.65804	0.29281	0	0	0	0	0	0	0	0	14.18773	0	0	0	0.18538	0	0.20336	0	0	0
Healthy	26.51697	4.17386	0.09298	0.19046	1.15443	2.67443	0	0.07772	0.10937	0	13.93238	0.09298	0.19046	0.63907	0.15228	2.67443	1.46121	0.06374	0.10937	0
Healthy	7.77903	7.48688	0.21745	0.04446	0	0	0	0	0	0	26.51074	0.21745	0.04446	0	0.17857	0	0	0.30547	0	0
Healthy	16.88011	10.55098	0	0.19327	1.48318	0	0	0.07473	0	0	17.91379	0	0.19327	0.18038	0.00266	0	0	0	0	0
Healthy	40.12699	13.90556	0	0.002	0	0	0	0.10324	0	0	3.84486	0	0.002	0.08119	0.02484	0	0.0123	0	0	0
Healthy	42.92261	3.22808	0	4.30761	0	0	0.50975	0.08008	0	0	16.00939	0	4.30761	0	0.1302	0	0	0	0	0
Healthy	24.58404	0	0.91721	0	0	0.02949	0	0.01514	0	0.29223	20.64762	0.91721	0	0	0.00104	0.02949	0	7.29344	0	0.29223
Healthy	32.3303	13.80833	0.05728	1.45864	2.31782	0	0	0.15405	0.02082	0	6.7014	0.05728	1.45864	0.18758	0.01765	0	0	0.03268	0.02082	0
Healthy	35.65422	6.24841	0.09665	2.12136	0.98932	2.04301	0	0.09305	0	0	21.81106	0.09665	2.12136	0.07048	0.56085	2.04301	0.02074	0	0	0
Healthy	34.30152	2.55539	0.10061	0.14328	0.84408	0	0	0	0.05059	0	19.16726	0.10061	0.14328	0	1.04933	0	0.06243	0.04899	0.05059	0
Healthy	28.09092	1.77545	0.00903	0.02565	0.45607	0	0	0.0012	0	0	9.33161	0.00903	0.02565	0	0.01657	0	0.79186	0.02073	0	0
Healthy	39.23273	6.22792	0.0092	0	3.30544	0.00079	0	0.05871	0.00195	0	13.53386	0.0092	0	0.52921	0.08838	0.00079	0.00364	0	0.00195	0
Healthy	55.7372	8.66821	0.07286	0.29286	1.03995	0	0	0.07883	0.023	0	2.91449	0.07286	0.29286	0	0	0	0.163	0.23551	0.023	0
Healthy	9.03133	0	16.2661	10.9103	0	0.01689	0	0.13184	0.19266	0	0.18846	16.2661	10.9103	0	1.2222	0.01689	0	3.20071	0.19266	0
Healthy	26.41612	8.31905	0	0	2.06509	0	0	0.08855	0	0	13.06821	0	0	2.8803	0.18972	0	0.79534	0	0	0
Healthy	85.81859	0	0.37736	0.0857	0	0	0	0.00251	0	0	1.11149	0.37736	0.0857	0	0.23259	0	0.01149	0.03427	0	0
