group	Prevotella	Alistipes	Phytobacter	Odoribacter	Paraprevotella	Alistipes_A	Parasutterella	Bilophila	Ruminococcus_C	Faecalimonas	Prevotella	Mediterraneibacter	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Haemophilus_D	Flavonifractor	Parasutterella	Clostridium_Q	Muricomes
Healthy	0	1.22466	9.6929	0	0	0	0.00566	0.09721	0	0	0	0.79042	0	0	0.14883	0	0.06834	0.00566	0.02643	0.03971
Healthy	0	0.50622	0	0	0	0	0	0	0	0	0	0.3478	0.03901	0	0	0	0	0	0	0
Healthy	0	0.14663	0	0	0	0	0	0	0	0	0	1.81395	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D014607	78.67184	2.24622	0.55996	0	0.04195	0.02607	0.00101	0.00607	0	0	78.67184	0	0	0	0	0	0	0.00101	0	0
Healthy	0	10.34421	0	0	0	0	0	0	0.20678	0	0	0.0977	0.02644	3.38321	0.2016	2.17012	0.01846	0	0	0
Healthy	0	10.77754	0	0.55586	0	0.15181	0.15992	0	0	0	0	0.09156	0	0	0.18852	0	0.08412	0.15992	0	0
Healthy	3.75336	2.09516	0.0964	0.95503	0	1.57054	0.00359	0.04458	0	0	3.75336	2.80546	0.40751	0	0.10266	0	0.02483	0.00359	0	0
Healthy	0	2.38913	0.03109	0.32504	0.12046	0	0.00297	0.00051	0.01466	0.00857	0	0.13689	1.72485	0	0.75986	0.00554	0.01242	0.00297	0	0
Healthy	3.98774	4.2818	0	0.75931	1.31323	0.03433	0.0108	0.02124	0.20723	0.05007	3.98774	0.08128	0.00934	0	0.01959	0	0.0292	0.0108	0	0
Healthy	0	9.94663	0	0	0	0	0	0	0	0	0	0.40802	0.02206	0	0	0	0	0	0	0
Healthy	19.4628	12.09275	0	1.90355	0.36236	0.36703	0.01728	0.01227	0.17788	0	19.4628	1.26581	1.42095	0	1.36906	0	0.01615	0.01728	0	0
Healthy	0.30528	0	0	0	0.06222	0	0	0	0	0	0.30528	2.60602	0	0	0	0	0	0	0	0
Healthy	0	20.68579	0	0.86158	4.47313	0.04332	0.0282	0.07128	0.0877	0	0	0.08537	0	0	0.03434	0.07188	0	0.0282	0	0.03231
Healthy	0	0	1.55766	0	0	0	0	0	0	0	0	2.43353	4.88893	0	3.57055	0	0	0	0	0
Healthy	0	1.52503	0.27181	0	0	0.03672	0.09287	0.09711	0	0	0	1.09986	0	0	0	0	0.5544	0.09287	0.17017	0.10584
Healthy	0	0	2.53141	0	0.446	0	0	0	0	0.00418	0	0.14303	0	0	0.00034	0.02253	0.07648	0	0	0
D014607	64.23534	4.15784	0.05002	1.47986	0	0	0.16504	0	0	0	64.23534	0.00574	0.01256	0	0.0369	0.00646	0.00775	0.16504	0	0
Healthy	0	0.6684	0.05193	0.32441	0.12732	0	0.05064	0	0.31285	0	0	0.13095	0.84826	1.5845	0.85011	0.07896	0.0081	0.05064	0	0
Healthy	6.10752	2.53688	0	8.13883	0.17805	0.36253	0.00025	0.25223	0.05991	0	6.10752	0.09113	1.87867	0	0.52498	0	0.05285	0.00025	0	0
