o	Bacteroidales	Enterobacterales	Burkholderiales	Acidaminococcales	Pseudomonadales	Selenomonadales	Desulfovibrionales	Lachnospirales	Oscillospirales	Actinomycetales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	1.12037516310008	0.986454180272142	-0.529192738698152	-5	-5	-5	-0.154722075245364	0.0663632022584946	0.753748472904391	-1.78251605578609	0.418049261100667	1.63962801034967	-5	-5	-0.738784727731408	0.157293537030964	-5
Healthy	1.85877539268605	-5	-1.28075160155205	-5	-5	-5	-5	1.10768268611987	0.0290345782176112	-5	0.579395987303872	-5	-5	-5	-5	-5	-5
Healthy	1.76248500077786	-5	-5	-5	-5	-5	-5	0.72205859495003	0.443518011668105	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.753566207633706	-5	-5	-5	-5	-5	-5	-0.348131049753465	0.440548593956687	0.256147450368233	0.279527783292017	-5	-5	-5	-5	-5	-5
D014607	1.92968509219891	-0.223436824478245	0.765746765418814	-5	-1.2231535913047	-5	-2.21609642072726	-0.109707555867881	0.763155350773985	-5	-5	-2.05109823902979	-5	-5	-5	-0.654234306885512	-5
Healthy	1.67342301960269	0.336485750711003	0.783824284719325	0.529330239490453	-5	-5	-5	1.30706473841213	0.788509872400148	-0.0907114758377493	0.0235939977382082	-2.79860287567955	-0.169411331314856	-5	-1.71692502526453	-5	-5
Healthy	1.84256505913163	-5	-0.796070062755374	-5	-5	-5	-5	0.684733184327011	0.408058405844381	-0.419576861588155	0.792386786145778	-5	-5	-5	-0.493494967595128	-5	-5
Healthy	1.49356483387704	-1.01587791713889	0.430258930332081	-5	-5	-5	-1.35076252765039	1.1009571356995	0.459184338446896	-0.301507982535077	-5	0.815250243860085	-1.35931984672233	-5	-1.21997087266266	-0.249483891283201	-5
Healthy	1.71315322488589	-1.04619200233469	-2.52578373592374	-5	-5	-5	-3.2839966563652	1.11779014983648	1.20263541825529	-0.0859743483036714	-2.22694530663574	-5	-1.21424320003736	-5	-1.89997426989214	0.113150877468074	-0.922305134113414
Healthy	1.76828215948572	-5	-1.96617430604669	-5	-5	-0.517312174147043	-0.744076541267099	1.24008775247789	1.05717296444977	-5	-5	-5	-1.71579493229821	-5	-5	-1.91470942176993	-5
Healthy	1.40912732608835	-5	0.254888708775947	-5	-5	-5	-5	1.18079945560002	1.26886639176701	1.34327168575716	0.469780792850616	-5	-1.07083661679494	-5	-5	0.146202479780109	-5
Healthy	1.751024304759	-5	0.253345275820191	-5	-5	-5	-1.83564714421556	1.18128750658172	0.840885492996785	-0.142643376767697	-1.90692869362394	-0.0835460514500749	-1.28291227507298	-0.593527949534324	-0.150728037929926	-0.576737737901385	-5
Healthy	1.3636531513135	-5	-5	-5	-5	-5	-5	0.975087453435228	1.31081179804747	1.07310257186231	-5	-5	1.1269644402306	-5	-5	-5	-5
Healthy	1.83153801034881	-1.14333151638846	-1.54959691384463	-5	-1.41612140150137	-5	-1.14697138528701	0.37159239488545	0.902419570561906	-5	-0.342255943752624	-0.218474395596606	-1.79425445905734	-5	-5	-0.434990895787404	-5
Healthy	-0.56125202309777	0.375840952758352	-5	-5	0.957278688671952	-5	-5	1.4491178545749	1.57321704242274	0.9318081145476	-5	-0.00261361560268669	0.122641769625536	-5	-5	-0.0813721327862228	-5
Healthy	1.93835333049894	0.177438375806556	-1.03207779326948	-5	-5	-5	-1.01269132626882	0.585977063678932	0.540818562812956	-0.639539128949822	-5	-5	-0.917789283398757	-5	-1.26233037264336	-5	-5
Healthy	1.80841638682843	0.415347348285907	-5	-5	-0.740406121114051	-5	-5	0.612949069045181	-1.1049091030656	1.10762472634163	0.989411548229137	-5	-0.217821304876339	-5	-1.66574735766577	0.559244509416333	-5
D014607	1.92825673282899	-1.24802842526367	-0.78238447133367	-5	-5	-5	-5	0.327869568756625	0.948877822819366	-0.157172420070024	-5	-5	-1.89997426989214	-5	-5	-1.46699097750451	-5
Healthy	1.13997348798446	-0.862424366317959	-1.2954205503037	0.199894984410582	-5	-5	-5	1.54045411318771	1.38536135539875	0.0496753420608595	-5	-1.58037463911226	0.173431036581284	0.218461978766149	0.0798249722168164	-0.810650075660802	-0.359617955290432
Healthy	1.54122030352031	-5	0.0757512871934784	-5	-5	-5	-0.210553262965207	0.730895274398542	0.586731295549415	-0.768046430801019	-5	0.270571704722232	-0.544591684757714	0.90543588720795	-0.726512590302816	-1.23912536194781	-5
Healthy	1.65610510465173	-0.880216413838302	-1.23942674605561	-5	-5	-5	-5	1.41598657678453	0.906572060952197	0.490921572614853	0.193238724856175	-5	-1.10773839308446	-5	-0.177714206154696	-0.767664722914346	-0.67623241670322
Healthy	1.43020829188859	1.22703810241191	-5	0.355229239344489	-5	-5	-5	1.29766532782319	0.806758421702446	0.393975096445539	-5	0.74214280216862	0.334067539936592	-5	-0.147812887895141	-0.300812902691751	-0.509002705984747
Healthy	1.54534163593735	-1.30381841283148	-1.6076548446388	-5	-5	-5	-5	1.31259663335331	1.40337158409763	-0.486076911675506	0.528402437953617	-5	-1.03706271157	-5	-2.18309616062434	0.409194025170417	0.252428233716468
Healthy	1.68276546649112	-1.59142087459133	-0.804017369311642	-5	-5	-5	-0.620730750526353	0.792191307435894	1.0530434679177	-5	-5	0.766518433276982	-5	-5	-1.64474009447262	-5	-5
Healthy	1.31879954964682	1.34347831167545	-0.888233566947438	0.290828977408293	0.150243577592424	-5	-1.34208406317004	1.26187639673694	0.784475357123432	1.10904437714116	-1.36101184065632	0.218672021321886	0.129016019910109	-0.0989123766000521	0.595659327191767	-0.4678318683063	-1.29191918953177
Healthy	1.10018575831703	0.336385677323575	-0.914495360573502	-5	-5	-5	-5	1.59537506542604	1.06557971472845	0.436447310914848	0.685564402798436	-5	-0.559515979176601	-5	0.301743823124463	-0.139763839938269	0.678835107291026
Healthy	1.46493613135373	0.811735155939139	-1.30874164186689	0.0206802558933171	-5	-5	-0.142926951366022	0.640088704941548	0.716054286730303	-5	-5	1.30050874675137	-0.722757627218642	-0.265824467335679	-1.7830427926389	-5	-5
Healthy	1.53452703352098	-1.0395292224657	-1.5480601306349	-5	-5	-5	-5	1.3757118865383	0.94218868195857	0.99456129217834	-0.00398770325701485	-1.06108018775523	-1.48558507941963	-5	-0.334456530644509	-0.856080061614163	-0.321836849737658
Healthy	1.82816042852175	-0.981674054597079	-0.492656952400061	0.515312075477326	-5	-5	-5	1.18324449723243	0.424537003174977	-5	-1.66715773300565	-0.392009141452825	-5	-5	-5	-5	-5
Healthy	1.66400962634643	-1.00117418095971	-1.82159865846624	-5	-5	-5	-0.606021397348228	1.01488034167546	1.31977084357145	-5	-0.673787070000569	-1.06429125215734	-5	-5	-1.68423950933427	-0.863279432843593	-5
