group	Prevotella_copri_A	Bacteroides_stercoris	Prevotella_stercorea	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Phytobacter_ursingii	Alistipes_senegalensis	Bacteroides_faecis	Bilophila_wadsworthia	Prevotella_copri_A	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Bacteroides_sp900066265	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Parasutterella_excrementihominis	Clostridium_Q_symbiosum
Healthy	0	2.80862	0	0	0	0	9.6929	0	0	0.09721	0	0	0	0	0	0.20806	0	0	0.00566	0.02643
Healthy	0	0	0	0	0	21.8255	0	0	0	0	0	0	21.8255	0	0.03901	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D014607	78.6621	0.28451	0.00974	2.6688	0.46336	0.328	0.55996	0.0272	0	0.00607	78.6621	0.01451	0.328	2.6688	0	0.0053	0	0	0.00101	0
Healthy	0	0	0	0	0	0	0	0	6.19914	0	0	8.47805	0	0	0.02644	0	3.38321	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15992	0
Healthy	3.72932	3.71161	0	0	0	0	0.0964	0.00302	0.71639	0.04458	3.72932	0.27735	0	0	0.40751	0	0	0	0.00359	0
Healthy	0	0	0	35.4791	0	4.49377	0.03109	0.00645	0.0008	0.00051	0	0	4.49377	35.4791	1.72485	0	0	0	0.00297	0
Healthy	0.03748	11.4823	3.95026	14.5551	1.25582	12.2155	0	0.00245	0.16163	0.02124	0.03748	0.0084	12.2155	14.5551	0.00934	0.66261	0	0.68974	0.0108	0
Healthy	0	0	0	0	8.17796	0	0	0	0.63958	0	0	0	0	0	0.02206	0	0	0	0	0
Healthy	19.4628	0.44502	0	0	0	0	0	0.059	0	0.01227	19.4628	1.1615	0	0	1.42095	0	0	0	0.01728	0
Healthy	0.30528	0	0	0	0	0	0	0	0	0	0.30528	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	24.4984	0	0	0.04313	0	0.07128	0	0	0	0	0	3.52131	0	0	0.0282	0
Healthy	0	0	0	0	0	0	1.55766	0	0	0	0	0	0	0	4.88893	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.27181	0	0	0.09711	0	0	0	0	0	0	0	0	0.09287	0.17017
Healthy	0	0	0	0	0	0	2.53141	0	0	0	0	0	0	0	0	0	0	0	0	0
D014607	0.16674	7.60712	64.0686	0.02969	0.01805	0.0139	0.05002	0	0.02108	0	0.16674	0	0.0139	0.02969	0.01256	0	0	0.36866	0.16504	0
Healthy	0	2.36464	0	0	0	2.42848	0.05193	0.03722	0	0	0	0	2.42848	0	0.84826	0	1.5845	0	0.05064	0
Healthy	6.08965	0.00467	0	0	0	0.77357	0	0.25482	0.86436	0.25223	6.08965	1.37453	0.77357	0	1.87867	0.24478	0	0	0.00025	0
Healthy	0	0	0	5.75465	0	0	0	0.02954	0	0	0	0	0	5.75465	0.76782	0	0	0	0.05761	0
Healthy	9.43514	0	0	0	0	2.39418	16.867	0	0	0	9.43514	0.12166	2.39418	0	0.27361	0	2.26583	0	0	0
Healthy	0	0	0	11.1923	0	0	0.04967	0.00503	0	0	0	0	0	11.1923	1.01074	0	0	0	0.02467	0
Healthy	0	25.3283	0	0	0	0	0.02561	0	0	0.0199	0	0	0	0	0	0.07523	0	0	0.05902	0.03504
Healthy	0	1.31805	0	0.02122	0.03219	0	21.7082	0.04284	0	0.0013	0	4.764	0	0.02122	1.75281	0	1.95356	0	0	0.08165
Healthy	0	0	0	1.33698	0	0	0	0	0	0	0	0	0	1.33698	1.33005	0	0	0	0.12175	0
Healthy	6.70095	0.326	0.26827	0	0	0.52606	6.48238	0.14798	0	0.01955	6.70095	0	0.52606	0	0	0	1.04876	0	0.04911	0
Healthy	0	0	0	5.98611	0	0	0	0.05217	0	0	0	0	0	5.98611	0.63437	0	0	0	0.0283	0
Healthy	32.1609	0.00168	0	0	9.26696	0	0.1043	0	0.00853	0	32.1609	2.2985	0	0	0.10803	1.94612	3.27575	2.13896	0.32161	0
Healthy	0	15.9118	0	0	0	0	0.09972	0	0	0.24772	0	0	0	0	0.06532	0	0	0	0.01507	0
Healthy	0	14.1573	0	0	0	0	0	0	0.14921	0	0	0	0	0	3.71069	0.28543	0	0.09448	0	0
Healthy	0.00254	1.52306	0	0	0	8.84801	0.00443	0.02682	0.00063	0.01535	0.00254	0	8.84801	0	0.17246	1.56027	2.67443	0	0.18042	0
Healthy	0	1.43591	0	0	0	0	0.21745	0	0	0	0	0	0	0	1.00185	0	0	0	0.04446	0
Healthy	0	0	0	1.26699	0	0	0	0.03087	0	0.0663	0	2.95016	0	1.26699	0.47205	0	0	0	0.19327	0
Healthy	0	0.00183	0	0	0	3.8003	0	0	0	0.10324	0	0	3.8003	0	0.01676	0	0	1.46424	0.002	0
Healthy	26.4523	2.20567	0	0	0	0	0	0	0	0	26.4523	0	0	0	0.64033	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.91721	0	0	0.01514	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.03278	0	0	0	0	0.05728	0	4.9311	0	0	0	0	0	0.00256	0	0	0	0.01697	0
Healthy	0	1.27045	0	0	0	7.92981	0.09665	0.13076	0	0	0	0	7.92981	0	0.34	0	2.04301	0.28382	0	0
Healthy	0	0	0	4.33873	0	0	0	0.006	0	0	0	10.2668	0	4.33873	0.51939	0	0	0	0.08967	0
Healthy	0.01328	12.2382	0	0	0	0	0.00903	0.00306	0	0.0012	0.01328	0	0	0	0.43019	0	0	0	0.02565	0
Healthy	0	0.00318	0	0	3.14863	6.48184	0.00336	0.08595	0.21405	0.03452	0	10.1871	6.48184	0	1.67721	0	0	0.00191	0	0
Healthy	0	0	0	0	0	0	0.07286	0.00133	0	0.07883	0	0	0	0	0.06374	0	0	0	0.29286	0.00142
Healthy	0	0	0	0	0	0	16.2661	0	0	0.12271	0	0	0	0	0	0	0.01689	0	0	0
Healthy	0	0	0	0	0	0	0	0.15163	0	0.08855	0	0	0	0	0.56451	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.37736	0	0	0.00251	0	57.8833	0	0	0.01863	0	0	0	0.0857	0.48828
Healthy	0	18.2388	0	0	0	0	0	0	0	0.037	0	0	0	0	0.02058	0	0	0	1.28454	0
Healthy	7.17452	0.26376	0.25219	0	0	0.5959	6.343	0.1958	0	0.0128	7.17452	0	0.5959	0	0	0	1.00509	0	0.00459	0
Healthy	0	0	0	0	0	0	0	0	0	0.05737	0	0	0	0	0	0	0	0	0	0.02064
Healthy	0	0.02077	0	0	8.96198	3.93028	0	0	0	0.01639	0	9.31664	3.93028	0	0.92226	0.09846	0	0	0	0
Healthy	0	0	0	0	0	0	16.4109	0	0	0	0	5.76516	0	0	0.31703	0.89573	0	0	0.04035	0
Healthy	0	0	0	0	0	0	0.45378	0	0	0.09831	0	0	0	0	0	0	0	0	0.08025	0.17587
Healthy	0	0	0	0.03558	0.37173	1.47976	0	0	0	0	0	0	1.47976	0.03558	0.44587	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.02833	0	0	0.10029	0	0	0	0	0.0557	0	0	0	0.29889	0
Healthy	0	0	0	0	0	0.19643	1.75061	0	0	0	0	0	0.19643	0	1.94333	0.28617	0	0	0	0
Healthy	0.0022	6.41657	0	0	0	6.38856	0.14333	0.01716	0	0.03635	0.0022	0	6.38856	0	0.56239	2.98671	2.16701	0	0.13187	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12857	0
Healthy	0	0	0	0	0	14.2983	0	0.06376	0.90544	0.18939	0	0	14.2983	0	0	1.58023	0	0	0.0276	0
Healthy	0	0	0	0	0	0	12.8542	0	2.00044	0	0	0	0	0	0.0884	0	0	0	0.00574	0
Healthy	0.15669	0.82009	0	0	0	0	0.00825	0	0.00309	0	0.15669	0	0	0	0.04157	4.14672	0	0	0	0.0004
Healthy	0	0	0	0	0	0	0.00409	0	0	0	0	0	0	0	0.91156	0	0	0	0	0.29612
Healthy	0	0.00132	0	0	0	0	0.02165	0	2.57489	0.06353	0	0	0	0	1.94611	0	0	0	0.00678	0.07417
Healthy	0	0.00351	0	1.31915	0	0	0	0	1.77788	0.12245	0	0	0	1.31915	1.40044	1.46242	2.25084	0	0.00396	0.01212
Healthy	0	0.15933	0	0	0	0.56203	0	0	0	0	0	0	0.56203	0	0.26674	1.24548	0	0	0	0
Healthy	0	20.3259	0	0	0	8.441	0	0	0	0.01952	0	0	8.441	0	0	4.28833	0	0	1.07698	0
Healthy	0	0	0	0	0	23.8925	0	0.17281	0	0	0	0	23.8925	0	0	0	0	0	0.10417	0
Healthy	0.06453	12.624	0	0.00777	0.03358	17.1072	1.37665	0.00649	2.89904	0.04377	0.06453	24.7709	17.1072	0.00777	0.04396	0	0	1.05235	0	0.03988
Healthy	0	8.65806	0	0	0	0	0.04487	0.77928	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	14.4597	0	0.36631	0.10201	0	0.00721	0	0	0	0	0	1.55273	0	0	0.013	0
Healthy	0	0	0	0	0	5.20955	2.12948	0	0	0.04091	0	0	5.20955	0	3.49856	0	0	0	0.00147	0.00814
Healthy	0	35.6876	0	0	0	0	1.06216	0	0	0.02904	0	0	0	0	0.0105	0.25188	0	0	0.01997	0
Healthy	2.41062	0.10781	0	0	5.91044	1.76265	0	0.03351	0.01424	0.04335	2.41062	0.07607	1.76265	0	0.29161	0.00569	0.19254	0	0	0
Healthy	2.04231	0	0.15399	0	0	0	0	0	0	0	2.04231	0	0	0	2.37613	0	0.2624	0	0	0
Healthy	0	0	0	0	0	0	0.42965	0	0	0	0	57.9876	0	0	0.00425	0	0	0	0.11156	0.43633
Healthy	0	0	0	9.67282	0	0	0	0.03624	0	0	0	0	0	9.67282	0.87265	0	0	0	0.03569	0
Healthy	0	0	0	0	0	0	0	0	0.0471	0	0	1.26659	0	0	0	1.49246	0	2.89763	0	0
Healthy	0	0	0	0	0	0	0	0	0.01965	0	0	1.57628	0	0	0	1.63723	0	3.27437	0	0
Healthy	0	0	0	0	0	0	0.04705	0	0	0	0	0	0	0	0.08798	0	0	0	0	0
Healthy	0	2.54147	0	0	0	0	0	0	3.69481	0	0	0	0	0	0.02841	4.71196	0	3.49666	0.38392	0
Healthy	0	19.8318	0	0	0	7.51156	0	0.00638	0.00344	0	0	0	7.51156	0	0	3.74217	0	0	0.05957	0
