c	Clostridia	Actinomycetia	Verrucomicrobiae	Negativicutes	Bacilli	Methanobacteria	Coriobacteriia	Bacteroidia	Gammaproteobacteria
Healthy	0.834881459911079	-1.78251605578609	1.63962801034967	0.418049261100667	-0.738784727731408	-5	0.157293537030964	1.12037516310008	0.99950331749903
Healthy	1.14248551342664	-5	-5	0.579395987303872	-5	-5	-5	1.85877539268605	-1.28075160155205
Healthy	0.905775918547835	-5	-5	-5	-5	-5	-5	1.76248500077786	-5
Healthy	0.506005509528048	0.256147450368233	-5	0.279527783292017	-5	-5	-5	0.753566207633706	-5
Healthy	1.42200957240051	-0.0907114758377493	-2.79860287567955	0.647289058452041	-0.157278457372331	-5	-5	1.67342301960269	0.916401830084926
Healthy	0.869094954125148	-0.419576861588155	-5	0.792386786145778	-0.493494967595128	-5	-5	1.84256505913163	-0.796070062755374
Healthy	1.19020951815055	-0.301507982535077	0.815250243860085	-5	-0.983091956027925	-5	-0.249483891283201	1.49356483387704	0.445532593261974
Healthy	1.46509466393064	-0.0859743483036714	-5	-2.22694530663574	-1.13288622016802	-5	0.113150877468074	1.71315322488589	-1.03207779326948
Healthy	1.45921979121162	-5	-5	-0.517312174147043	-1.71579493229821	-5	-1.91470942176993	1.76828215948572	-1.96617430604669
Healthy	1.52809127080218	1.34327168575716	-5	0.469780792850616	-1.07083661679494	-5	0.146202479780109	1.40912732608835	0.254888708775947
Healthy	1.34464707672557	-0.142643376767697	-0.0835460514500749	-1.90692869362394	-0.119826892692204	-0.593527949534324	-0.576737737901385	1.751024304759	0.253345275820191
Healthy	1.4756432996228	1.07310257186231	-5	-5	1.1269644402306	-5	-5	1.3636531513135	-5
Healthy	1.01454111895657	-5	-0.218474395596606	-0.342255943752624	-1.79425445905734	-5	-0.434990895787404	1.83153801034881	-0.85873840937791
Healthy	1.81661503022113	0.935873389978904	-0.00261361560268669	-5	0.122641769625536	-5	-0.0813721327862228	-0.56125202309777	1.05839185658905
Healthy	0.865013906964962	-0.639539128949822	-5	-5	-0.755747626027527	-5	-5	1.93835333049894	0.203449022518777
Healthy	0.621185632512497	1.10762472634163	-5	0.989411548229137	-0.160232938160214	-5	0.559244509416333	1.80841638682843	0.444673910810744
D015179	1.6763363354989	0.905981966701603	-5	0.357120734671248	-5	-5	0.100008482168787	1.26545110057225	-1.10885296955123
Healthy	1.77431582986575	0.0604674143361238	-1.58037463911226	0.199894984410582	0.439799901220617	0.218461978766149	-0.810650075660802	1.13997348798446	-0.726050107449991
Healthy	0.965797447276839	-0.768046430801019	0.270571704722232	-5	-0.325074592106928	0.90543588720795	-1.23912536194781	1.54122030352031	0.0757512871934784
Healthy	1.53574792951024	0.490921572614853	-5	0.193238724856175	-0.129479049987236	-5	-0.767664722914346	1.65610510465173	-0.72268882082597
D015179	1.390251703402	0.586974171952795	0.500052505839016	-0.158027693272645	-5	-5	-5	1.66271864899885	0.489456431648674
Healthy	1.42429183666506	0.393975096445539	0.74214280216862	0.355229239344489	0.457819850233151	-5	-0.300812902691751	1.43020829188859	1.22703810241191
Healthy	1.67799618346722	-0.48384819086776	-5	0.528402437953617	-0.914780798955058	-5	0.409194025170417	1.54534163593735	-1.12871902714203
