group	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Bifidobacteriaceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Marinifilaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae
Healthy	1.16509	3.74911	1.83689	0.01649	43.6142	0	1.2759	0	0	0	8.94079	1.16509	9.6929	0.29566	0	0	0	0	0.18247	0
Healthy	12.81393	1.06913	0	0	0	0	0	0	0	0	55.95388	12.81393	0	0.05238	0	0	0	0	0	0
Healthy	5.273	1.2917	1.48492	0	0	0	0	0	0	0	53.1305	5.273	0	0	0	0	0	0	0	0
Healthy	0.4486	2.738	0	1.80362	0	0	0	0	0	0	5.66977	0.4486	0	0	0	0	0	0	0	0
Healthy	20.27984	5.39337	0.73299	0.81149	0.00158	0	0	0.67699	0	0	34.84964	20.27984	0	6.07888	0	0.67699	0	3.38321	0.01918	0
Healthy	4.83874	1.91785	0.55695	0.38055	0	0	0	0	0	0	56.51636	4.83874	0	0.15992	0	0	0.55586	0	0.32099	0
Healthy	12.61702	2.22194	0.41188	0.49944	6.53506	0	0.52729	0.03327	0	0	18.54273	12.61702	0.0964	2.69313	0	0.03327	0.95678	0	0.06025	0.01044
Healthy	13.11565	8.86169	7.06944	0.82039	0	0	1.24665	0.01675	0.11958	0	46.6215	13.11565	0.08436	0.00297	0	0.01675	0.32504	0	0.01258	0.0443
Healthy	17.38151	10.9513	0.4182	0	0	0	0.01216	0.01923	0	0	52.17775	17.38151	0	0.0108	0	0.01923	0.77354	0	0	0
Healthy	15.16349	17.1618	0	22.04304	0	0	1.33029	0	0	0	14.11968	15.16349	0	1.7984	0	0	0	0	0	0.08494
Healthy	15.18054	5.78407	0.77206	0.71602	0.82499	0.25495	0	0.05212	0	0.00055	31.1465	15.18054	0	1.79202	0.25495	0.05212	1.90355	0	0.7062	0
Healthy	9.4425	3.80287	16.6527	11.8332	0	0	0	13.39566	0	0	20.00604	9.4425	0	0	0	13.39566	0	0	0	0
