g	Faecalibacterium	Enterocloster	Collinsella	Blautia_A	Bariatricus	Dorea	Eubacterium_I	Coprococcus_A	Muricomes	Lactococcus	Bacteroides	Phocaeicola	Alistipes	Parabacteroides	Lachnospira	Barnesiella	Coprococcus	Sutterella	Odoribacter	Haemophilus_D	Veillonella	Flavonifractor	Intestinibacter	Parasutterella	Holdemania	Pseudodesulfovibrio	Oxalobacter
Healthy	-0.932780311025859	-1.07314329105031	0.105820041248875	-0.827280338650503	-5	-5	-5	-5	-1.40099076017666	-5	0.934626195830804	-0.470723678080773	0.0880190793238638	0.481229012021988	-2.94692155651658	-5	-5	-5	-5	-5	-5	-1.16526148109616	-5	-2.24641694110709	-1.24703013497092	-0.219625073839878	-0.537587026687449
Healthy	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.12876716449744	1.62841457821411	-0.295652121429059	0.925511656050378	-1.51272018355693	0.866621056253241	-5	-1.28075160155205	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.372071154783151	-5	-5	-0.169469070017471	-5	-5	-5	-5	-5	1.72534398472439	-5	-0.83374754804584	0.235912072547043	0.35488025902298	0.458722433800222	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.437435029969223	-0.87739097642401	-5	-5	-5	-5	-5	-5	-5	-5	0.749682991442778	-1.29688065376392	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.714882755706848	-1.0417228744523	-5	-0.695487930375765	-0.93715488672295	-1.46079840070587	-1.16545214231905	-5	-5	-5	1.45052007281021	0.821648446606005	1.01469774850903	0.289985611272195	-0.0654964988499561	-5	0.85105155085077	0.783824284719325	-5	0.336485750711003	0.0235939977382082	-1.73353310455976	-5	-5	-1.71692502526453	-5	-5
Healthy	0.282816901350496	-1.3646167959525	-5	-0.724619532472566	-5	-1.0375359539421	-5	-5	-5	-5	1.47379006751291	1.42725250750727	1.0325200463414	0.201765708466026	-5	-5	-5	-5	-0.255026763964733	-5	-5	-1.07504911108439	-5	-0.796070062755374	-1.76170293212461	-5	-5
Healthy	0.238843668857748	0.328036926154057	-0.277942228668536	-0.988556437977925	-0.00422883548815415	-0.0332155177848394	-0.903020505433215	-0.823272242355811	-5	-1.59142087459133	1.13133117789128	0.099801453452244	0.32121926695224	0.137043790184323	-0.9456934341516	0.799515610671236	-5	0.429679622431677	-0.0199784384524009	-5	-5	-1.60484840849546	-5	-2.44369749923271	-1.23113999915704	-5	-5
Healthy	0.946700292266965	0.155238841810451	0.0957480250442235	-0.119260701287455	0.442827692388095	-0.416653840383539	-0.834993220431632	-1.28718199979215	-5	-5	0.604218490676903	1.62819606048013	0.378241599497053	0.199497375490972	-1.46826569072345	-0.15358247041197	-5	-5	-0.488049829624501	-2.25570701687732	-2.22694530663574	-1.90552887135835	-0.922305134113414	-2.52578373592374	-2.36957212497498	-5	-5
Healthy	0.488691698316941	-1.24611066854017	-1.91470942176993	-1.70774392864352	-0.865536008465711	-5	-5	-1.95703092660682	-5	-5	1.2110233082393	1.48601142699579	0.631627392107811	0.0638922893443259	1.00059500994851	-0.685858796739429	-5	-5	-0.119575160934349	-5	-5	-1.53446844302645	-5	-1.96617430604669	-5	-1.58203035778526	-5
Healthy	1.23456308954756	-1.15864052954515	0.123949591081827	-5	-5	-1.32330639037513	-1.43191566868461	-1.02099825152528	-5	-5	0.612634476100502	1.00091582933318	0.997676399751038	-0.13519829994923	0.506349416162233	-0.0687608572473792	-5	0.254888708775947	-5	-5	-5	-5	-5	-5	-5	-5	-5
