o	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Methanobacteriales	Lactobacillales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales	Pseudomonadales	Bacteroidales	Burkholderiales
Healthy	0.0663632022584946	0.753748472904391	-1.78251605578609	1.63962801034967	-5	-5	-0.738784727731408	0.157293537030964	-5	-5	-5	1.12037516310008	-0.529192738698152
Healthy	1.10768268611987	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.85877539268605	-1.28075160155205
Healthy	0.72205859495003	0.443518011668105	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.76248500077786	-5
Healthy	-0.348131049753465	0.440548593956687	0.256147450368233	-5	-5	-5	-5	-5	-5	-5	-5	0.753566207633706	-5
Healthy	1.30706473841213	0.788509872400148	-0.0907114758377493	-2.79860287567955	-5	-0.169411331314856	-1.71692502526453	-5	0.529330239490453	-5	-5	1.67342301960269	0.783824284719325
Healthy	0.684733184327011	0.408058405844381	-0.419576861588155	-5	-5	-5	-0.493494967595128	-5	-5	-5	-5	1.84256505913163	-0.796070062755374
Healthy	1.1009571356995	0.459184338446896	-0.301507982535077	0.815250243860085	-5	-1.35931984672233	-1.21997087266266	-0.249483891283201	-5	-5	-5	1.49356483387704	0.430258930332081
Healthy	1.11779014983648	1.20263541825529	-0.0859743483036714	-5	-5	-1.21424320003736	-1.89997426989214	0.113150877468074	-5	-0.922305134113414	-5	1.71315322488589	-2.52578373592374
Healthy	1.24008775247789	1.05717296444977	-5	-5	-5	-1.71579493229821	-5	-1.91470942176993	-5	-5	-5	1.76828215948572	-1.96617430604669
Healthy	1.18079945560002	1.26886639176701	1.34327168575716	-5	-5	-1.07083661679494	-5	0.146202479780109	-5	-5	-5	1.40912732608835	0.254888708775947
Healthy	1.18128750658172	0.840885492996785	-0.142643376767697	-0.0835460514500749	-0.593527949534324	-1.28291227507298	-0.150728037929926	-0.576737737901385	-5	-5	-5	1.751024304759	0.253345275820191
Healthy	0.975087453435228	1.31081179804747	1.07310257186231	-5	-5	1.1269644402306	-5	-5	-5	-5	-5	1.3636531513135	-5
Healthy	0.37159239488545	0.902419570561906	-5	-0.218474395596606	-5	-1.79425445905734	-5	-0.434990895787404	-5	-5	-1.41612140150137	1.83153801034881	-1.54959691384463
Healthy	1.4491178545749	1.57321704242274	0.9318081145476	-0.00261361560268669	-5	0.122641769625536	-5	-0.0813721327862228	-5	-5	0.957278688671952	-0.56125202309777	-5
Healthy	0.585977063678932	0.540818562812956	-0.639539128949822	-5	-5	-0.917789283398757	-1.26233037264336	-5	-5	-5	-5	1.93835333049894	-1.03207779326948
Healthy	0.612949069045181	-1.1049091030656	1.10762472634163	-5	-5	-0.217821304876339	-1.66574735766577	0.559244509416333	-5	-5	-0.740406121114051	1.80841638682843	-5
D015179	1.34646525049153	1.40235098407236	0.905981966701603	-5	-5	-5	-5	0.100008482168787	-5	-5	-5	1.26545110057225	-1.10885296955123
Healthy	1.54045411318771	1.38536135539875	0.0496753420608595	-1.58037463911226	0.218461978766149	0.173431036581284	0.0798249722168164	-0.810650075660802	0.199894984410582	-0.359617955290432	-5	1.13997348798446	-1.2954205503037
Healthy	0.730895274398542	0.586731295549415	-0.768046430801019	0.270571704722232	0.90543588720795	-0.544591684757714	-0.726512590302816	-1.23912536194781	-5	-5	-5	1.54122030352031	0.0757512871934784
Healthy	1.41598657678453	0.906572060952197	0.490921572614853	-5	-5	-1.10773839308446	-0.177714206154696	-0.767664722914346	-5	-0.67623241670322	-5	1.65610510465173	-1.23942674605561
D015179	1.16605131021514	0.995815893693622	0.586974171952795	0.500052505839016	-5	-5	-5	-5	-5	-5	-5	1.66271864899885	-5
Healthy	1.29766532782319	0.806758421702446	0.393975096445539	0.74214280216862	-5	0.334067539936592	-0.147812887895141	-0.300812902691751	0.355229239344489	-0.509002705984747	-5	1.43020829188859	-5
Healthy	1.31259663335331	1.40337158409763	-0.486076911675506	-5	-5	-1.03706271157	-2.18309616062434	0.409194025170417	-5	0.252428233716468	-5	1.54534163593735	-1.6076548446388
Healthy	0.792191307435894	1.0530434679177	-5	0.766518433276982	-5	-5	-1.64474009447262	-5	-5	-5	-5	1.68276546649112	-0.804017369311642
Healthy	1.26187639673694	0.784475357123432	1.10904437714116	0.218672021321886	-0.0989123766000521	0.129016019910109	0.595659327191767	-0.4678318683063	0.290828977408293	-1.29191918953177	0.150243577592424	1.31879954964682	-0.888233566947438
Healthy	1.59537506542604	1.06557971472845	0.436447310914848	-5	-5	-0.559515979176601	0.301743823124463	-0.139763839938269	-5	0.678835107291026	-5	1.10018575831703	-0.914495360573502
Healthy	0.640088704941548	0.716054286730303	-5	1.30050874675137	-0.265824467335679	-0.722757627218642	-1.7830427926389	-5	0.0206802558933171	-5	-5	1.46493613135373	-1.30874164186689
D015179	0.740975796178854	1.06755363322889	0.940898814484282	0.870778337445256	-5	-5	-5	-5	-5	-5	-5	1.52518311104607	-5
Healthy	1.3757118865383	0.94218868195857	0.99456129217834	-1.06108018775523	-5	-1.48558507941963	-0.334456530644509	-0.856080061614163	-5	-0.321836849737658	-5	1.53452703352098	-1.5480601306349
Healthy	1.18324449723243	0.424537003174977	-5	-0.392009141452825	-5	-5	-5	-5	0.515312075477326	-5	-5	1.82816042852175	-0.492656952400061
Healthy	1.01488034167546	1.31977084357145	-5	-1.06429125215734	-5	-5	-1.68423950933427	-0.863279432843593	-5	-5	-5	1.66400962634643	-1.82159865846624
Healthy	1.15191322113061	0.461255349847157	-0.460986665060487	1.68812791006636	-5	-0.731913695552616	-0.571023361487117	-5	-5	-5	-5	1.32580085766442	-5
Healthy	1.14402562286898	1.159734081827	-0.215925022521303	-1.60101893334187	-0.194444773478747	-0.817328613324521	0.164715607852906	-1.02447628703967	0.427232859115983	-1.65521487736734	-1.42875714943978	1.5976974889962	-0.720173418205985
Healthy	1.42342201427606	1.30502982953019	1.38646596861784	-5	-5	-0.74816718137136	-5	-0.0468639369858433	-5	-5	-5	1.23406807784543	-1.35193287055107
Healthy	1.25318772119131	0.910535829660712	0.530503213925169	0.21827810816134	-0.743787541434838	-2.57348873863542	-5	-0.341330501793832	-5	-5	-5	1.54045311221858	-0.713813083058962
Healthy	0.584881660330662	1.00110734089234	0.750233691942234	-5	-1.09044397075882	-1.60467360693065	-1.90974194706868	-0.0893435844122668	-5	-5	-5	1.75494401147996	-2.69680394257951
D015179	0.525595428447244	0.437217670520628	-0.767156300376879	1.356712341434	0.632757853566795	-1.57170318601712	-0.325451149366898	0.227405887851671	-5	-5	-2.37468754903833	1.50756552567963	-5
Healthy	1.20437505574366	0.794184003829024	-0.687653360969147	-5	-5	-0.885355661097721	-5	0.163846875794205	-5	-5	-5	1.73383868006618	0.63423738469509
Healthy	1.31487020916473	-1.30838812578558	1.40112833208387	-5	-5	-0.532717552381859	-5	0.759851342542993	-1.53017798402184	-5	-5	1.39257878095216	-5
Healthy	0.826166189386517	0.875434017573925	-0.299330889371745	-5	-0.726790316599669	-1.75300930075845	-5	-0.683903790324869	-5	-5	-5	1.80276490252706	0.163951096346079
Healthy	1.33867697157123	0.613046472501289	-0.587875593826683	-0.200824927584771	-1.15187248943213	-0.251145532354061	-1.68298189895189	-1.06068046892176	0.310272618148416	-5	-5	1.71674927159693	0.326616422851385
Healthy	1.2825602605898	1.07617495679094	-0.328716051374985	-1.40693556834128	-5	0.0209162281357402	-1.20453710560962	-0.423336216585005	-5	-1.57528166266843	-5	1.60690102497749	-0.843784117323237
