group	Faecalibacterium_sp900539885	Enterocloster_aldenensis	Mediterraneibacter_torques	Blautia_A_wexlerae	Bariatricus_comes	Dorea_formicigenerans	Streptococcus_thermophilus	Coprococcus_A_catus	Muricomes_sp000509105	Lactococcus_lactis_E	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Flavonifractor_sp000508885
Healthy	0.11673	0	0.79042	0.14252	0	0	0	0	0.03971	0	0	0	0	0	0	0	0.08449	0.00566	0.02643	0.01731
Healthy	1.06913	0	0	0	0	0	0	0	0	0	0	21.8255	0	0.03901	0	0	0	0	0	0
Healthy	0	0.42454	0	0	0.6769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13261	0	0	0
Healthy	5.18659	0.09083	0.0977	0.2016	0.11556	0.0346	0.03079	0	0	0	8.47805	0	0	0.02644	3.38321	0	0	0	0	0
Healthy	1.91785	0.0314	0	0.18852	0	0.09171	0	0	0	0	0	0	0	0	0	0	0.01178	0.15992	0	0
Healthy	1.73317	2.12778	0.78458	0.10266	0.9903	0.92534	0	0.15021	0	0.00564	0.27735	0	0	0.40751	0	0	0.00053	0.00359	0	0.00359
Healthy	8.84504	1.42967	0.03862	0.75986	2.77221	0.38312	0.00048	0.05161	0	0	0	4.49377	35.4791	1.72485	0	0	0	0.00297	0	0
Healthy	3.08099	0.05673	0.08128	0.01959	0.13628	0	0	0.01103	0	0	0.0084	12.2155	14.5551	0.00934	0	0.68974	0	0.0108	0	0.01615
Healthy	17.1618	0.06939	0.37225	0	0	0.04749	0	0.09527	0	0	0	0	0	0.02206	0	0	0	0	0	0
Healthy	5.5782	0.47282	0.04881	1.36906	1.17575	0.17167	0.00209	0.05293	0	0	1.1615	0	0	1.42095	0	0	0.00141	0.01728	0	0.00166
Healthy	3.80287	0	2.60602	0	3.76604	0	10.7036	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	7.56621	0	0.04988	0.03434	0.02326	0.00959	0	0	0.03231	0	0	0	0	0	0	0	0.06697	0.0282	0	0
Healthy	1.51072	3.36158	2.43353	3.57055	0.27379	0.89372	0	0.36167	0	0.34454	0	0	0	4.88893	0	0	0	0	0	0
Healthy	2.41444	0	1.09986	0	0	0	0.12083	0	0.10584	0	0	0	0	0	0	0	2.2736	0.09287	0.17017	0.4281
Healthy	0	0	0.14303	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07648
D015179	16.8153	0.11234	0.02332	1.55042	0.48199	0.23809	0	0	0	0	0	0	0	0.23792	0	0	0	0.07782	0	0
Healthy	12.8494	2.86464	0.13095	0.85011	1.85404	0.5704	0.67778	0.51113	0	0.18085	0	2.42848	0	0.84826	1.5845	0	0	0.05064	0	0
Healthy	1.07594	0.64316	0.09113	0.47688	0.02322	0.3129	0.28536	0.09805	0	0	1.37453	0.77357	0	1.87867	0	0	0.01293	0.00025	0	0.00549
Healthy	4.8242	0.04738	0.00983	0.18656	0	0.06629	0	0.00986	0	0	0	0	5.75465	0.76782	0	0	0	0.05761	0	0
D015179	9.90411	0	1.03832	0.24201	0	0	0	0.05772	0.25471	0	0	0	0	0.94523	0	0	0.09128	0	0	0
Healthy	6.38634	0.11305	0.55754	0.24265	0.29579	0.14561	0	0.03472	0	0	0.12166	2.39418	0	0.27361	2.26583	0	0	0	0	0
Healthy	12.8088	1.5754	0.01182	0.71108	1.11173	0.33164	0	0.46873	0	0.00694	0	0	11.1923	1.01074	0	0	0	0.02467	0	0
Healthy	3.35188	0	0.02543	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02337	0.05902	0.03504	0.2948
Healthy	5.26763	1.30317	0.0276	0.44142	1.00828	0.41498	0.06744	0.44956	0.01555	0.78075	4.764	0	0.02122	1.75281	1.95356	0	0.04501	0	0.08165	0
Healthy	6.00946	0.60223	0.02148	0.7084	0.03846	0.19194	0	0.28992	0	0	0	0	1.33698	1.33005	0	0	0	0.12175	0	0
Healthy	3.4574	0	1.68104	0	0	0	0.18933	0	0	0	0	0.52606	0	0	1.04876	0	1.5645	0.04911	0	0.10562
D015179	3.68135	0	0.35832	0.1072	0.21124	0.17324	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	4.64569	0.15367	0.30117	0.33974	0	0	0	0.09195	0	0	0	0	5.98611	0.63437	0	0	0	0.0283	0	0
Healthy	0.43863	0.21058	0.0413	0.01568	0.16322	0.09646	0	0.00838	0	0	2.2985	0	0	0.10803	3.27575	2.13896	0	0.32161	0	0
Healthy	19.6021	0.10483	0.14002	0.09136	0.04933	0.00182	0	0.08495	0	0	0	0	0	0.06532	0	0	0	0.01507	0	0.0181
Healthy	2.6487	2.81611	0.021	0.69925	2.39303	0	0	0	0	0	0	0	0	3.71069	0	0.09448	0.05948	0	0	0.00323
Healthy	5.59288	0.67315	0.03688	0.21407	0.8052	0.17775	0	0.0713	0	0.02515	0	8.84801	0	0.17246	2.67443	0	0	0.18042	0	0.00226
Healthy	9.16534	0.19353	0.11753	0.80681	1.22378	0.42828	0	0	0	0	0	0	0	1.00185	0	0	0	0.04446	0	0
Healthy	1.57533	0.71649	0.00251	0.32854	0.88158	0.13036	0	0.30987	0	0	2.95016	0	1.26699	0.47205	0	0	0	0.19327	0	0
Healthy	5.34315	0.16007	0.02034	0.12906	0.01724	0.0769	0	0	0	0.02484	0	3.8003	0	0.01676	0	1.46424	0	0.002	0	0.06212
D015179	0.9284	0	0.04192	0.11571	0	0	0	0	0.04474	0	0	0	0	0	0	0.65073	2.05319	0	0.3808	0.00259
Healthy	4.42903	0.02364	0.029	0.17307	0.17051	0.2587	0	0.15588	0	0	0	0	0	0.64033	0	0	0	0	0	0
Healthy	0.00068	0	1.13657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04847
Healthy	4.84117	0	0.15612	0.08949	0.08538	0	0	0	0	0	0	0	0	0.00256	0	0	0.01364	0.01697	0	0.0386
Healthy	3.41433	0.39719	0.65814	0.48211	0.20512	0.27323	0.5457	0.13775	0	0	0	7.92981	0	0.34	2.04301	0.28382	0	0	0	0
Healthy	7.21216	0.17504	0.30163	0.3583	0.77811	0.61097	0.01507	0.38593	0	0	10.2668	0	4.33873	0.51939	0	0	0.70127	0.08967	0	0
D015179	15.1412	0	0.79542	0.0676	0	0.23475	0	0	0	0	0	5.06889	0	0.34524	0	0	0	0	0	0
D015179	1.86745	2.2706	0.04398	0.4584	1.33802	0.69514	0	0	0.14235	0	5.27766	0	0	0.42969	0	0	5.12935	0.00323	0.03099	0.07714
D015179	19.1168	2.89865	0	0.31425	1.82623	0.89458	0	0	0	0	0	0	0	0.59899	2.02037	0	0	0	0	0
Healthy	3.67723	0.24163	0.22934	0.38507	0.34916	0.20709	0	0.50052	0.00297	0	0	0	0	0.43019	0	0	0.00145	0.02565	0	0.00503
Healthy	3.78626	1.03824	0.03239	0.25213	1.37517	0.46545	0.04614	0.1537	0	0.00232	10.1871	6.48184	0	1.67721	0	0.00191	0.01271	0	0	0.00098
Healthy	1.90978	0.01573	0.03607	0.03551	0.01663	0	0	0	0	0	0	0	0	0.06374	0	0	0	0.29286	0.00142	0.03838
Healthy	0.00368	0	0.18846	0	0	0	0	0	0	0	0	0	0	0	0.01689	0	0	0	0	0
Healthy	9.59753	0.96456	0.00782	0.20371	0.7182	0.06101	0.11588	0.13245	0	0	0	0	0	0.56451	0	0	0	0	0	0
Healthy	0.5278	0	0.02773	0	0.01295	0	0.23259	0	0	0	57.8833	0	0	0.01863	0	0	0.04057	0.0857	0.48828	0.18101
Healthy	16.8393	0.14689	0.06786	0.12538	0.34057	0	0.14253	0	0	0	0	0	0	0.02058	0	0	0	1.28454	0	0.00071
Healthy	3.54818	0	1.83505	0	0.00682	0	0.21411	0	0	0	0	0.5959	0	0	1.00509	0	1.62353	0.00459	0	0.09636
Healthy	0.69262	0	2.18411	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93572	0	0.02064	1.59455
Healthy	0.90956	0.60527	0.0348	0.64062	0.9289	0.45839	0	0.43583	0	0	9.31664	3.93028	0	0.92226	0	0	0	0	0	0
Healthy	1.09293	0.47844	0.06129	0.06819	0.23437	0.06578	0	0	0	0	5.76516	0	0	0.31703	0	0	0	0.04035	0	0
Healthy	2.47447	0	1.23277	0	0	0	0.06243	0	0.09698	0	0	0	0	0	0	0	2.36353	0.08025	0.17587	0.43714
Healthy	1.19569	0.22579	0.40197	0.53306	0.18392	0.26968	0	0	0	0	0	1.47976	0.03558	0.44587	0	0	0	0	0	0
Healthy	1.96391	0.01556	0.06813	0.01221	0	0	0	0	0	0	0	0	0	0.0557	0	0	0	0.29889	0	0.08478
Healthy	2.60289	1.87818	0.20105	4.10101	2.63735	0.67153	2.9827	0.27437	0	0	0	0.19643	0	1.94333	0	0	0	0	0	0
Healthy	2.1367	0.90362	0.00706	0.32815	0.675	0.33065	0	0.03973	0	0	0	6.38856	0	0.56239	2.16701	0	0	0.13187	0	0
Healthy	2.03873	0.06159	0	0.17257	0	0.09228	0	0	0	0	0	0	0	0	0	0	0.03657	0.12857	0	1.70662
Healthy	1.74819	0.01801	0.20381	0	0	0	0	0	0	0	0	14.2983	0	0	0	0	0	0.0276	0	0.01813
Healthy	0.39347	0.41483	0.11165	0.08257	1.31434	0	0	0	0	0	0	0	0	0.0884	0	0	0	0.00574	0	0
Healthy	5.54289	0.45183	0.07743	0.24782	0.11013	0.03044	0	0.00219	0.00145	0	0	0	0	0.04157	0	0	0	0	0.0004	0
Healthy	8.98741	0	0.01807	0.00032	0	0	0	0	0.10584	0	0	0	0	0.91156	0	0	0.10291	0	0.29612	0.00315
Healthy	8.79006	0.51145	0.01503	0.04304	0.03547	0.55159	0.45744	0	0.00719	0	0	0	0	1.94611	0	0	0.03732	0.00678	0.07417	0.07731
Healthy	2.05589	0.17196	0.35965	0.35495	0.21954	0.67246	1.86349	0.11583	0	0.03909	0	0	1.31915	1.40044	2.25084	0	0.00473	0.00396	0.01212	0
Healthy	4.49347	0.17365	0.17201	1.27903	0.23362	0.08256	0	0.14645	0	0	0	0.56203	0	0.26674	0	0	0	0	0	0
D015179	10.2081	0	2.66351	0	0	0.13067	0	0	0	0.22858	0	0.07799	0.23327	0	1.62517	0	0	0	0	0.01266
