f	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Streptococcaceae	Dialisteraceae	Veillonellaceae	Lactobacillaceae	Pasteurellaceae	Erysipelotrichaceae	Oscillospiraceae	Eggerthellaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Methanobacteriaceae	Marinifilaceae	Acidaminococcaceae	Desulfovibrionaceae	Coprobacteraceae
Healthy	0.0663632022584946	0.573929341329467	-1.78251605578609	-5	0.418049261100667	-5	-5	-5	-0.738784727731408	-1.06469430971007	-0.794362640520571	-5	-5	-5	0.951376380098069	0.0880190793238638	0.481229012021988	0.264085514155395	-5	-5	-5	-5	-0.154722075245364	-5
Healthy	1.10768268611987	0.0290345782176112	-5	-5	0.579395987303872	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.74783028473047	-0.295652121429059	0.925511656050378	-5	0.866621056253241	-5	-5	-5	-5	-5
Healthy	0.72205859495003	0.111165021757667	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.72534398472439	-0.83374754804584	0.235912072547043	0.171705981376956	0.458722433800222	-5	-5	-5	-5	-5
Healthy	-0.348131049753465	0.437435029969223	0.256147450368233	-5	0.279527783292017	-5	-5	-5	-5	-1.70531337572056	-5	-5	-5	-5	0.753566207633706	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.30706473841213	0.731861020341784	-0.0907114758377493	-0.169411331314856	-5	0.0235939977382082	-5	0.336485750711003	-1.71692502526453	-1.73353310455976	-5	-5	-5	-5	1.54219842077457	1.01469774850903	0.289985611272195	-0.134896025358872	-5	-5	-5	0.529330239490453	-5	-5
Healthy	0.684733184327011	0.282816901350496	-0.419576861588155	-5	0.792386786145778	-5	-5	-5	-0.493494967595128	-1.07504911108439	-5	-5	-5	-5	1.75217425969463	1.03859473133614	0.201765708466026	-0.254175994059787	-5	-5	-0.255026763964733	-5	-5	-5
Healthy	1.1009571356995	0.346734281891791	-0.301507982535077	-1.47781668238131	-5	-5	-1.98088370955293	-5	-1.21997087266266	-0.611188586526476	-1.44708854978349	-5	-5	-5	1.26817390882452	0.564158104275546	0.137043790184323	-0.385218751858922	0.799515610671236	-5	-0.0191833724103408	-5	-1.35076252765039	-0.496331862454351
Healthy	1.11779014983648	0.947517043534692	-0.0859743483036714	-1.77572598570574	-5	-2.22694530663574	-1.35349824996839	-2.25570701687732	-1.89997426989214	-1.84557602688535	-1.29260016886675	-5	-0.922305134113414	-5	1.66858633555195	0.378241599497053	0.199497375490972	0.84938562719768	-0.15358247041197	-5	-0.488049829624501	-5	-3.2839966563652	-1.4087127349415
Healthy	1.24008775247789	1.03946607275992	-5	-1.71579493229821	-5	-5	-5	-5	-5	-1.42550573171467	-5	-5	-5	-5	1.71748543082935	0.635095523184499	0.0638922893443259	-0.378605586791193	-0.685858796739429	-5	-0.111511609537604	-5	-0.744076541267099	-1.70136521687556
Healthy	1.18079945560002	1.23456308954756	1.34327168575716	-5	0.469780792850616	-5	-1.07083661679494	-5	-5	0.149382327425737	-1.15521228117215	-5	-5	-5	1.14982516181725	0.997676399751038	-0.13519829994923	-5	-0.0687608572473792	-5	-5	-5	-5	-5
Healthy	1.18128750658172	0.762234291084241	-0.14506878137718	-1.28291227507298	-5	-1.90692869362394	-5	-5	-0.151066137078684	-0.424465781680136	-0.576737737901385	-3.2518119729938	-5	-2.39577394691553	1.4934093905568	1.09551072269155	0.557037765882228	-0.112343322416142	0.856505343348038	-0.593527949534324	0.279566570280012	-5	-1.83564714421556	-1.18902860017779
Healthy	0.975087453435228	0.580112621451532	1.07310257186231	1.1269644402306	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.30116134987843	-5	0.490821992900465	1.22148491906009	-5	-5	-5	-5	-5	-5
Healthy	0.37159239488545	0.883883918596591	-5	-1.79425445905734	-0.355541715083896	-1.86296254521049	-5	-1.14333151638846	-5	-5	-0.606389703644708	-5	-5	-5	1.60898703950159	1.31658086566086	0.687245284100021	-0.476578725627368	-0.152785287758974	-5	-0.043010837158594	-5	-1.14697138528701	-5
Healthy	1.4491178545749	0.222784080594466	0.9318081145476	-0.462747745749293	-5	-5	-0.961538803821436	-5	-5	-5	-0.0813721327862228	-5	-5	-5	-0.56125202309777	-5	-5	1.55339155917997	-5	-5	-5	-5	-5	-5
Healthy	0.585977063678932	0.382818216177063	-0.639539128949822	-0.917789283398757	-5	-5	-5	-5	-1.26233037264336	-0.0379670531146965	-5	-5	-5	-5	1.86971428135975	0.193614295428634	0.931182153667447	-0.844087310914094	0.412992798904376	-5	-5	-5	-1.01269132626882	-5
Healthy	0.612949069045181	-5	1.10627625137725	-0.368150537840182	-5	0.989411548229137	-0.861981660385737	-1.64704608828991	-2.74957999769111	-1.1049091030656	-5	-1.70289634985074	-5	-1.58972903574782	1.44342916133512	-5	1.56312270394849	-5	-5	-5	-5	-5	-5	-5
Healthy	1.54045411318771	1.1242997452926	0.0496753420608595	0.0509285617774432	-5	-5	-0.436008977413847	-1.10253786198694	0.0798249722168164	-2.09097914578884	-1.79805693659835	-5	-0.359617955290432	-5	0.930091305931401	-0.174957061303584	0.307457527335506	1.03998803970842	0.355493663995184	0.218461978766149	-0.488892380040732	0.199894984410582	-5	-5
Healthy	0.730895274398542	0.572649753445391	-0.768046430801019	-0.544591684757714	-5	-5	-5	-5	-1.10275789719463	-1.08990945440593	-1.9017024635053	-0.963411023244595	-5	-5	1.24487037494188	0.462311130315528	0.445867190898078	-1.37768233916616	0.51030232728663	0.90543588720795	0.910634008346503	-5	-0.210553262965207	-0.893367211079884
D015212	-0.153662887870195	0.135965443269721	1.75156122673905	-1.26400211590821	0.427747321300986	-5	-5	-5	-0.079944537524072	-5	-5	-1.26808905788313	-5	-5	-0.727531789512046	-5	-1.31416872537394	-5	-5	-5	-5	-5	-5	-5
Healthy	1.41598657678453	0.776149613960153	0.490921572614853	-1.10773839308446	0.193238724856175	-5	-5	-0.880216413838302	-0.177714206154696	-5	-5	-5	-0.67623241670322	-5	1.62736421774254	0.423257345715005	-0.600620521847371	0.320561680195237	-5	-5	-5	-5	-5	-5
D015212	1.37075820157861	0.803951220008533	0.00574232857206977	-0.399713374377418	-0.937079736267336	-5	-5	-2.12726117252733	-0.0318253698494713	-1.998266287191	-5	-0.0693514640266479	-1.77417400853811	-5	1.69275317907432	-1.14417809459397	-0.213639050666793	-1.29972906264356	-2.11182050608167	-1.91470942176993	-5	-5	-5	-5
Healthy	1.29766532782319	0.806758421702446	0.393975096445539	-5	-5	-5	-5	-5	-0.147812887895141	-5	-5	-5	-0.509002705984747	-5	1.23899524129313	0.753411451864336	0.0154352054250808	-5	0.46037156183465	-5	-5	0.355229239344489	-5	-5
Healthy	1.31259663335331	1.40267260647622	-0.486076911675506	-1.06570359318059	0.521164245234233	-1.25328797748334	-2.3585258894959	-5	-2.18309616062434	-1.78887945874195	-0.543679524625626	-5	0.252428233716468	-5	1.39981973061662	0.719140619695214	-0.547922086510154	-1.61136603064821	0.505339940604518	-5	0.104521252618329	-5	-5	-5
Healthy	0.792191307435894	1.00806037456492	-5	-5	-5	-5	-5	-5	-1.64474009447262	-0.371795045398399	-5	-5	-5	-5	1.58969118064357	0.837224058796229	0.383400614175564	-0.163068550109335	-5	-5	-5	-5	-0.620730750526353	-5
Healthy	1.26187639673694	0.782903837869686	1.10882842935222	0.091846264855252	-5	-1.36101184065632	-5	-0.461753115328017	0.563071516383439	-5	-5	-0.545246580034338	-1.29191918953177	-5	1.07148359866083	0.557983341397184	-0.0870131533003444	-1.65757731917779	0.573923549338574	-0.0989123766000521	-0.0631445861152637	0.290828977408293	-1.34208406317004	-5
Healthy	1.59537506542604	0.970598824129357	0.436447310914848	-0.559515979176601	0.49474716856849	0.236479318104428	-5	0.336385677323575	0.301743823124463	-5	-1.9613798380503	-5	0.678835107291026	-5	1.09518156034197	-0.910094888560602	-1.6714165502858	0.358808271489324	-5	-5	-5	-5	-5	-5
D015212	1.56086615665429	-5	1.34361161102092	0.406926615702557	-5	0.190281261043729	-5	-5	-0.0215227480622242	0.0710862990788238	-5	-0.853778911188119	0.255465481992464	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.640088704941548	0.541474401590156	-5	-0.722757627218642	-5	-5	-5	-5	-1.7830427926389	-0.10075419655213	-5	-5	-5	-5	1.25872082968974	0.935657378806223	0.25912301859412	-0.0322087372703593	-0.230984736872638	-0.265824467335679	-5	0.0206802558933171	-0.142926951366022	-5
Healthy	1.3757118865383	0.710355188383346	0.99456129217834	-1.48558507941963	-0.00398770325701485	-5	-5	-1.0395292224657	-0.334456530644509	-5	-5	-5	-0.321836849737658	-5	1.476263690349	0.506372423814909	-0.741482440083547	0.558809334357925	-5	-5	-0.0417659044388201	-5	-5	-5
Healthy	1.18324449723243	-0.325662531844354	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.75222451277329	0.374574226824472	0.919187437099777	0.339544849295641	-0.963411023244595	-5	-5	0.515312075477326	-5	-1.70487291474781
Healthy	1.01488034167546	1.29451935233853	-5	-5	-5	-0.673787070000569	-5	-5	-1.68423950933427	-0.76654697795928	-1.23010596418783	-5	-5	-5	1.62225993759292	0.221416846209772	0.335590275135901	0.00361991650831003	-5	-5	-0.400433488998382	-5	-0.606021397348228	-5
Healthy	1.15191322113061	0.423034411187299	-0.460986665060487	-0.731913695552616	0.498321583350671	-5	-5	-5	-0.691713111370895	-0.668006161957744	-5	-1.18601892436353	-5	-5	1.31508932424031	-0.533399263703119	-0.651597772422364	-1.53895190832934	-5	-5	-5	-5	-5	-5
Healthy	1.14402562286898	1.03548137012738	-0.216203578966548	-0.817328613324521	-5	-1.19551981089401	-5	-0.96106208096138	0.164715607852906	-0.986446569458324	-2.77211329538633	-5	-1.65521487736734	-3.39794000867204	1.42352406105931	0.620538918337038	0.819659074117858	0.542963533042303	0.0273944621654235	-0.194444773478747	0.0623713661435777	0.427232859115983	-1.10941133229451	-1.05497479875754
Healthy	1.42342201427606	0.962149054149991	1.38646596861784	-0.74816718137136	-5	-0.515017218069439	-5	-5	-5	-5	-0.622475199326298	-5	-5	-5	0.890926004646825	0.874301452368863	-0.401691094102905	1.04217016556323	0.170203022985664	-5	-5	-5	-5	-5
Healthy	1.25318772119131	0.371568398420568	0.530503213925169	-2.57348873863542	-5	-5	-5	-5	-5	-1.22650610772903	-1.10061729446673	-5	-5	-5	1.22737552968019	1.02329321142189	-0.620803296167865	0.757873338483088	0.743498005693372	-0.743787541434838	0.171196788699384	-5	-1.12644690648638	-1.7867479478036
Healthy	0.584881660330662	0.974226982265468	0.750233691942234	-1.60467360693065	-5	-5	-5	-5	-1.90974194706868	-0.659813762083655	-0.55565848549737	-5	-5	-5	1.60343669195043	1.14318879562959	0.454144853475704	-0.416960004993965	-5	-1.09044397075882	-5	-5	-0.986109939671561	-5
Healthy	1.20437505574366	0.794184003829024	-0.687653360969147	-0.885355661097721	-5	-5	-5	-5	-5	-5	-1.20830935097988	-5	-5	-5	1.63268622347133	0.508945634463445	0.305718859250873	-5	0.763261731784976	-5	-5	-5	-1.09642170633695	-0.678194516142461
Healthy	1.31487020916473	-3.16115090926274	1.39885991175452	-2.97881070093006	-5	0.862933010009963	-0.53426034079614	-5	-5	-1.31443738884177	-1.47977856411804	-5	-5	-5	1.39065343053428	-5	-0.961618308532304	-5	-5	-5	-5	-1.53017798402184	-1.81958736716168	-5
Healthy	0.826166189386517	0.822214515000215	-0.299330889371745	-1.75300930075845	-0.413401444321602	-1.48558507941963	-5	-1.68131073005225	-5	-0.794985207430996	-2.03715731879876	-5	-5	-5	1.50960986887521	1.14014147204914	0.978170470050854	-0.151552231418591	0.71903530230948	-0.726790316599669	0.365081579699462	-5	-0.812310106474816	-0.528605596307167
Healthy	1.33867697157123	0.594813380000131	-0.587875593826683	-0.251145532354061	-5	-5	-5	-5	-1.68298189895189	-1.55346283292636	-2.18708664335714	-5	-5	-5	1.55211106172449	0.7957702138193	0.806486586202032	-0.851613312333179	0.41772737834436	-1.15187248943213	-0.00465882137147871	0.310272618148416	-1.03123695180275	-0.753501419204199
Healthy	1.2825602605898	1.04842587653765	-0.328716051374985	0.0209162281357402	-5	-1.30980391997149	-5	-1.2958494831602	-1.20453710560962	-1.05090287488708	-1.38658105496543	-5	-1.57528166266843	-5	1.53531349193017	0.407458890457392	0.159855824933591	-0.187949407278121	0.079752690996707	-5	-0.0736112448204073	-5	-5	-5
Healthy	0.969957045245668	0.604968687935136	0.768325030057909	-1.78041547378575	1.01102501303179	-1.68319124794698	-5	-5	-0.101346109972029	-0.618217287364813	-1.6267201067225	-5	-5	-5	1.44856611752775	0.249310892365619	1.24685074829116	0.594541709885265	-5	-5	-0.340958972003924	-5	-2.91721462968355	-0.838242804738273
Healthy	1.13142200053863	0.650962842283374	0.749569366032057	-1.05359686610095	-5	-5	-5	-2.70774392864352	-2.43770713554353	-0.408957665056477	-0.551154604488859	-5	-1.87095494011204	-5	1.59364864015416	0.794343722588347	0.541821283181823	0.695786276259427	0.568374233824325	-0.276363751548955	0.51923059217666	-3.09691001300806	-1.23121395309199	-1.91080163319485
Healthy	0.464564059655464	0.326407554571499	-0.181859917724294	-5	0.795363420938209	-0.627972207342595	-5	-1.63808338133136	-0.787785752580059	-0.219985286923832	-5	-5	-5	-5	1.74614522573484	0.937929925210487	0.70774811522215	-0.00291519231145859	0.805146617599273	-5	0.017016635343629	-5	-1.10325338439259	-5
Healthy	-0.7247577694441	-2.43297363384094	1.72695611069928	0.0871458327523663	-5	0.505247683586904	-5	-0.715185902618769	-5	-5	-5	-5	-5	-0.475694771155077	0.955752192332405	-5	-0.120875436210633	-3.82390874094432	-5	-5	-5	-1.77211329538633	-0.879919865870547	-5
Healthy	1.11621643709677	1.00051997338741	-0.00137890022102005	-0.721863993284522	-5	-5	-5	-5	-0.0994417145904625	-0.480276984344663	-5	-0.656847528337743	-5	-5	1.42186919318945	0.920074256594067	0.814258919213428	0.261914416454581	0.557562537843242	0.459439232218998	0.314941086692983	-5	-1.05276239212933	-0.774354787024547
Healthy	0.0459094670350095	-0.0436634570789661	-5	-0.63339028960757	0.521718499145115	-1.46495918674884	-5	-5	-1.93930215964639	-0.722092954952575	-5	-5	-5	-5	1.93358142540017	-5	0.517285651668054	-0.444276944924946	-5	-5	-5	-5	-2.59859945921846	-5
Healthy	0.930982632957629	1.43494188581265	-5	-0.846063245539065	-5	-5	-5	-5	-3.20760831050175	-0.90770052342575	-5	-5	-5	-5	1.55696393400083	1.06594812991886	0.605784337510173	-1.5880437620696	-5	-5	0.14447768699984	-5	-1.43168091490489	-5
Healthy	0.663210772256511	0.554371636252344	-5	-0.669342765288606	-5	-5	-5	-5	-1.2308443092856	-0.174424598877565	-5	-5	-5	-5	1.27546131576099	0.951375894353253	0.318935224047325	0.0138269621155902	-0.172191484490173	-0.262688062010375	-5	0.00220927298801476	-0.183427303973897	-1.27351730321517
Healthy	0.518965108499921	-0.159498701709034	-5	-5	-5	-5	-5	-5	-5	0.220638858627918	-5	-5	-5	-5	1.39716209898583	1.20753338824139	-5	-0.695315634025614	0.528696927648808	-5	-5	-5	-1.24123945609002	-5
Healthy	1.38272503194164	0.0216068482110759	-1.02122621566988	-5	-0.228280266826629	-5	-5	-5	-5	-1.63059858630338	-5	-5	-5	-5	1.49551658621369	-0.622711966364296	0.313365172592993	-0.798439021883263	0.647729093967794	1.19431477032722	0.014293671949801	-1.93404701968613	-1.57528166266843	-0.638933550246058
Healthy	1.10938143304344	0.0385963207931104	-5	-5	-5	-5	-5	-5	-0.845697780315335	-5	-5	-5	-0.45143861810245	-5	1.50486419997644	0.480972246500199	0.279837982245049	0.427195508483244	0.621364296815923	-0.48537256758866	-5	-5	-5	-0.811380832792151
Healthy	0.607349921956901	0.393483947973508	-0.65380355627079	-1.20453710560962	-5	-5	-5	-5	-1.397831448621	-0.0141291292280235	-5	-5	-5	-5	1.86838348948559	0.177146758624016	0.946365790534768	-0.81599035029872	0.408331564643599	-5	-5	-5	-1.0073581301216	-5
Healthy	1.77027099352016	0.473172996720667	-5	-0.938698343793955	0.628762773290026	-0.0579869836405412	-5	-5	-5	-5	-5	-5	-5	-5	1.04513709227305	-5	-0.0430923610367338	0.804313251695468	-0.332761912577582	0.506717392419689	-5	-5	-5	-5
Healthy	0.475268662137219	0.342472029664019	-0.207181230830761	-5	0.80006033001252	-0.650955713397964	-5	-1.9734667354767	-0.849304948857286	-0.15862175641422	-5	-5	-5	-5	1.74525737558798	0.926392871256541	0.712274160742297	-0.0165496310003799	0.794208418796174	-5	-0.00246945725840384	-5	-0.998699066979582	-5
Healthy	1.20174796898831	0.415457483406035	1.35339280128144	1.1958479212595	0.379401614039029	-5	-5	-5	-5	-5	-5	0.410225371069719	-5	-5	0.899410628259633	0.207173711781878	-0.615951397971382	0.785339802310727	-5	0.0200254863257827	-5	-5	-5	-5
Healthy	1.17840854131628	0.329745582554248	0.703513198641274	-0.472524771587791	-5	-2.32422165832591	-0.882165481456253	-1.46218090492673	0.229351581311782	-2.52287874528034	-5	-5	-1.32385531964379	-2.82390874094432	1.54821959852132	0.760112485603433	-0.300995253495097	0.298826887008094	-5	-5	-0.226637820770666	0.335862919556807	-1.43937612545007	-5
Healthy	0.469372767370689	0.309361843843319	-0.411392195257313	-5	0.802783300182877	-5	-5	-5	-0.617982957425132	0.241441878733204	-5	-5	-5	-5	1.74251091554351	1.06591268308008	0.156324980573815	-0.219027778954588	-5	-5	-5	-5	-5	-5
Healthy	0.52023716615483	0.319264334449031	-0.30756731148585	-5	-5	-5	-5	-1.7619538968712	-1.01295971302073	-1.59380057633669	-5	-5	-5	-5	1.68411874656299	1.34654132350584	0.370079874415941	-5	0.251956829472245	-5	-0.111152442643604	-5	-0.69216179584344	-5
Healthy	0.670205020049456	0.712669900900809	-5	-5	1.0643010907268	-5	-5	-5	-0.654998961821958	-5	-5	-5	-5	-5	1.33460271273611	0.763092408893041	0.517411011841207	0.288582310361681	-0.0477404634091795	-0.21511893041391	0.353773942046363	-5	-5	-5
Healthy	0.650437694808689	0.893824988069619	-5	-1.96217524941166	-0.647335200348899	-5	-5	-5	-2.49349496759513	-1.35733766855796	-1.18329481633348	-5	-5	-5	1.36200682779646	1.31518938226151	0.815480120702342	1.06992253224919	-5	-1.70289634985074	0.364537863140856	-5	-1.03428102975578	-1.39061905574929
Healthy	0.695893010680155	0.953635037609222	0.712346599731528	-0.590997296598228	-5	-1.708409174342	-5	0.359939776350954	-1.45247142354022	-2.28232949699774	-2.43297363384094	-2.14508697769214	-1.00291956452827	-1.6643415477107	1.70142921313911	0.782248252400543	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.41534968477539	0.945889872880691	0.992401068294658	-0.267027566564563	0.609324358441716	-1.91435271170314	-5	-0.712332608725865	-1.60136567546161	-0.283879746664904	-0.690433704106227	-1.20523320205918	-1.04186632432376	-5	1.10118907326706	0.74022922213786	0.323487236368282	0.674658177715271	-5	-5	-5	-5	-1.17947015147648	-5
Healthy	1.20227438660659	1.24625723903805	-0.135524518308971	0.358813974372079	-5	-5	-2.52143350440616	-5	-1.05978244440026	-1.98380264648756	-0.424569664694468	-5	-5	-5	1.32834310485708	0.646343920833674	0.665625074829395	-0.97790170253886	0.590723719144111	-5	-0.23099952136564	0.352346553933043	-0.548014111051091	-0.861570979993996
Healthy	1.14197781774328	0.673914394293989	0.412347969086344	-5	-5	-5	-5	-5	-5	-0.85325198636936	-1.2057211342786	-5	-0.912999879204009	-5	1.37317930623549	1.2341425555571	0.402440223353807	0.412611726156164	0.98004475264662	-0.265648292705235	0.275523266187393	-5	-5	-1.41072077876403
Healthy	1.13642724009451	0.575046907362638	-0.29654525468797	-0.703290943824397	0.650990004544447	-0.522893222004348	-5	0.443353749433271	-5	-0.996496385257463	-5	-5	-5	-5	1.73083070729463	0.843816844609101	0.626298270597842	-5	0.0441750821728493	-5	-5	-5	-1.70929775671215	-5
Healthy	0.73885267074137	0.65110833457348	-5	-5	-5	-5	-5	-0.905738557279498	-5	-1.78489141894691	-5	-5	-5	-5	1.71839131588211	1.07351526561884	0.103064449522434	-5	-5	-5	-5	-5	-5	-5
Healthy	0.765563506854856	0.411463129730481	-2.17392519729917	-1.19348086591929	-5	-5	-5	-5	-5	-0.885322308989122	-3.56863623584101	-5	-1.14929251462546	-5	1.88037084345413	-0.288614620901548	-1.07572071393812	-5	-5	-5	-5	-5	-1.35872424276809	-5
