g	Streptococcus	Ruminococcus_B	Clostridium_Q	Longicatena	Muricomes	Eisenbergiella	Schaedlerella	Erysipelatoclostridium	Gordonibacter	Eggerthella	Alistipes	Parabacteroides	Ruminococcus_H	Butyrivibrio_A	Barnesiella	Ruminiclostridium_E	Phascolarctobacterium	Paraprevotella	Alistipes_A	Coprobacter
Healthy	-5	-5	-1.5777385491864	-0.900077767803078	-1.40099076017666	-1.35941919351035	-5	-5	-0.833984543676225	-1.85356186471423	0.0880190793238638	0.481229012021988	0.256919696449344	-5	-5	-0.362810577851238	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.295652121429059	0.925511656050378	-5	-5	0.866621056253241	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.83374754804584	0.235912072547043	0.171705981376956	-5	0.458722433800222	0.111165021757667	-5	-5	-5	-5
Healthy	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.169411331314856	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.01469774850903	0.289985611272195	-0.134896025358872	-5	-5	-5	0.529330239490453	-5	-5	-5
Healthy	-5	0.222378265944956	-5	-0.517555208081735	-5	-1.33264045381691	-5	-5	-5	-5	1.0325200463414	0.201765708466026	-5	-5	-5	-5	-5	-5	-0.818671012910266	-5
Healthy	-2.11520463605102	-3.65757731917779	-5	-2.81247927916354	-5	-5	-5	-5	-1.44708854978349	-5	0.32121926695224	0.137043790184323	-1.63978538670465	-5	0.799515610671236	-0.327052864653497	-5	-5	0.196051767145499	-0.496331862454351
Healthy	-1.77572598570574	-1.02599520310259	-5	-2.07935499859321	-5	-5	-2.10846254232744	-5	-5	-5	0.378241599497053	0.199497375490972	0.846837314327683	-5	-0.15358247041197	-2.77211329538633	-5	-0.919121089658183	-5	-1.4087127349415
Healthy	-1.71579493229821	-2.26680273489343	-5	-5	-5	-5	-5	-5	-5	-5	0.631627392107811	0.0638922893443259	-0.378605586791193	-5	-0.685858796739429	0.884362552546645	-5	0.118344102441943	-1.4641997091751	-1.70136521687556
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.997676399751038	-0.13519829994923	-5	-5	-0.0687608572473792	-5	-5	-5	-5	-5
Healthy	-1.28291227507298	-1.26913700795351	-5	-1.82944494147879	-5	-5	-5	-3.2518119729938	-5	-1.69100897099984	1.08252543369551	0.557037765882228	-0.916175003946663	-5	0.856505343348038	-5	-5	-0.440847764013325	-0.435286603778826	-1.18902860017779
Healthy	1.1269644402306	0.487202029612374	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.490821992900465	1.22148491906009	-5	-5	-5	-5	-1.20600019901553	-5	-5
Healthy	-1.79425445905734	-5	-5	-5	-1.49052864789745	-5	-5	-5	-5	-5	1.31567232140591	0.687245284100021	-0.476578725627368	-5	-0.152785287758974	-5	-5	0.65061249090147	-1.36321131096562	-5
Healthy	-5	-0.454952795598816	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.55339155917997	-5	-5	-0.797130412284789	-5	-5	-5	-5
Healthy	-0.917789283398757	-5	-0.769091480679235	-5	-0.975309137644569	-5	-5	-5	-5	-5	0.183281234864086	0.931182153667447	-5	-5	0.412992798904376	-5	-5	-5	-1.43497907165471	-5
Healthy	-0.368150537840182	0.597037763343695	-5	-2.74957999769111	-5	-5	-5	-1.70289634985074	-5	-5	-5	1.56312270394849	-5	-5	-5	-5	-5	-0.350655403852584	-5	-5
Healthy	-0.0252258755880268	-0.720675334557389	-5	-5	-5	-5	-5	-5	-5	-5	-0.174957061303584	0.307457527335506	1.03791271517197	-5	0.355493663995184	-1.08107890990866	0.199894984410582	-0.895069260922259	-5	-5
Healthy	-0.544591684757714	-5	-5	-1.97633608180221	-5	-1.85886390987926	-5	-5	-1.93255715722362	-5	0.404301636544275	0.445867190898078	-1.52665903581406	-5	0.51030232728663	0.383077156157465	-5	-0.749433630959876	-0.440644069587046	-0.893367211079884
