s	Streptococcus_parasanguinis_D	Clostridium_Q_symbiosum	Enterocloster_clostridioformis_A	Muricomes_sp000509105	Enterocloster_asparagiformis	Schaedlerella_glycyrrhizinilyticum	Longicatena_innocuum	Gordonibacter_pamelaeae	Enterocloster_sp000155435	Eggerthella_lenta	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Alistipes_obesi	Parabacteroides_johnsonii	Paraprevotella_clara	Alistipes_A_indistinctus	Coprobacter_fastidiosus	Paraprevotella_xylaniphila
Healthy	-5	-1.5777385491864	-5	-1.40099076017666	-5	-5	-1.89177334362507	-0.833984543676225	-5	-1.85356186471423	-0.71810344975394	0.256919696449344	-5	0.0142264293892295	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.295652121429059	-5	0.866621056253241	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.83374754804584	0.171705981376956	0.458722433800222	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.329225520373139	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.90899568475106	-0.134896025358872	-5	0.217052067154388	-0.440656048967849	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.968106396806949	-5	-5	0.171907737413988	-5	-5	-5	-0.818671012910266	-5	-5
Healthy	-2.74714696902011	-5	-5	-5	-5	-5	-2.81247927916354	-1.44708854978349	-5	-5	0.216377057988173	-1.63978538670465	0.799515610671236	-0.857454115913723	-1.03390522055383	-1.64263696938486	-5	0.196051767145499	-0.496331862454351	-5
Healthy	-2.431798275933	-5	-5	-5	-5	-2.10846254232744	-2.86327943284359	-5	-5	-5	0.338133641034116	0.846837314327683	-0.15358247041197	-0.912786658768385	-1.21381665443237	-5	-0.955421045123387	-5	-1.4087127349415	-2.014573525917
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.590282172556603	-0.378605586791193	-0.685858796739429	-0.713768145971447	-0.795635795378995	-1.39233056331176	0.0145205387579237	-1.4641997091751	-1.70136521687556	-0.554006818212353
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.680245743900049	-5	-0.0687608572473792	-5	0.438997763148884	-5	-5	-5	-5	-5
