group	Ruminococcaceae	Marinifilaceae	Streptococcaceae	Lactobacillaceae	Pasteurellaceae	Desulfovibrionaceae	Eggerthellaceae	Veillonellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	3.74911	0	0	0	0	0.70028	0.16055	0	0	0	1.16509	1.22466	1.83689	9.6929	0	0.29566	0	0.18247	0	0
Healthy	1.06913	0	0	0	0	0	0	0	0	0	12.81393	0.50622	0	0	7.35564	0.05238	0	0	0	0
Healthy	1.2917	0	0	0	0	0	0	0	0	0	5.273	0.14663	1.48492	0	2.87555	0	0	0	0	0
Healthy	2.738	0	0	0	0	0	0	0	0	0	0.4486	0	0	0	0	0	0	0	0	0
Healthy	5.39337	0	0.67699	0	2.17012	0	0	1.05582	0	0	20.27984	10.34421	0.73299	0	0	6.07888	0.67699	0.01918	0	0
Healthy	1.91785	0.55586	0	0	0	0	0	0	0	0	4.83874	10.92935	0.55695	0	0	0.15992	0	0.32099	0	0
Healthy	2.22194	0.95678	0.03327	0.01044	0	0.04458	0.03571	0	0	0	12.61702	3.6657	0.41188	0.0964	6.30253	2.69313	0.03327	0.06025	0.01044	0.3189
Healthy	8.86169	0.32504	0.01675	0.0443	0.00554	0.00051	0.05097	0.00592	0.11958	0	13.11565	2.38913	7.06944	0.08436	0.70212	0.00297	0.01675	0.01258	0.0443	0.03901
Healthy	10.9513	0.77354	0.01923	0	0	0.18026	0	0	0	0	17.38151	4.31613	0.4182	0	0.20612	0.0108	0.01923	0	0	0.01988
Healthy	17.1618	0	0	0.08494	0	0	0.06994	0	0	0	15.16349	9.94663	0	0	0.85356	1.7984	0	0	0.08494	0
Healthy	5.78407	1.90355	0.05212	0	0	0.01459	0.265	0.01238	0	0.00401	15.18054	12.45978	0.77206	0	7.18629	1.79202	0.05212	0.7062	0	0.0647
Healthy	3.80287	0	13.39566	0	0	0	0	0	0	0	9.4425	0	16.6527	0	0	0	13.39566	0	0	0
Healthy	7.65391	0.9057	0.01605	0	0.07188	0.07128	0.24751	0.0137	0	0	2.35283	20.72911	0.33374	0	0.70341	0.0282	0.01605	0	0	0
Healthy	1.67025	0	0.34454	0.10925	0	0	0.82913	0	0	0	28.12663	0	35.7595	2.37596	0	0	0.34454	0	0.10925	0
Healthy	2.41444	0	0.12083	0	0	0.09711	0	0	0	0	3.85457	1.56175	0.14318	1.50465	2.58816	0.09287	0.12083	0.05465	0	0
Healthy	0	0	0.42839	0.1374	0.02253	0	0	9.75913	0	0.02571	4.10155	0	0	2.5797	0	0	0.42839	0.00177	0.1374	0
Healthy	13.31372	0.32441	1.12441	0.36642	0.07896	0	0.01591	0	0.43689	0	34.70995	0.6684	10.96447	0.0583	2.26721	0.05064	1.12441	1.20177	0.36642	0
Healthy	3.73808	8.14017	0.28536	0	0	0.6158	0.01253	0	0	0	5.38139	2.89941	0.0419	0	3.23818	1.19055	0.28536	0.07892	0	0.12782
Healthy	5.9724	0	0.07802	0	0.13175	0	0	0	0.21074	0	26.06072	2.65006	2.09199	0	0	0.05761	0.07802	0.66417	0	0
Healthy	6.40852	0	0	0	0	0	0	0	0.30973	0	19.84564	5.66775	0	16.867	2.88649	0	0	0.71151	0	0
Healthy	25.27391	1.27209	0.08595	0.00437	0	0	0.28596	0.0558	1.78824	0	20.53981	5.23769	0.02446	0.04967	3.20139	0.02467	0.08595	0.00655	0.00437	0
D016640	5.49779	0.32287	0.16344	0.04858	0.16775	0.09415	0.00503	0.16192	0.43086	0.00572	33.63518	2.62695	7.97556	0.00944	0.53023	0.00194	0.16344	0.02915	0.04858	0.03127
Healthy	10.18732	0	0	0	0	0.23947	0	0	0	0	6.19713	6.87422	0.68695	0.02561	0	0.15702	0	0.02265	0	0
Healthy	6.06601	0.86467	1.2355	0	0.34533	0.04548	0	0.04354	0.05105	0	18.27579	3.61395	0.02199	21.7082	3.74906	0.12934	1.2355	3.65654	0	0
Healthy	9.34541	0	0.27572	0	2.16962	0	0.01092	1.72376	4.77347	0	39.389	0.12299	2.28458	0	0	0.12175	0.27572	2.00328	0	0
Healthy	3.47915	0	0.18933	0	0	0.71956	0	0	0	0	4.36604	8.62297	0.92851	6.48238	0.5875	0.04911	0.18933	0.01647	0	0
Healthy	5.1328	0.9083	0.03268	0	0.09129	0	0	0	0.4766	0	23.75263	3.20901	3.62083	0	0	0.0283	0.03268	0.46295	0	0
Healthy	0.47242	0	0	0	0	0	0	0	0	0	15.2491	2.36904	2.18546	0.1043	0.10878	0.32161	0	0	0	0.01972
Healthy	19.7024	0.3977	0	0	0	0.24772	0.05886	0.21193	0	0	10.34856	1.665	1.00836	0.09972	0	0.01507	0	0.02068	0	0
Healthy	2.6487	0	0.18538	0	0	0	0	0	0	0	14.18773	0.29281	0.0289	0	0	0	0.18538	0.20336	0	0
Healthy	10.85128	1.15443	0.15228	0	0.10937	0.07772	0.00168	0.06374	0.02211	0.00039	13.93238	4.17386	3.4911	0.09298	1.0651	0.19046	0.15228	1.46121	0	0.0881
Healthy	9.16534	0	0.17857	0	0	0	0.23851	0.30547	0	0	26.51074	7.48688	11.0197	0.21745	1.47979	0.04446	0.17857	0	0	0
Healthy	2.3527	1.48318	0.00266	0	0	0.07473	0.07931	0	0	0	17.91379	10.55098	5.72628	0	5.53984	0.19327	0.00266	0	0	0.01633
Healthy	9.42381	0	0.02484	0	0	0.10324	0.27818	0	0	0	3.84486	13.90556	0.38285	0	0	0.002	0.02484	0.0123	0	0
Healthy	6.22563	0	0.1302	0	0	0.08008	0.06189	0	0	0	16.00939	3.22808	0	0	5.79777	4.30761	0.1302	0	0	0.20979
Healthy	0.00068	0	0.00104	0.29223	0	0.01514	0.03312	7.29344	0	0	20.64762	0	0	0.91721	0	0	0.00104	0	0.29223	0
Healthy	6.6407	2.31782	0.01765	0	0.02082	0.15405	0.00917	0.03268	0	0	6.7014	13.80833	0.70541	0.05728	5.23642	1.45864	0.01765	0	0	0.29606
Healthy	3.9338	0.98932	0.56085	0	0	0.09305	0.00649	0	0	0	21.81106	6.24841	0.14072	0.09665	2.61653	2.12136	0.56085	0.02074	0	0.17639
Healthy	11.17958	0.84408	1.04933	0	0.05059	0	0.04105	0.04899	0.02658	0	19.16726	2.55539	0.6487	0.10061	1.20157	0.14328	1.04933	0.06243	0	0
Healthy	4.02687	0.45607	0.01657	0	0	0.0012	0.02361	0.02073	0	0	9.33161	1.77545	3.93134	0.00903	0	0.02565	0.01657	0.79186	0	0.14512
Healthy	4.47674	3.30544	0.08838	0	0.00195	0.05871	0.28108	0	0.01345	0	13.53386	6.22792	4.96347	0.0092	3.70146	0	0.08838	0.00364	0	0.01227
Healthy	2.12034	1.03995	0	0	0.023	0.07883	0	0.23551	0	0	2.91449	8.66821	0.9933	0.07286	6.38478	0.29286	0	0.163	0	0
Healthy	0.00368	0	1.2222	0	0.19266	0.13184	0	3.20071	0	0.33442	0.18846	0	0.00014	16.2661	0	10.9103	1.2222	0	0	0
Healthy	10.01197	2.06509	0.18972	0	0	0.08855	0	0	0	0	13.06821	8.31905	1.82773	0	3.61045	0	0.18972	0.79534	0	0.16812
Healthy	0.90434	0	0.23259	0	0	0.00251	0	0.03427	0	0	1.11149	0	0.35951	0.37736	0	0.0857	0.23259	0.01149	0	0
D016640	0.83019	0.67355	0.14206	0	0	0.13444	0.12719	0	0.00101	0.01125	11.09183	0.46713	0.01567	0.24205	0	0	0.14206	3.61017	0	0
Healthy	27.22336	1.39468	0.14253	0	0	0.037	0	0	0	0	8.53065	11.63986	0.02581	0	0	1.28454	0.14253	0.00061	0	0
Healthy	3.58402	0	0.21411	0	0	0.65549	0	0	0	0	4.60479	8.94078	1.03234	6.37382	0.67267	0.03316	0.21411	0.05876	0	0.05326
Healthy	0.69262	0	0	0	0	0.05737	0	0	0	0	3.30342	16.12624	0.20168	0	3.37828	0.1002	0	0	0	0
Healthy	1.051	1.03345	0	0	0	0.02658	0	0	0	0	24.13931	0.23838	0.15905	0	4.44353	0	0	0	0	0.22964
Healthy	1.09293	0	0	0	0	0	0	0	0.35363	0	12.86415	3.02671	2.6742	16.4109	4.1818	0.04035	0	0.14265	0	0.15438
Healthy	2.47447	0	0.06243	0	0	0.09831	0	0	0	0	4.04901	1.50364	0.15275	1.67377	2.56053	0.08025	0.06243	0.04	0	0
Healthy	2.97284	0	0.11515	0	0	0	0	0.875	0	0	58.92111	0	6.37254	0	0.46476	0	0.11515	0	0	0
Healthy	2.20024	0.99432	0	0	0.01062	0.10029	0	0.22337	0	0	2.98722	8.44097	0.9626	0.02833	6.22598	0.29889	0	0.14147	0	0
Healthy	2.60289	0	15.69812	0	0	0	0	0	0	0	15.91284	1.61128	6.10013	1.75061	0	0	15.69812	0	0	0
Healthy	2.1367	0.59341	0.33687	0.13116	0.03449	0.03635	0	0.00473	0.04743	0.00149	15.08024	5.75588	1.98987	6.48387	0	8.98905	0.33687	1.6957	0.13116	0
Healthy	2.03873	0	0	0	0	0	0	0	0	0	2.94694	11.63891	0.6039	0	0	0.12857	0	0.24099	0	0
Healthy	2.08575	0.77418	0	0	0.01729	0.20315	0	0	0	0	3.31311	22.20962	0	0	1.7863	5.95389	0	0.09705	0	0
