g	Streptococcus	Ruminococcus_C	Clostridium_A	Muricomes	Anaerotruncus	Bilophila	Adlercreutzia	Gordonibacter	Eggerthella	Rothia	Dialister	Methanobrevibacter_A	Sutterella	Phascolarctobacterium	Desulfovibrio
Healthy	-5	-5	-1.52186657189948	-1.40099076017666	-5	-1.01224438326148	-5	-0.833984543676225	-1.85356186471423	-5	0.418049261100667	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.579395987303872	-5	-1.28075160155205	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.279527783292017	-5	-5	-5	-5
Healthy	-0.169411331314856	-0.684470466786151	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.783824284719325	0.529330239490453	-5
Healthy	-5	-5	-0.254175994059787	-5	-5	-5	-5	-5	-5	-5	0.792386786145778	-5	-5	-5	-5
Healthy	-2.11520463605102	-5	-0.410072728013453	-5	-5	-1.35076252765039	-5	-1.44708854978349	-5	-5	-5	-5	0.429679622431677	-5	-5
Healthy	-1.77572598570574	-1.83356988615672	-1.38331447910449	-5	-5	-3.2839966563652	-1.29260016886675	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.71579493229821	-0.683526416384916	-5	-5	-5	-1.67264106561367	-5	-5	-5	-5	-5	-5	-5	-5	-0.876605751894469
Healthy	-5	-5	-5	-5	-5	-5	-1.15521228117215	-5	-5	-5	0.469780792850616	-5	0.254888708775947	-5	-5
Healthy	-1.28291227507298	-0.749848464883388	-0.186559129026798	-5	-1.59739475808009	-1.91080163319485	-0.611454779904043	-5	-1.69100897099984	-2.39577394691553	-5	-0.593527949534324	0.249137184846198	-5	-5
Healthy	1.1269644402306	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.79425445905734	-1.05695088899159	-5	-1.49052864789745	-5	-1.14697138528701	-0.606389703644708	-5	-5	-5	-0.355541715083896	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-0.0813721327862228	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.917789283398757	-5	-0.844087310914094	-0.975309137644569	-5	-1.01269132626882	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.368150537840182	-5	-5	-5	-5	-5	-5	-5	-5	-1.58972903574782	-5	-5	-5	-5	-5
Healthy	-0.0252258755880268	-0.504649959032597	-1.28166442109149	-5	-5	-5	-1.79805693659835	-5	-5	-5	-5	0.218461978766149	-5	0.199894984410582	-5
Healthy	-0.544591684757714	-1.22242819530859	-1.91435271170314	-5	-2.26440110030182	-0.598186042260152	-3.06048074738138	-1.93255715722362	-5	-5	-5	0.882374244923364	0.0620590120476802	-5	-0.439400014692459
Healthy	-1.10773839308446	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.193238724856175	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.355229239344489	-5
Healthy	-1.10226297465457	-1.02218497391681	-1.97021052916814	-5	-5	-5	-0.564776953788971	-1.86742015234026	-5	-5	0.521164245234233	-5	-5	-5	-5
D016640	-0.786615075083612	-0.972976745411296	-1.7582045687048	-5	-5	-1.02613355016462	-5	-5	-2.29756946355447	-2.24184537803261	-1.81872822844054	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-2.15490195998574	-1.70092873997259	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.342217742188462	-1.43403418255333	-1.65757731917779	-1.80799040734633	-5	-2.88272870434424	-5	-5	-5	-5	-5	-0.106138411603977	-0.888233566947438	0.290828977408293	-1.35467599843771
Healthy	-0.559515979176601	-5	-5	-5	-5	-5	-1.9613798380503	-5	-5	-5	0.49474716856849	-5	-5	-5	-5
Healthy	-0.722757627218642	-5	-1.51413667040267	-5	-5	-1.70863114954842	-5	-5	-5	-5	-5	-0.265824467335679	-5	0.0206802558933171	-0.305350935152359
Healthy	-1.48558507941963	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.00398770325701485	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.515312075477326	-5
Healthy	-5	-5	-0.974039090143621	-5	-5	-0.606021397348228	-1.24595761321456	-2.67366413907125	-5	-5	-5	-5	-5	-5	-5
