o	Bacteroidales	Lachnospirales	Oscillospirales	Lactobacillales	Coriobacteriales	Desulfovibrionales	Pseudomonadales	Peptostreptococcales	Methanobacteriales	Acidaminococcales
Healthy	1.12037516310008	0.0663632022584946	0.753748472904391	-5	0.157293537030964	-0.154722075245364	-5	-5	-5	-5
Healthy	1.85877539268605	1.10768268611987	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5
Healthy	1.76248500077786	0.72205859495003	0.443518011668105	-5	-5	-5	-5	-5	-5	-5
Healthy	0.753566207633706	-0.348131049753465	0.440548593956687	-5	-5	-5	-5	-5	-5	-5
Healthy	1.67342301960269	1.30706473841213	0.788509872400148	-0.169411331314856	-5	-5	-5	-5	-5	0.529330239490453
Healthy	1.84256505913163	0.684733184327011	0.408058405844381	-5	-5	-5	-5	-5	-5	-5
Healthy	1.49356483387704	1.1009571356995	0.459184338446896	-1.35931984672233	-0.249483891283201	-1.35076252765039	-5	-5	-5	-5
Healthy	1.71315322488589	1.11779014983648	1.20263541825529	-1.21424320003736	0.113150877468074	-3.2839966563652	-5	-0.922305134113414	-5	-5
Healthy	1.76828215948572	1.24008775247789	1.05717296444977	-1.71579493229821	-1.91470942176993	-0.744076541267099	-5	-5	-5	-5
Healthy	1.40912732608835	1.18079945560002	1.26886639176701	-1.07083661679494	0.146202479780109	-5	-5	-5	-5	-5
Healthy	1.751024304759	1.18128750658172	0.840885492996785	-1.28291227507298	-0.576737737901385	-1.83564714421556	-5	-5	-0.593527949534324	-5
Healthy	1.3636531513135	0.975087453435228	1.31081179804747	1.1269644402306	-5	-5	-5	-5	-5	-5
Healthy	1.83153801034881	0.37159239488545	0.902419570561906	-1.79425445905734	-0.434990895787404	-1.14697138528701	-1.41612140150137	-5	-5	-5
Healthy	-0.56125202309777	1.4491178545749	1.57321704242274	0.122641769625536	-0.0813721327862228	-5	0.957278688671952	-5	-5	-5
Healthy	1.93835333049894	0.585977063678932	0.540818562812956	-0.917789283398757	-5	-1.01269132626882	-5	-5	-5	-5
Healthy	1.80841638682843	0.612949069045181	-1.1049091030656	-0.217821304876339	0.559244509416333	-5	-0.740406121114051	-5	-5	-5
