group	Bacteroides_intestinalis_A	Bifidobacterium_pseudocatenulatum	Anaerotruncus_colihominis	Bacteroides_nordii	Enterocloster_asparagiformis	Enterocloster_citroniae	Gordonibacter_pamelaeae	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Flavonifractor_sp000508885
Healthy	0	0	0	0	0	0	0.14655	0	0	0	0.19137	1.80683	0	1.03329	0	0.14252	0.08449	0.00566	0.02643	0.01731
Healthy	0	0	0	0	0	0	0	0	0	0	0.50622	0	7.35564	0	0.03901	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.14663	1.48492	2.87555	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13261	0	0	0
Healthy	0	0.80368	0	0.01229	0	0	0	0.01756	0	0	8.10952	0.73299	0	1.64835	0.02644	0.2016	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	9.29193	0	0	1.48561	0	0.18852	0.01178	0.15992	0	0
Healthy	0.16519	0	0	0.00612	0	0	0.03571	0	0	0	1.64579	0.02291	6.30253	0.13884	0.40751	0.10266	0.00053	0.00359	0	0.00359
Healthy	0.03273	0	0	0	0	0	0	0	0	0.00431	2.17837	7.02808	0.70212	0.12223	1.72485	0.75986	0	0.00297	0	0
Healthy	0.07637	0	0	0.00058	0	0	0	0	0	0	3.89297	0.4182	0.20612	0.19329	0.00934	0.01959	0	0.0108	0	0.01615
Healthy	0	0.14721	0	0	0	0	0	0	0	0	4.789	0	0.85356	0	0.02206	0	0	0	0	0
Healthy	0	0	0.02526	0	0	0.009	0	0	0.00401	0	10.3602	0.12128	7.18629	0.27825	1.42095	1.36906	0.00141	0.01728	0	0.00166
Healthy	0	0	0	0	0	0	0	0	0	0	0	16.6527	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.0538	0.0118	0	0	0	0	0	15.4865	0.33374	0.70341	0.44617	0	0.03434	0.06697	0.0282	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	35.7595	0	0	4.88893	3.57055	0	0	0	0
Healthy	0	0	0	0	0.19823	0.00687	0	0	0	0	0	0	2.58816	0.07604	0	0	2.2736	0.09287	0.17017	0.4281
Healthy	0	0	0	0	0	0	0	0	0.02571	0.01128	0	0	0	0	0	0.00034	0	0	0	0.07648
Healthy	0	0.15187	0	0	0	0	0	0	0	0	0.00195	10.9122	2.26721	0.2848	0.84826	0.85011	0	0.05064	0	0
Healthy	0	0	0.00543	0	0.00782	0	0.01167	0	0	0	1.40222	0.02973	3.23818	0.60929	1.87867	0.47688	0.01293	0.00025	0	0.00549
Healthy	0	0	0	0.02234	0	0	0	0	0	0	0	2.09199	0	2.06697	0.76782	0.18656	0	0.05761	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	4.93058	0	2.88649	0.71208	0.27361	0.24265	0	0	0	0
Healthy	0	0.29246	0	0	0	0	0.01356	0	0	0	3.91111	0.01376	3.20139	1.19222	1.01074	0.71108	0	0.02467	0	0
D016640	0.40795	1.80442	0	0	0.00259	0.02125	0	0.0366	0.00572	0.00726	1.88686	7.95812	0.53023	0.43169	0.75175	0.82717	0.01008	0.00194	0	0.0354
Healthy	0	0	0.00699	0	0.39894	0	0	0	0	0	5.61129	0.68695	0	1.26293	0	0	1.02337	0.05902	0.03504	0.2948
Healthy	0.00297	0	0	0.00049	0	0.0022	0	0.06179	0	0	2.3898	0	3.74906	0.30933	1.75281	0.44142	0.04501	0	0.08165	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	2.28458	0	0.10697	1.33005	0.7084	0	0.12175	0	0
Healthy	1.53603	0	0	0	0.26831	0	0	0	0	0	2.55332	0.89791	0.5875	1.6873	0	0	1.5645	0.04911	0	0.10562
Healthy	0	0	0	0.02371	0	0	0	0	0	0	0	3.62083	0	1.81156	0.63437	0.33974	0	0.0283	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.26195	2.18546	0.10878	0.04709	0.10803	0.01568	0	0.32161	0	0
Healthy	1.75159	0	0	0	0	0	0.00211	0	0	0	1.35207	0.90221	0	0.12846	0.06532	0.09136	0	0.01507	0	0.0181
Healthy	0	0	0	0	0	0	0	0.14341	0	0	0.29281	0	0	0	3.71069	0.69925	0.05948	0	0	0.00323
Healthy	0.18363	0	0	0.11517	0.00539	0	0.00019	0.02301	0.00039	0.00323	3.03128	3.41475	1.0651	0.28987	0.17246	0.21407	0	0.18042	0	0.00226
Healthy	0	0.60872	0	0	0	0	0	0	0	0	5.29246	11.0197	1.47979	0.748	1.00185	0.80681	0	0.04446	0	0
Healthy	0.44937	0.0726	0	0.09073	0	0	0.01691	0	0	0	3.97215	5.72628	5.53984	2.3292	0.47205	0.32854	0	0.19327	0	0
Healthy	0.60782	0.39728	0.03366	0	0	0	0.05095	0	0	0	10.9388	0.27019	0	2.72089	0.01676	0.12906	0	0.002	0	0.06212
Healthy	0	0.10753	0	0	0	0	0	0	0	0	2.15595	0	5.79777	0.56692	0.64033	0.17307	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.00104	0	0	0	0	0	0	0	0	0	0.04847
Healthy	3.66252	0	0.06048	0	0	0	0	0	0	0	8.90703	0.70541	5.23642	2.7457	0.00256	0.08949	0.01364	0.01697	0	0.0386
Healthy	13.66	0.23733	0	0.0342	0	0	0	0	0	0	4.93927	0.02428	2.61653	0.47009	0.34	0.48211	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.16754	0.64251	1.20157	0.2092	0.51939	0.3583	0.70127	0.08967	0	0
Healthy	0	0.04715	0.08122	0	0.0139	0.00853	0	0	0	0	1.67026	3.91891	0	0.03848	0.43019	0.38507	0.00145	0.02565	0	0.00503
Healthy	3.90124	0	0.00887	0.02495	0.02408	0.02462	0.01241	0	0	0	3.36889	4.92965	3.70146	1.2034	1.67721	0.25213	0.01271	0	0	0.00098
Healthy	0	0	0.03768	0	0	0	0	0	0	0	0	0.9933	6.38478	0.80032	0.06374	0.03551	0	0.29286	0.00142	0.03838
Healthy	0	0.00783	0	0	0	0	0	0	0.33442	0.02732	0	0	0	0	0	0	0	0	0	0
Healthy	0.69698	0	0	0	0	0	0	0	0	0	6.16383	1.82773	3.61045	1.34397	0.56451	0.20371	0	0	0	0
Healthy	0	0	0.37654	0	0.04816	0	0	0	0	0	0	0	0	0	0.01863	0	0.04057	0.0857	0.48828	0.18101
D016640	0	0.37785	0.06627	0	0.17038	0.09327	0.05179	0.02179	0.01125	0.01346	0	0.00052	0	0.20957	0	0.11619	1.4654	0	0.07017	0.55572
Healthy	2.2582	0	0.01096	0	0	0	0	0	0	0	8.99271	0.02157	0	1.94877	0.02058	0.12538	0	1.28454	0	0.00071
Healthy	1.65739	0	0	0	0.2611	0	0	0	0	0	2.66982	0.98058	0.67267	1.6358	0	0	1.62353	0.00459	0	0.09636
Healthy	0	0	0	0	0.12716	0	0	0	0	0	15.5338	0	3.37828	0	0	0	0.93572	0	0.02064	1.59455
Healthy	0	0.02427	0	0	0	0	0	0	0	0	0	0.15905	4.44353	0.05927	0.92226	0.64062	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.88022	2.6742	4.1818	0.13212	0.31703	0.06819	0	0.04035	0	0
Healthy	0	0	0	0	0.16252	0.00562	0	0	0	0	0	0	2.56053	0.05958	0	0	2.36353	0.08025	0.17587	0.43714
Healthy	0	0	0	0	0	0	0	0	0	0	0	6.37254	0.46476	0	0.44587	0.53306	0	0	0	0
Healthy	0	0	0.05406	0	0	0	0	0	0	0	0	0.9626	6.22598	0.76034	0.0557	0.01221	0	0.29889	0	0.08478
Healthy	0	1.17619	0	0	0	0	0	0	0	0	1.15056	6.10013	0	0.06462	1.94333	4.10101	0	0	0	0
Healthy	0	1.64255	0	0.01078	0	0	0	0	0.00149	0.00854	5.14852	1.98987	0	0.11371	0.56239	0.32815	0	0.13187	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	9.82837	0	0	1.64924	0	0.17257	0.03657	0.12857	0	1.70662
Healthy	0.77957	0	0	0	0	0.0049	0	0	0	0	17.8616	0	1.7863	2.90099	0	0	0	0.0276	0	0.01813
Healthy	0	0	0	0	0	0	0	0	0	0	5.02799	1.94348	0.89589	0.64943	0.0884	0.08257	0	0.00574	0	0
Healthy	0	0	0.00225	0.44311	0	0	0.0036	0	0	0.0109	0	11.6922	0	16.5611	0.04157	0.24782	0	0	0.0004	0
Healthy	0	0	0	0	0.01063	0	0	0.01138	0.02165	0.00212	0	0	0	0	0.91156	0.00032	0.10291	0	0.29612	0.00315
Healthy	0	0.00456	0.03849	0	0.00864	0.01718	0.01863	0	0	0	5.43494	3.74279	0	0	1.94611	0.04304	0.03732	0.00678	0.07417	0.07731
