f	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Rikenellaceae	Bifidobacteriaceae	Marinifilaceae	Streptococcaceae	Selenomonadaceae	Coriobacteriaceae	Enterobacteriaceae	Lactobacillaceae	Pasteurellaceae	Coprobacteraceae	Desulfovibrionaceae	Veillonellaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Dialisteraceae	Methanobacteriaceae	Acidaminococcaceae
Healthy	0.951376380098069	0.0663632022584946	0.573929341329467	0.0880190793238638	-1.78251605578609	-5	-5	-5	0.105820041248875	0.986454180272142	-5	-5	-5	-0.154722075245364	-5	-0.794362640520571	-5	-5	0.418049261100667	-5	-5
Healthy	1.74783028473047	1.10768268611987	0.0290345782176112	-0.295652121429059	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.579395987303872	-5	-5
Healthy	1.72534398472439	0.72205859495003	0.111165021757667	-0.83374754804584	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.753566207633706	-0.348131049753465	0.437435029969223	-5	0.256147450368233	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.279527783292017	-5	-5
Healthy	1.54219842077457	1.30706473841213	0.731861020341784	1.01469774850903	-0.0907114758377493	-5	-0.169411331314856	-5	-5	-5	-5	0.336485750711003	-5	-5	0.0235939977382082	-5	-5	-5	-5	-5	0.529330239490453
Healthy	1.75217425969463	0.684733184327011	0.282816901350496	1.03859473133614	-0.419576861588155	-0.255026763964733	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.792386786145778	-5	-5
Healthy	1.26817390882452	1.1009571356995	0.346734281891791	0.564158104275546	-0.301507982535077	-0.0191833724103408	-1.47781668238131	-5	-0.277942228668536	-1.01587791713889	-1.98088370955293	-5	-0.496331862454351	-1.35076252765039	-5	-1.44708854978349	-5	-5	-5	-5	-5
Healthy	1.66858633555195	1.11779014983648	0.947517043534692	0.378241599497053	-0.0859743483036714	-0.488049829624501	-1.77572598570574	-5	0.0957480250442235	-1.07381195089279	-1.35349824996839	-2.25570701687732	-1.4087127349415	-3.2839966563652	-2.22694530663574	-1.29260016886675	-0.922305134113414	-5	-5	-5	-5
Healthy	1.71748543082935	1.24008775247789	1.03946607275992	0.635095523184499	-5	-0.111511609537604	-1.71579493229821	-0.517312174147043	-1.91470942176993	-5	-5	-5	-1.70136521687556	-0.744076541267099	-5	-5	-5	-5	-5	-5	-5
Healthy	1.14982516181725	1.18079945560002	1.23456308954756	0.997676399751038	1.34327168575716	-5	-5	-5	0.123949591081827	-5	-1.07083661679494	-5	-5	-5	-5	-1.15521228117215	-5	-5	0.469780792850616	-5	-5
