s	Bifidobacterium_pseudocatenulatum	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Enterocloster_asparagiformis	Enterocloster_citroniae	Gordonibacter_pamelaeae	Schaedlerella_glycyrrhizinilyticum	Rothia_sp001808955	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Bacteroides_uniformis	Butyrivibrio_A_crossotus	Dialister_invisus	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Phascolarctobacterium_faecium	Mediterraneibacter_torques	Bifidobacterium_sp002742445	Flavonifractor_plautii	Desulfovibrio_sp900556755
Healthy	-5	-5	-5	-5	-5	-0.833984543676225	-5	-5	-5	-5	0.674527717014598	-5	0.418049261100667	-0.362810577851238	-5	-5	-5	-0.102136584883984	-5	-1.29208933428689	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.90145777648425	-5	0.579395987303872	-5	-5	-1.28075160155205	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.17927337432634	-5	-5	0.111165021757667	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.552874973784226	-5	0.279527783292017	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.0949114353947089	-0.795635795378995	-0.329225520373139	-5	-5	-5	-5	-5	-1.75522823850471	-5	1.09209962985614	-5	-5	-5	-5	0.783824284719325	0.529330239490453	-1.01006098671546	-5	-1.73353310455976	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.43515305221608	-5	0.792386786145778	-5	-5	-5	-5	-5	-5	-1.07504911108439	-5
Healthy	-5	-2.2298847052129	-2.74714696902011	-5	-5	-1.44708854978349	-5	-5	-5	-5	0.527267622958763	-5	-5	-0.327052864653497	-5	0.429679622431677	-5	-0.105357231476041	-5	-1.67264106561367	-5
Healthy	-5	-2.08196966321512	-2.431798275933	-5	-5	-5	-2.10846254232744	-5	-5	-2.36451625318509	0.456388810214364	-5	-5	-2.77211329538633	-5	-5	-5	-1.41307529185518	-5	-1.90552887135835	-5
Healthy	-5	-1.71579493229821	-5	-5	-5	-5	-5	-5	-5	-5	-0.361520726941314	-5	-5	0.884362552546645	-5	-5	-5	-1.08996287644695	-5	-1.88405682306094	-0.876605751894469
Healthy	-0.832033186604379	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.325962863082671	-5	0.469780792850616	-5	-5	0.254888708775947	-5	-0.429153626990195	-5	-5	-5
Healthy	-5	-1.33170728955178	-5	-5	-2.04527520902094	-5	-5	-2.39577394691553	-5	-5	0.722922533741182	-5	-5	-5	-0.593527949534324	0.249137184846198	-5	-1.31140222491883	-5	-1.83863199776502	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.538757164376499	-5	-5	-5	-5	-5	-5	0.415979410900535	-5	-5	-5
Healthy	-5	-1.79425445905734	-5	-1.92775010238649	-5	-5	-5	-5	-5	-5	-0.368160675551451	-5	-0.355541715083896	-5	-5	-5	-5	-1.30198649606082	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.797130412284789	-5	-5	-5	0.386238489119285	0.9318081145476	-5	-5
Healthy	-5	-5	-5	-0.702808710968012	-2.16241156176449	-5	-5	-5	-5	-5	1.49050922025472	-5	-5	-5	-5	-5	-5	0.0413413564136055	-5	-0.898562264861151	-5
Healthy	-5	-5	-0.487515724122098	-5	-5	-5	-5	-1.58972903574782	-5	-1.94730605807503	0.0939047441429764	-5	-5	-5	-5	-5	-5	-0.844542498548157	-5	-5	-5
Healthy	-0.81849941153224	-0.817043530944649	-1.0007389288869	-5	-5	-5	-5	-5	-5	-5	0.0847978367009172	-5	-5	-1.08107890990866	0.218461978766149	-5	0.199894984410582	-0.882861333596115	-1.44418031693881	-2.09097914578884	-5
Healthy	-5	-5	-5	-2.10623823794206	-5	-1.93255715722362	-5	-5	-5	-5	-0.0311809535457074	-5	-5	0.383077156157465	0.882374244923364	0.0620590120476802	-5	-1.04029097575357	-5	-1.32449661527204	-0.439400014692459
Healthy	-5	-1.10773839308446	-5	-5	-5	-5	-5	-5	-5	-5	1.13665747892332	-5	0.193238724856175	0.0600213249091543	-5	-5	-5	-2.00700490156866	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.60562391457756	1.17511763840797	-5	-1.65384269776799	-5	-5	0.355229239344489	-0.253716179848593	-5	-5	-5
Healthy	-0.533918674889999	-1.48280410205003	-1.35644863143705	-5	-5	-1.86742015234026	-5	-5	-5	-5	-0.0382752433021856	-2.06048074738138	0.521164245234233	1.09237356156773	-5	-5	-5	-1.92701525537207	-5	-2.01547268665621	-5
D037841	0.25634003895668	-1.54211810326601	-1.33677036546713	-2.58502665202918	-1.67243673981272	-5	-5	-2.24184537803261	-1.43640027111847	-2.13846558914096	-1.38700434396765	-5	-1.81872822844054	-5	-5	-5	-5	-1.90239567112559	-5	-1.41555569283482	-5
Healthy	-5	-5	-5	-0.399081530590897	-5	-5	-5	-5	-5	-5	1.06933170287848	-5	-5	0.755196216792059	-5	-5	-5	-1.59448289302362	-5	-0.920637835606954	-5
Healthy	-5	-0.747001419843108	-1.00935041168115	-5	-2.65560772631489	-5	-5	-5	-1.20901152491118	-5	0.319114391018478	-5	-5	-0.725888354734651	-0.106138411603977	-0.888233566947438	0.290828977408293	-1.55893359336074	-1.31984585826563	-5	-1.35467599843771
Healthy	-5	-0.559515979176601	-5	-5	-5	-5	-5	-5	-5	-5	0.602371485883415	-5	0.49474716856849	0.523220834566593	-5	-5	-5	-1.66776358450856	-5	-5	-5
Healthy	-5	-5	-5	-0.571346954737989	-5	-5	-5	-5	-5	-5	0.72381100774591	-5	-5	-5	-0.265824467335679	-5	0.0206802558933171	0.225580630989238	-5	-0.162834699958076	-0.305350935152359
Healthy	-5	-1.48558507941963	-5	-5	-5	-5	-5	-5	-5	-5	0.999124013766143	-5	-0.00398770325701485	-0.312364038953534	-5	-5	-5	-0.521173871043804	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.480825865259064	-5	-5	-1.47108329972235	-5	-5	0.515312075477326	-1.38394480502341	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-2.67366413907125	-5	-5	-5	-5	0.882918809883329	-5	-5	-0.998655769588399	-5	-5	-5	-0.853778911188119	-5	-0.815081546447538	-5
Healthy	-5	-5	-1.37695756575362	-5	-5	-5	-1.47069800221202	-5	-0.843390281834301	-5	0.659996969431711	-5	0.498321583350671	-5	-5	-5	-5	-1.67757394759405	-5	-2.12784372725171	-5
Healthy	-5	-1.34361428094131	-1.31776464309744	-2.26760624017703	-5	-3.69897000433602	-2.67571754470231	-3.39794000867204	-1.63789468070623	-2.48945498979339	-0.0687150678652719	-2.63638802010786	-5	0.720478495926727	-0.194444773478747	-5	0.427232859115983	-1.4330913447732	-5	-1.0841782123796	-5
Healthy	-0.215575294413572	-0.74816718137136	-5	-5	-5	-5	-5	-5	-5	-5	0.108341730858209	-5	-5	-5	-5	-5	-5	-0.92981431362162	-0.377734155008477	-5	-5
