group	Agathobacter	Prevotella	Butyrivibrio_A	Barnesiella	Methanobrevibacter_A	Mediterraneibacter	Anaerobutyricum	Anaerostipes	Paraprevotella	Coprobacter	Prevotella	Barnesiella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Blautia_A	Paraprevotella	Dorea	Anaerostipes	Coprobacter
Healthy	0	0	0	0	0	0.79042	0	0	0	0	0	0	0.79042	0.08449	0	0.14883	0	0	0	0
Healthy	0.84061	0	0	7.35564	0	0.3478	0.03901	0	0	0	0	7.35564	0.3478	0	0.03901	0	0	0	0	0
Healthy	0.0936	0	0	2.87555	0	1.81395	0	0	0	0	0	2.87555	1.81395	0.42454	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13261	0	0	0	0	0	0
Healthy	2.36164	0	0	0	0	0.0977	0.02644	0.12645	0	0	0	0	0.0977	0.09083	0.02644	0.2016	0	0.0346	0.12645	0
Healthy	1.68331	0	0	0	0	0.09156	0	0	0	0	0	0	0.09156	0.04318	0	0.18852	0	0.09171	0	0
Healthy	2.26567	3.75336	0	6.30253	0	2.80546	0.40751	0.25806	0	0.3189	3.75336	6.30253	2.80546	2.12831	0.40751	0.10266	0	0.92636	0.25806	0.3189
Healthy	1.06018	0	0	0.70212	0	0.13689	1.72485	0.1248	0.12046	0.03901	0	0.70212	0.13689	1.42967	1.72485	0.75986	0.12046	0.38312	0.1248	0.03901
Healthy	0	3.98774	0	0.20612	0	0.08128	0.00934	0	1.31323	0.01988	3.98774	0.20612	0.08128	0.05673	0.00934	0.01959	1.31323	0	0	0.01988
Healthy	4.48339	0	0	0.85356	0	0.40802	0.02206	0	0	0	0	0.85356	0.40802	0.06939	0.02206	0	0	0.04749	0	0
Healthy	3.02158	19.4628	0	7.18629	0.25495	1.26581	1.42095	1.3466	0.36236	0.0647	19.4628	7.18629	1.26581	0.48892	1.42095	1.36906	0.36236	0.17167	1.3466	0.0647
Healthy	0	0.30528	0	0	0	2.60602	0	0	0.06222	0	0.30528	0	2.60602	0	0	0	0.06222	0	0	0
Healthy	0.64084	0	0	0.70341	0	0.08537	0	0	4.47313	0	0	0.70341	0.08537	0.13189	0	0.03434	4.47313	0.00959	0	0
Healthy	10.256	0	0	0	0	2.43353	4.88893	0.12332	0	0	0	0	2.43353	3.36158	4.88893	3.57055	0	0.89372	0.12332	0
Healthy	0	0	0	2.58816	0	1.09986	0	0	0	0	0	2.58816	1.09986	2.4787	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.14303	0	0	0.446	0	0	0	0.14303	0	0	0.00034	0.446	0	0	0
Healthy	13.233	0	0	2.26721	1.65371	0.13095	0.84826	0.25623	0.12732	0	0	2.26721	0.13095	2.86464	0.84826	0.85011	0.12732	0.5704	0.25623	0
Healthy	0.12388	6.10752	0	3.23818	7.62735	0.09113	1.87867	0.18994	0.17805	0.12782	6.10752	3.23818	0.09113	0.66391	1.87867	0.52498	0.17805	0.31862	0.18994	0.12782
Healthy	16.92	0	0	0	0	0.11804	0.76782	0.79942	0	0	0	0	0.11804	0.04738	0.76782	0.18656	0	0.06629	0.79942	0
Healthy	0.66154	9.43514	14.9664	2.88649	0	0.94544	0.27361	0	0.07111	0	9.43514	2.88649	0.94544	0.11305	0.27361	0.24265	0.07111	0.14561	0	0
Healthy	7.41907	0.00036	0.00869	3.20139	0	1.78543	1.01074	0.18091	0	0	0.00036	3.20139	1.78543	1.5754	1.01074	0.71108	0	0.33164	0.18091	0
Healthy	0	0	0	0	0	0.02543	0	0	0	0	0	0	0.02543	5.96047	0	0.0389	0	0.04521	0	0
Healthy	2.99815	0	0	3.74906	0.78317	0.0276	1.75281	0.30278	0	0	0	3.74906	0.0276	1.35038	1.75281	0.44142	0	0.41498	0.30278	0
Healthy	18.254	0	0	0	0	0.21263	1.33005	1.55228	0	0	0	0	0.21263	0.60223	1.33005	0.7084	0	0.19194	1.55228	0
Healthy	0	6.96922	0	0.5875	0.54221	1.68104	0	0	0.51247	0	6.96922	0.5875	1.68104	1.83281	0	0	0.51247	0	0	0
Healthy	8.12687	0	0	0	0	0.31833	0.63437	0.15727	0	0	0	0	0.31833	0.15367	0.63437	0.33974	0	0	0.15727	0
Healthy	1.60695	32.1609	0	0.10878	0	0.08068	0.10803	0.04517	0	0.01972	32.1609	0.10878	0.08068	0.21058	0.10803	0.01568	0	0.09646	0.04517	0.01972
Healthy	5.7929	0	0	0	0	0.73155	0.06532	0.13423	0	0	0	0	0.73155	0.10483	0.06532	0.09136	0	0.00182	0.13423	0
Healthy	0	0	0	0	0	0.021	3.71069	0.77688	0	0	0	0	0.021	2.8838	3.71069	0.69925	0	0.00875	0.77688	0
Healthy	2.64282	0.00254	0.0023	1.0651	0.63907	1.21371	0.17246	0.08035	0.8987	0.0881	0.00254	1.0651	1.21371	0.67854	0.17246	0.21407	0.8987	0.17812	0.08035	0.0881
Healthy	12.7214	0	0	1.47979	0	0.11753	1.00185	0.98045	0	0	0	1.47979	0.11753	0.19353	1.00185	0.80681	0	0.42828	0.98045	0
Healthy	10.8748	0	0	5.53984	0.18038	0.00251	0.47205	0.35696	0	0.01633	0	5.53984	0.00251	0.71649	0.47205	0.32854	0	0.13036	0.35696	0.01633
Healthy	2.01973	0	0	0	0.08119	0.02034	0.01676	0	0	0	0	0	0.02034	0.16007	0.01676	0.12906	0	0.0769	0	0
Healthy	2.28172	26.4523	0	5.79777	0	2.85395	0.64033	0.65154	0	0.20979	26.4523	5.79777	2.85395	0.02364	0.64033	0.17307	0	0.2587	0.65154	0.20979
Healthy	0	0	0	0	0	1.13657	0	0.00655	0	0	0	0	1.13657	0	0	0	0	0	0.00655	0
Healthy	2.17349	0	0	5.23642	0.18758	0.15612	0.00256	0	1.7138	0.29606	0	5.23642	0.15612	0.01364	0.00256	0.08949	1.7138	0	0	0.29606
Healthy	5.97746	0	0	2.61653	0.07048	1.58654	0.34	0.28271	0.55764	0.17639	0	2.61653	1.58654	0.39719	0.34	0.48211	0.55764	0.27323	0.28271	0.17639
Healthy	3.50391	0.09981	0	1.20157	0	0.93048	0.51939	0.1905	0	0	0.09981	1.20157	0.93048	0.87631	0.51939	0.3583	0	0.61097	0.1905	0
Healthy	2.92042	0.01328	0	0	0	0.73978	0.43019	0.09643	0.95088	0.14512	0.01328	0	0.73978	0.26551	0.43019	0.38507	0.95088	0.20709	0.09643	0.14512
Healthy	3.4047	0	0	3.70146	0.52921	0.03239	1.67721	0.09444	0.77448	0.01227	0	3.70146	0.03239	1.12558	1.67721	0.25643	0.77448	0.46545	0.09444	0.01227
Healthy	1.43889	0	0	6.38478	0	0.19409	0.06374	0	0	0	0	6.38478	0.19409	0.01573	0.06374	0.03551	0	0	0	0
Healthy	0	0	0	0	0	0.18846	0	0	0	0	0	0	0.18846	0	0	0	0	0	0	0
Healthy	2.38036	0	0	3.61045	2.8803	0.32606	0.56451	0.06974	0	0.16812	0	3.61045	0.32606	0.96456	0.56451	0.20371	0	0.06101	0.06974	0.16812
Healthy	0	0	0	0	0	0.02773	0.01863	0.01274	0	0	0	0	0.02773	0.09105	0.01863	0.01794	0	0	0.01274	0
Healthy	0.51508	0	0.50521	0	0	0.35646	0.02058	0.03177	0	0	0	0	0.35646	0.14689	0.02058	0.12538	0	0	0.03177	0
Healthy	0	7.42671	0	0.67267	0.54614	1.83505	0	0	0.44476	0.05326	7.42671	0.67267	1.83505	1.88463	0	0	0.44476	0	0	0.05326
Healthy	0.03579	0	0	3.37828	0	2.18411	0	0	0	0	0	3.37828	2.18411	1.06288	0	0	0	0	0	0
Healthy	1.95917	0	0	4.44353	15.6428	1.8025	0.92226	0.11062	0.067	0.22964	0	4.44353	1.8025	0.60527	0.92226	0.64062	0.067	0.45839	0.11062	0.22964
Healthy	0.91554	0	0	4.1818	0.32705	0.06129	0.31703	0	0	0.15438	0	4.1818	0.06129	0.47844	0.31703	0.06819	0	0.06578	0	0.15438
Healthy	0	0	0	2.56053	0	1.23277	0	0	0	0	0	2.56053	1.23277	2.53167	0	0	0	0	0	0
Healthy	14.9951	0	0	0.46476	3.21156	0.40197	0.44587	0.01693	0	0	0	0.46476	0.40197	0.22579	0.44587	0.53306	0	0.26968	0.01693	0
Healthy	1.42931	0	0	6.22598	0	0.23742	0.0557	0	0	0	0	6.22598	0.23742	0.01556	0.0557	0.01221	0	0	0	0
Healthy	2.61541	0	0	0	1.04718	0.20105	1.94333	0	0	0	0	0	0.20105	1.87818	1.94333	4.10101	0	0.67153	0	0
Healthy	9.44655	0.0022	0	0	0	0.05105	0.56239	0.09467	0.48709	0	0.0022	0	0.05105	0.90362	0.56239	0.32815	0.48709	0.33065	0.09467	0
Healthy	1.46116	0	0	0	0	0.08193	0	0	0	0	0	0	0.08193	0.09816	0	0.17257	0	0.09228	0	0
Healthy	0.21343	0	0	1.7863	0	0.20381	0	0	0	0	0	1.7863	0.20381	0.02291	0	0	0	0	0	0
Healthy	1.40639	0	0	0.89589	0.60936	0.14231	0.0884	0	0	0	0	0.89589	0.14231	0.41483	0.0884	0.08257	0	0	0	0
Healthy	1.11679	0.15669	0	0	0.01981	0.20969	0.04157	0.06775	0	0.04067	0.15669	0	0.20969	0.45183	0.04157	0.26395	0	0.03044	0.06775	0.04067
Healthy	0.16418	8.48422	0	0	0	0.01807	0.91156	2.17641	0	0	8.48422	0	0.01807	0.27756	0.91156	0.00032	0	0	2.17641	0
Healthy	9.55	0	0	0	0	1.62393	1.94611	0.34365	0	0	0	0	1.62393	0.61162	1.94611	0.12913	0	0.55837	0.34365	0
Healthy	1.52905	0	0	3.89693	0	0.35965	1.40044	0.38652	0	0.13753	0	3.89693	0.35965	0.24044	1.40044	0.35495	0	0.678	0.38652	0.13753
Healthy	3.94545	0	0	9.5509	0.54243	0.17201	0.26674	0.22003	0	0.03883	0	9.5509	0.17201	0.17365	0.26674	1.27903	0	0.08256	0.22003	0.03883
Healthy	6.31094	0	0	1.10706	0	0.39585	0	0	0	0	0	1.10706	0.39585	0	0	0.10729	0	0.04752	0	0
Healthy	1.17275	0	0	0	0	0.1563	0	0	0	0	0	0	0.1563	0	0	0	0	0	0	0
Healthy	0	0.06453	0	0	0	0.76527	0.04396	0.24457	0	0	0.06453	0	0.76527	0.5447	0.04396	0.07178	0	0.2418	0.24457	0
Healthy	2.91926	0	0	1.61717	0	1.42142	0	0	0	0	0	1.61717	1.42142	0	0	0	0	0.03418	0	0
Healthy	0	0	0	2.7737	0	0.22834	0	0	8.79663	0	0	2.7737	0.22834	0.01641	0	0.03836	8.79663	0.06314	0	0
Healthy	6.15479	0.01157	0	2.84294	0.00715	0.76747	3.49856	0.13271	0	0.22887	0.01157	2.84294	0.76747	1.90813	3.49856	0.5729	0	1.07415	0.13271	0.22887
Healthy	0.24847	0	0	0	0	0.00976	0.0105	0	0	0	0	0	0.00976	0.28013	0.0105	0.02584	0	0.00456	0	0
Healthy	5.24714	2.41062	0	0.51114	0.05897	0.86068	0.29161	0.10568	0.01433	0	2.41062	0.51114	0.86068	0.19726	0.29161	0.2837	0.01433	0.14329	0.10568	0
Healthy	0.70755	2.1963	1.71706	0	1.97108	5.6824	2.37613	0.32591	0	0	2.1963	0	5.6824	0.85549	2.37613	4.65973	0	3.79291	0.32591	0
Healthy	0	0	0	0	0	0.06426	0.00425	0.01443	0	0	0	0	0.06426	0.13561	0.00425	0.01228	0	0	0.01443	0
Healthy	7.28422	0	0	0	0	0.17702	0.87265	0.30038	0	0	0	0	0.17702	0.03017	0.87265	0.33867	0	0	0.30038	0
Healthy	0	0	0	0	0	0.14695	0	0	0	0.21743	0	0	0.14695	0.3291	0	0.06136	0	0	0	0.21743
Healthy	0	0	0	0	0	0.17457	0	0	0	0.24355	0	0	0.17457	0.40561	0	0.08017	0	0	0	0.24355
Healthy	16.7736	0	0	1.24513	0	0.22845	0.08798	0.04889	0	0	0	1.24513	0.22845	0.05507	0.08798	0.27957	0	0.17733	0.04889	0
Healthy	1.1377	0	14.3107	1.10334	0	0.00558	0.02841	0	0	0.0745	0	1.10334	0.00558	0	0.02841	0.08851	0	0.07619	0	0.0745
Healthy	0.77652	0	0	3.76568	0	0.4621	0	0	0	0	0	3.76568	0.4621	0	0	0.04586	0	0	0	0
Healthy	0	0	0	6.29834	0	0.08284	0	0	0	0	0	6.29834	0.08284	0.65934	0	0	0	0	0	0
Healthy	3.13531	0	0	0	0	0.67689	0.46926	0.0846	0	0	0	0	0.67689	0.04138	0.46926	0.11858	0	0.02334	0.0846	0
Healthy	0.99371	0	0	0	0	0.00667	0.12008	1.2924	0	0	0	0	0.00667	0.09799	0.12008	0.0048	0	0	1.2924	0
Healthy	14.3866	0	0	0	0	0.03479	0	0	0	0	0	0	0.03479	1.01141	0	0	0	0	0	0
Healthy	1.73722	0	5.74858	1.08835	0	1.66588	0.57718	0	0	0	0	1.08835	1.66588	2.16324	0.57718	0.72437	0	0.9074	0	0
Healthy	0	0	0	0	0	0.01181	0.60249	3.30523	0	0	0	0	0.01181	0.09151	0.60249	0.90537	0	1.51285	3.30523	0
Healthy	2.49676	46.7432	0	0	0	1.953	0.79118	0.07734	0	0.42578	46.7432	0	1.953	0.79534	0.79118	0.66445	0	0.68194	0.07734	0.42578
Healthy	0.55787	6.74233	0	0.10558	0.57278	0.09344	0.9126	0.29749	1.42518	0.16582	6.74233	0.10558	0.09344	2.08235	0.9126	0.29839	1.42518	0	0.29749	0.16582
Healthy	0.56277	10.3598	0.18446	0.16735	0.1514	0.03854	0.13232	0	0.22733	0.02847	10.3598	0.16735	0.03854	0.50451	0.13232	0.1194	0.22733	0.08105	0	0.02847
Healthy	0.0614	0.03398	0	2.88154	0	0.01505	0.00178	0	0	0.081	0.03398	2.88154	0.01505	0.06154	0.00178	0.04908	0	0.01672	0	0.081
Healthy	0	0	0	1.9336	0	0.0062	0.15205	0	0	0.01499	0	1.9336	0.0062	0	0.15205	0.32589	0	0.07593	0	0.01499
Healthy	0.00314	0	0	0	0	0.10502	4.4287	0.18609	0	0	0	0	0.10502	10.72712	4.4287	2.75113	0	0.02256	0.18609	0
Healthy	5.39703	0	0	0	0.0264	0.74578	0	0	0	0	0	0	0.74578	0.39147	0	0.23815	0	0.04307	0	0
Healthy	1.25286	1.16567	0	3.19204	0.50179	0.36996	0.31153	0.07293	0	0	1.16567	3.19204	0.36996	1.36094	0.31153	0.38828	0	0.13667	0.07293	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.91598	0	3.20357	2.48727	0	0.1845	0	0	0	0.04561	0	2.48727	0.1845	0	0	0.1208	0	0.02254	0	0.04561
D050177	1.82485	4.66601	47.0704	4.41251	0	0.62117	0.14214	0.02156	0.73588	0.01194	4.66601	4.41251	0.62117	0.17448	0.14214	0.13239	0.73588	0.19052	0.02156	0.01194
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D050177	58.377	0	0	0	0	0	1.42362	0	0	0	0	0	0	0	1.42362	0	0	0	0	0
Healthy	0	0	0	1.99692	0	0	0	0	0	0	0	1.99692	0	1.07384	0	0	0	0	0	0
Healthy	0.04479	0	0	3.44508	0	0.01772	0	0	0	0	0	3.44508	0.01772	1.09337	0	0	0	0	0	0
Healthy	3.07213	0	0	12.6988	0	0.03468	0	0.081	0	0	0	12.6988	0.03468	0.04741	0	0.0369	0	0.18785	0.081	0
Healthy	2.7855	0	0	4.55688	0	2.18279	0.9071	0.50664	1.53566	0.06628	0	4.55688	2.18279	0.58052	0.9071	0.57222	1.53566	0.16507	0.50664	0.06628
Healthy	8.97331	40.4897	0	0.04919	0	0.58787	0.22621	0.089	0.30236	0	40.4897	0.04919	0.58787	0.47482	0.22621	0.1772	0.30236	0.09942	0.089	0
Healthy	3.48417	0	0	3.20915	0.0539	0	0.02999	0	0	0.02796	0	3.20915	0	0.04264	0.02999	0.03083	0	0	0	0.02796
Healthy	0.796	0	0	4.11412	0	0.26184	0	0.00253	2.92008	0.00691	0	4.11412	0.26184	0.00963	0	0.00565	2.92008	0.06279	0.00253	0.00691
Healthy	12.8683	3.81452	0	0.52356	0	0.00798	0.42331	0.01153	1.89042	0	3.81452	0.52356	0.00798	0.14049	0.42331	0.29976	1.89042	0.27478	0.01153	0
Healthy	0.30974	6.31915	34.1554	0.15386	0	0.31804	0.4936	0	0	0	6.31915	0.15386	0.31804	0.30085	0.4936	0.13302	0	0.1677	0	0
Healthy	5.80391	0	0.03154	5.44263	0	1.24791	0.32437	0.3205	0.28279	0	0	5.44263	1.24791	0.30949	0.32437	0.42806	0.28279	0.51624	0.3205	0
Healthy	3.5014	2.16791	44.5799	0.24568	3.7275	0.67365	0.18274	0	0.36175	0	2.16791	0.24568	0.67365	0.36316	0.18274	0.21301	0.36175	0.2229	0	0
Healthy	12.1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.33691	44.60152	0	0.74068	0	0.27629	0	0	0.31065	0.01168	44.60152	0.74068	0.27629	0.04387	0	0	0.31065	0	0	0.01168
Healthy	1.98558	44.6447	0	3.25057	0.09708	1.10457	0	0	0.30954	0	44.6447	3.25057	1.10457	0.37487	0	0	0.30954	0.00989	0	0
Healthy	7.84389	0	0	0	0	0.03261	1.40782	0.59193	0	0	0	0	0.03261	0.28899	1.40782	0.2328	0	0.01748	0.59193	0
Healthy	0.41305	0	0	0.62205	0	0.04471	3.00802	1.72021	0.15921	0	0	0.62205	0.04471	1.12486	3.00802	0.39242	0.15921	0.04477	1.72021	0
Healthy	8.17556	0	1.95283	0	1.62145	0.11433	0.15216	0.74149	0	0	0	0	0.11433	0.98337	0.15216	1.00121	0	0	0.74149	0
