group	Lachnospirales	Methanobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Desulfovibrionales	Peptostreptococcales
Healthy	1.16509	0		13.19395	1.16509	0.01649	9.6929	2.61847	0	0.18247	1.43645	0.70028	0
Healthy	12.81393	0		72.2396	12.81393	0	0	3.7966	0	0	0	0	0
Healthy	5.273	0		57.87419	5.273	0	0	0	0	0	0	0	0
Healthy	0.4486	0		5.66977	0.4486	1.80362	0	1.90338	0	0	0	0	0
Healthy	20.27984	0		47.14362	20.27984	0.81149	2.17012	1.05582	0	0.01918	0	0	0
Healthy	4.83874	0		69.59291	4.83874	0.38055	0	6.19992	0	0.32099	0	0	0
Healthy	12.61702	0		31.15765	12.61702	0.49944	0.0964	0	0	0.06025	0.563	0.04458	0
Healthy	13.11565	0		51.65985	13.11565	0.82039	0.0899	0.00592	0	0.01258	1.29762	0.00051	0.11958
Healthy	17.38151	0		58.6519	17.38151	0	0	0	0	0	0.01216	0.18026	0
Healthy	15.16349	0		25.65235	15.16349	22.04304	0	2.94971	0	0	1.40023	0	0
Healthy	15.18054	0.25495		56.36691	15.18054	0.72003	0	0.01238	0.25495	0.70675	0.265	0.01459	0
Healthy	9.4425	0		23.10218	9.4425	11.8332	0	0	0	0	0	0	0
Healthy	2.35283	0		67.84814	2.35283	0	0.07188	0.45471	0	0	0.36728	0.07128	0
Healthy	28.12663	0		0.27462	28.12663	8.54688	2.37596	0	0	0	0.82913	0	0
Healthy	3.85457	0		86.76674	3.85457	0.22932	1.50465	0	0	0.05465	0	0.09711	0
Healthy	4.10155	0		64.33041	4.10155	12.81222	2.60223	9.75913	0	0.02158	3.62446	0	0
Healthy	34.70995	1.65371		13.80299	34.70995	1.12117	0.13726	0	1.65371	1.20177	0.15464	0	0.43689
Healthy	5.38139	8.04332		34.77124	5.38139	0.17058	0	0	8.04332	0.1877	0.05765	0.6158	0
Healthy	26.06072	0		45.30071	26.06072	3.09685	0.13175	1.5604	0	0.66417	0.17073	0	0.21074
