group	Agathobacter_rectalis	Butyrivibrio_A_crossotus	Phocaeicola_dorei	Barnesiella_intestinihominis	Methanobrevibacter_A_smithii_A	Roseburia_sp900552665	Anaerobutyricum_hallii_A	Anaerostipes_hadrus	Coprobacter_fastidiosus	Paraprevotella_clara	Barnesiella_intestinihominis	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Coprobacter_fastidiosus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.14252	0	0	0	0	0	0	0
Healthy	0.84061	0	20.677	7.35564	0	7.93271	0.03901	0	0	0	7.35564	0.03901	0	0	0	0	0	0	0	0
Healthy	0.0936	0	0	2.87555	0	0	0	0	0	0	2.87555	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.36164	0	0	0	0	0.08388	0.02644	0.04106	0	0	0	0.02644	0.2016	0	0.0346	0	0.08539	0	0	0
Healthy	1.68331	0	26.7456	0	0	1.02529	0	0	0	0	0	0	0.18852	0	0.09171	0	0	0	0	0
Healthy	2.26567	0	0.34802	6.30253	0	0.2187	0.40751	0.19456	0.3189	0	6.30253	0.40751	0.10266	0.02276	0.92534	0	0.0635	0.3189	0	0
Healthy	1.06018	0	0.25799	0.70212	0	2.16874	1.72485	0.04689	0.03901	0.1108	0.70212	1.72485	0.75986	0	0.38312	0.1108	0.07791	0.03901	0.00966	0
Healthy	0	0	0.02253	0.20612	0	6.30298	0.00934	0	0.01988	1.03399	0.20612	0.00934	0.01959	0.04051	0	1.03399	0	0.01988	0.27924	0
Healthy	4.48339	0	0	0.85356	0	0.73951	0.02206	0	0	0	0.85356	0.02206	0	0	0.04749	0	0	0	0	0
Healthy	3.02158	0	0.15202	7.18629	0.25495	1.17882	1.42095	1.32326	0.0647	0.27519	7.18629	1.42095	1.36906	0.00016	0.17167	0.27519	0.02334	0.0647	0.08717	0.00569
Healthy	0	0	0	0	0	0	0	0	0	0.06222	0	0	0	0	0	0.06222	0	0	0	0
Healthy	0.64084	0	4.13809	0.70341	0	0	0	0	0	4.24032	0.70341	0	0.03434	2.95412	0.00959	4.24032	0	0	0.23281	0
Healthy	10.256	0	0	0	0	0	4.88893	0.12332	0	0	0	4.88893	3.57055	0	0.89372	0	0	0	0	0
Healthy	0	0	3.4002	2.58816	0	0	0	0	0	0	2.58816	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.00077	0	0	0	0	0	0	0.37284	0	0	0.00034	0	0	0.37284	0	0	0.07316	0
Healthy	13.233	0	0.94717	2.26721	1.65371	0.45731	0.84826	0.06935	0	0.12599	2.26721	0.84826	0.85011	0	0.5704	0.12599	0.18688	0	0.00133	0
Healthy	0.12388	0	0.91715	3.23818	7.62735	0.26506	1.87867	0.14538	0.12782	0.16171	3.23818	1.87867	0.47688	0	0.3129	0.16171	0.04456	0.12782	0.01634	0
Healthy	16.92	0	16.1355	0	0	0.68814	0.76782	0.63874	0	0	0	0.76782	0.18656	0	0.06629	0	0.16068	0	0	0
Healthy	0.66154	14.9664	0.01197	2.88649	0	0.31842	0.27361	0	0	0	2.88649	0.27361	0.24265	0	0.14561	0	0	0	0.07111	0
Healthy	7.41907	0.00869	3.63779	3.20139	0	0.8801	1.01074	0.07996	0	0	3.20139	1.01074	0.71108	0	0.33164	0	0.10095	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01328
Healthy	2.99815	0	0.13229	3.74906	0.78317	0.56035	1.75281	0.13678	0	0	3.74906	1.75281	0.44142	0	0.41498	0	0.166	0	0	0
