f	Enterobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Coriobacteriaceae	Veillonellaceae	Lactobacillaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Ruminococcaceae	Tannerellaceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Desulfovibrionaceae	Coprobacteraceae
Healthy	0.986454180272142	-5	-0.738784727731408	-5	0.105820041248875	-5	-5	-0.794362640520571	-5	0.951376380098069	0.0880190793238638	0.573929341329467	0.481229012021988	-5	-0.529192738698152	-5	-5	-0.154722075245364	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.74783028473047	-0.295652121429059	0.0290345782176112	0.925511656050378	0.866621056253241	-1.28075160155205	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.72534398472439	-0.83374754804584	0.111165021757667	0.235912072547043	0.458722433800222	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.753566207633706	-5	0.437435029969223	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.169411331314856	-1.71692502526453	-5	-5	0.0235939977382082	-5	-5	-5	1.54219842077457	1.01469774850903	0.731861020341784	0.289985611272195	-5	0.783824284719325	-5	-5	-5	-5
Healthy	-5	-5	-0.493494967595128	-5	-5	-5	-5	-5	-5	1.75217425969463	1.03859473133614	0.282816901350496	0.201765708466026	-5	-0.796070062755374	-5	-0.255026763964733	-5	-5
Healthy	-1.01587791713889	-1.47781668238131	-1.21997087266266	-5	-0.277942228668536	-5	-1.98088370955293	-1.44708854978349	-5	1.26817390882452	0.564158104275546	0.346734281891791	0.137043790184323	0.799515610671236	0.430258930332081	-5	-0.0191833724103408	-1.35076252765039	-0.496331862454351
Healthy	-1.07381195089279	-1.77572598570574	-1.89997426989214	-5	0.0957480250442235	-2.22694530663574	-1.35349824996839	-1.29260016886675	-5	1.66858633555195	0.378241599497053	0.947517043534692	0.199497375490972	-0.15358247041197	-2.52578373592374	-5	-0.488049829624501	-3.2839966563652	-1.4087127349415
Healthy	-5	-1.71579493229821	-5	-5	-1.91470942176993	-5	-5	-5	-5	1.71748543082935	0.635095523184499	1.03946607275992	0.0638922893443259	-0.685858796739429	-1.96617430604669	-5	-0.111511609537604	-0.744076541267099	-1.70136521687556
Healthy	-5	-5	-5	-5	0.123949591081827	-5	-1.07083661679494	-1.15521228117215	-5	1.14982516181725	0.997676399751038	1.23456308954756	-0.13519829994923	-0.0687608572473792	0.254888708775947	-5	-5	-5	-5
Healthy	-5	-1.28291227507298	-0.151066137078684	-3.2518119729938	-5	-1.90692869362394	-5	-0.576737737901385	-2.39577394691553	1.4934093905568	1.09551072269155	0.762234291084241	0.557037765882228	0.856505343348038	0.253345275820191	-0.593527949534324	0.279566570280012	-1.83564714421556	-1.18902860017779
Healthy	-5	1.1269644402306	-5	-5	-5	-5	-5	-5	-5	1.30116134987843	-5	0.580112621451532	0.490821992900465	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.79425445905734	-5	-5	-0.92161569125181	-1.86296254521049	-5	-0.606389703644708	-5	1.60898703950159	1.31658086566086	0.883883918596591	0.687245284100021	-0.152785287758974	-1.54959691384463	-5	-0.043010837158594	-1.14697138528701	-5
Healthy	0.375840952758352	-0.462747745749293	-5	-5	-5	-5	-0.961538803821436	-0.0813721327862228	-5	-0.56125202309777	-5	0.222784080594466	-5	-5	-5	-5	-5	-5	-5
Healthy	0.177438375806556	-0.917789283398757	-1.26233037264336	-5	-5	-5	-5	-5	-5	1.86971428135975	0.193614295428634	0.382818216177063	0.931182153667447	0.412992798904376	-1.03207779326948	-5	-5	-1.01269132626882	-5
Healthy	0.411570887173071	-0.368150537840182	-2.74957999769111	-1.70289634985074	0.559244509416333	0.989411548229137	-0.861981660385737	-5	-1.58972903574782	1.44342916133512	-5	-5	1.56312270394849	-5	-5	-5	-5	-5	-5
Healthy	-1.23425695857896	0.0509285617774432	0.0798249722168164	-5	-0.857798309836487	-5	-0.436008977413847	-1.79805693659835	-5	0.930091305931401	-0.174957061303584	1.1242997452926	0.307457527335506	0.355493663995184	-1.2954205503037	0.218461978766149	-0.488892380040732	-5	-5
Healthy	-5	-0.544591684757714	-1.10275789719463	-0.963411023244595	-1.34553466647985	-5	-5	-1.9017024635053	-5	1.24487037494188	0.462311130315528	0.572649753445391	0.445867190898078	0.51030232728663	0.0757512871934784	0.90543588720795	0.910634008346503	-0.210553262965207	-0.893367211079884
D065626	1.68459601940469	-0.765204411779357	0.0169456363657827	-5	-0.680810630795109	-2.00656376950239	-0.759276070681154	-5	-1.57971411505808	1.25675646042661	-0.641265872801989	0.129686670418197	0.466119931307752	-1.97061622231479	-1.37099838071301	0.455230220580505	-0.543375896492936	-5	-5
Healthy	-5	-1.10773839308446	-0.177714206154696	-5	-0.767664722914346	-5	-5	-5	-5	1.62736421774254	0.423257345715005	0.776149613960153	-0.600620521847371	-5	-1.23942674605561	-5	-5	-5	-5
Healthy	1.22703810241191	-5	-0.147812887895141	-5	-0.300812902691751	-5	-5	-5	-5	1.23899524129313	0.753411451864336	0.806758421702446	0.0154352054250808	0.46037156183465	-5	-5	-5	-5	-5
Healthy	-1.30381841283148	-1.06570359318059	-2.18309616062434	-5	0.357871984039196	-1.25328797748334	-2.3585258894959	-0.543679524625626	-5	1.39981973061662	0.719140619695214	1.40267260647622	-0.547922086510154	0.505339940604518	-1.6076548446388	-5	0.104521252618329	-5	-5
Healthy	-1.59142087459133	-5	-1.64474009447262	-5	-5	-5	-5	-5	-5	1.58969118064357	0.837224058796229	1.00806037456492	0.383400614175564	-5	-0.804017369311642	-5	-5	-0.620730750526353	-5
Healthy	1.33662401418808	0.091846264855252	0.563071516383439	-0.545246580034338	-0.4678318683063	-1.36101184065632	-5	-5	-5	1.07148359866083	0.557983341397184	0.782903837869686	-0.0870131533003444	0.573923549338574	-0.888233566947438	-0.0989123766000521	-0.0631445861152637	-1.34208406317004	-5
Healthy	-5	-0.559515979176601	0.301743823124463	-5	-0.146356534676225	0.236479318104428	-5	-1.9613798380503	-5	1.09518156034197	-0.910094888560602	0.970598824129357	-1.6714165502858	-5	-0.914495360573502	-5	-5	-5	-5
Healthy	0.811735155939139	-0.722757627218642	-1.7830427926389	-5	-5	-5	-5	-5	-5	1.25872082968974	0.935657378806223	0.541474401590156	0.25912301859412	-0.230984736872638	-1.30874164186689	-0.265824467335679	-5	-0.142926951366022	-5
Healthy	-5	-1.48558507941963	-0.334456530644509	-5	-0.856080061614163	-5	-5	-5	-5	1.476263690349	0.506372423814909	0.710355188383346	-0.741482440083547	-5	-1.5480601306349	-5	-0.0417659044388201	-5	-5
Healthy	-0.981674054597079	-5	-5	-5	-5	-5	-5	-5	-5	1.75222451277329	0.374574226824472	-0.325662531844354	0.919187437099777	-0.963411023244595	-0.492656952400061	-5	-5	-5	-1.70487291474781
