group	Phytobacter	Streptococcus	Ruminococcus_B	Dorea	Clostridium_A	Lactococcus	Longicatena	Rothia	Gordonibacter	Eggerthella	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Blautia_A	Paraprevotella	Dorea	Anaerostipes	Haemophilus_D	Ruminococcus_C
Healthy	9.6929	0	0	0	0.03006	0	0.12586	0	0.14655	0.014	0	0.79042	0.08449	0	0.14883	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.3478	0	0.03901	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.81395	0.42454	0	0	0	0	0	0	0
Healthy	0	0	0.1082	0	0	0	0	0	0	0	0	0	0.13261	0	0	0	0	0	0	0
Healthy	0	0.67699	0	0.0346	0	0	0	0	0	0	0	0.0977	0.09083	0.02644	0.2016	0	0.0346	0.12645	2.17012	0.20678
Healthy	0	0	1.66869	0.09171	0.55695	0	0.30369	0	0	0	0	0.09156	0.04318	0	0.18852	0	0.09171	0	0	0
Healthy	0.0964	0.00766	0.00021	0.92636	0.38897	0.02561	0.00153	0	0.03571	0	3.75336	2.80546	2.12831	0.40751	0.10266	0	0.92636	0.25806	0	0
Healthy	0.03109	0.01675	0.09418	0.38312	0.04136	0	0.00832	0	0	0	0	0.13689	1.42967	1.72485	0.75986	0.12046	0.38312	0.1248	0.00554	0.01466
Healthy	0	0.01923	0.0054	0	0	0	0	0	0	0	3.98774	0.08128	0.05673	0.00934	0.01959	1.31323	0	0	0	0.20723
Healthy	0	0	0	0.04749	0	0	0	0	0	0	0	0.40802	0.06939	0.02206	0	0	0.04749	0	0	0
Healthy	0	0.05212	0.0538	0.17167	0.65078	0	0.0148	0.00401	0	0.02036	19.4628	1.26581	0.48892	1.42095	1.36906	0.36236	0.17167	1.3466	0	0.17788
Healthy	0	13.39566	3.07044	0	0	0	0	0	0	0	0.30528	2.60602	0	0	0	0.06222	0	0	0	0
Healthy	0	0.01605	0	0.00959	0	0	0	0	0	0	0	0.08537	0.13189	0	0.03434	4.47313	0.00959	0	0.07188	0.0877
Healthy	1.55766	0	0.35078	0.89372	0	0.34454	0	0	0	0	0	2.43353	3.36158	4.88893	3.57055	0	0.89372	0.12332	0	0
Healthy	0.27181	0.12083	0	0	0.14318	0	0	0	0	0	0	1.09986	2.4787	0	0	0	0	0	0	0
Healthy	2.53141	0.42839	3.954	0	0	0	0.00177	0.02571	0	0	0	0.14303	0	0	0.00034	0.446	0	0	0.02253	0
Healthy	0.05193	0.94356	0.19024	0.5704	0.05227	0.18085	0	0	0	0	0	0.13095	2.86464	0.84826	0.85011	0.12732	0.5704	0.25623	0.07896	0.31285
Healthy	0	0.28536	0	0.31862	0.01217	0	0.01055	0	0.01167	0	6.10752	0.09113	0.66391	1.87867	0.52498	0.17805	0.31862	0.18994	0	0.05991
D065626	47.1965	0.1717	0.04317	0.07088	0.37555	0	0	0.02631	0	0	0	0.09388	0.06508	0.07783	0.30953	0	0.07088	0.2602	0.02112	0
Healthy	0	0.07802	0	0.06629	0	0	0	0	0	0	0	0.11804	0.04738	0.76782	0.18656	0	0.06629	0.79942	0.13175	0
Healthy	16.867	0	0	0.14561	0	0	0.21262	0	0	0	9.43514	0.94544	0.11305	0.27361	0.24265	0.07111	0.14561	0	0	0
Healthy	0.04967	0.07901	0	0.33164	0.0107	0.00694	0.00655	0	0.01356	0	0.00036	1.78543	1.5754	1.01074	0.71108	0	0.33164	0.18091	0	0.09501
Healthy	0.02561	0	0	0.04521	0	0	0.00492	0	0	0	0	0.02543	5.96047	0	0.0389	0	0.04521	0	0	0
Healthy	21.7082	0.45475	0.11064	0.41498	0.02199	0.78075	0	0	0	0	0	0.0276	1.35038	1.75281	0.44142	0	0.41498	0.30278	0.34385	0.0368
Healthy	0	0.27572	0	0.19194	0	0	0	0	0	0	0	0.21263	0.60223	1.33005	0.7084	0	0.19194	1.55228	2.16962	0
Healthy	6.48238	0.18933	0	0	0.0306	0	0	0	0	0	6.96922	1.68104	1.83281	0	0	0.51247	0	0	0	0
Healthy	0	0.03268	0	0	0	0	0	0	0	0	0	0.31833	0.15367	0.63437	0.33974	0	0	0.15727	0.09129	0
Healthy	0.1043	0	0	0.09646	0	0	0	0	0	0	32.1609	0.08068	0.21058	0.10803	0.01568	0	0.09646	0.04517	0	0
Healthy	0.09972	0	0	0.00182	0.10615	0	0	0	0.00211	0	0	0.73155	0.10483	0.06532	0.09136	0	0.00182	0.13423	0	0
Healthy	0	0.18538	0.01067	0.00875	0.0289	0	0.1217	0	0	0	0	0.021	2.8838	3.71069	0.69925	0	0.00875	0.77688	0	0
Healthy	0.00443	0.12713	0	0.17812	0.07635	0.02515	0.00141	0.00039	0.00019	0	0.00254	1.21371	0.67854	0.17246	0.21407	0.8987	0.17812	0.08035	0.10937	0.00159
Healthy	0.21745	0.17857	0.60085	0.42828	0	0	0	0	0	0.05192	0	0.11753	0.19353	1.00185	0.80681	0	0.42828	0.98045	0	0
Healthy	0	0.00266	0	0.13036	0	0	0	0	0.01691	0	0	0.00251	0.71649	0.47205	0.32854	0	0.13036	0.35696	0	0.00421
Healthy	0	0	0	0.0769	0.11266	0.02484	0.0123	0	0.05095	0.01763	0	0.02034	0.16007	0.01676	0.12906	0	0.0769	0	0	0
Healthy	0	0.1302	0	0.2587	0	0	0	0	0	0	26.4523	2.85395	0.02364	0.64033	0.17307	0	0.2587	0.65154	0	0.00599
Healthy	0.91721	0.00104	19.5045	0	0	0	0	0	0	0.03312	0	1.13657	0	0	0	0	0	0.00655	0	0
Healthy	0.05728	0.01765	0	0	0	0	0	0	0	0	0	0.15612	0.01364	0.00256	0.08949	1.7138	0	0	0.02082	0
Healthy	0.09665	0.56085	0	0.27323	0.11644	0	0	0	0	0	0	1.58654	0.39719	0.34	0.48211	0.55764	0.27323	0.28271	0	0
Healthy	0	1.04933	0	0.61097	0.00619	0	0	0	0	0	0.09981	0.93048	0.87631	0.51939	0.3583	0	0.61097	0.1905	0.05059	0
Healthy	0.00903	0.01657	0.0148	0.20709	0.01243	0	0.00016	0	0	0	0.01328	0.73978	0.26551	0.43019	0.38507	0.95088	0.20709	0.09643	0	0
Healthy	0.00336	0.08606	0.01194	0.46545	0.03382	0.00232	0.00364	0	0.01241	0	0	0.03239	1.12558	1.67721	0.25643	0.77448	0.46545	0.09444	0.00195	0
