s	Phytobacter_ursingii	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Ruminococcus_B_gnavus	Clostridium_A_leptum	Streptococcus_thermophilus	Streptococcus_sp004166885	Rothia_sp001808955	Eggerthella_lenta	Longicatena_innocuum	Faecalibacterium_sp900539885	Alistipes_putredinis	Phocaeicola_dorei	Lachnospira_eligens_B	Barnesiella_intestinihominis	Alistipes_shahii	Alistipes_obesi	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Coprobacter_fastidiosus
Healthy	0.986454180272142	-5	-5	-5	-1.52186657189948	-5	-5	-5	-1.85356186471423	-1.89177334362507	-0.932780311025859	-0.71810344975394	-5	-2.94692155651658	-5	0.0142264293892295	-5	-5	-2.24641694110709	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.0290345782176112	-0.295652121429059	1.31548773778824	-1.51272018355693	0.866621056253241	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.83374754804584	-5	0.35488025902298	0.458722433800222	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	0.437435029969223	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.795635795378995	-0.329225520373139	-5	-5	-1.51144928349956	-1.75522823850471	-5	-5	-5	0.714882755706848	0.90899568475106	-5	-0.0654964988499561	-5	0.217052067154388	-0.440656048967849	-5	-5	-5
Healthy	-5	-5	-5	0.222378265944956	-0.254175994059787	-5	-5	-5	-5	-5	0.282816901350496	0.968106396806949	1.42725250750727	-5	-5	0.171907737413988	-5	-0.255026763964733	-0.796070062755374	-5
Healthy	-1.01587791713889	-2.2298847052129	-2.74714696902011	-3.65757731917779	-0.410072728013453	-5	-5	-5	-5	-2.81247927916354	0.238843668857748	0.216377057988173	-0.45838331848761	-0.9456934341516	0.799515610671236	-0.857454115913723	-1.03390522055383	-0.0199784384524009	-2.44369749923271	-0.496331862454351
Healthy	-1.50723961097316	-2.08196966321512	-2.431798275933	-1.02599520310259	-1.38331447910449	-3.30980391997149	-5	-5	-5	-2.86327943284359	0.946700292266965	0.338133641034116	-0.58838029403677	-1.46826569072345	-0.15358247041197	-0.912786658768385	-1.21381665443237	-0.488049829624501	-2.52578373592374	-1.4087127349415
Healthy	-5	-1.71579493229821	-5	-2.26680273489343	-5	-5	-5	-5	-5	-5	0.488691698316941	0.590282172556603	-1.64704608828991	1.00059500994851	-0.685858796739429	-0.713768145971447	-0.795635795378995	-0.119575160934349	-1.96617430604669	-1.70136521687556
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.23456308954756	0.680245743900049	-5	0.506349416162233	-0.0687608572473792	-5	0.438997763148884	-5	-5	-5
Healthy	-5	-1.33170728955178	-5	-1.26913700795351	-0.186559129026798	-2.67778070526608	-5	-2.39577394691553	-1.69100897099984	-3.15490195998574	0.746494859898562	1.01536855858652	-0.818070704496767	-0.39099287211093	0.856505343348038	-0.555549219206082	-5	0.279566570280012	-1.76220500672608	-1.18902860017779
Healthy	-5	-5	-5	0.487202029612374	-5	1.02953027662577	-5	-5	-5	-5	0.580112621451532	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.79425445905734	-5	-5	-5	-5	-5	-5	-5	-5	0.878878964949977	1.18995355729989	0.61680098147796	-0.469685017679468	-0.152785287758974	-0.350489900848029	0.468022226494091	-0.0646993502973799	-1.54959691384463	-5
Healthy	0.192475455673402	-5	-5	-0.454952795598816	-5	-5	-5	-5	-5	-5	0.179186853493301	-5	-5	0.127813998776952	-5	-5	-5	-5	-5	-5
Healthy	-0.565718591863699	-5	-5	-5	-0.844087310914094	-0.917789283398757	-5	-5	-5	-5	0.382818216177063	-5	0.53150574028484	-5	0.412992798904376	-1.11890078161098	-1.04315950984077	-5	-1.03207779326948	-5
