"Health",21090
"NA",6969
"healthy",2862
"Healthy",2598
"Pouchitis",1886
"Irritable Bowel Syndrome",1866
"Infant, Premature",1400
"Migraine Disorders",1235
"Lung Diseases",1228
"Autoimmune Diseases",1154
"Enterocolitis, Necrotizing",1135
"Thyroid (USP)",1091
"Diarrhea",1066
"Obesity",906
"CRC",843
"Crohn Disease",747
"Bipolar Disorder",697
"Constipation Type 1 2",683
"Colitis, Ulcerative",601
"Depression",599
"Schizophrenia",582
"Constipation",561
"Colonic Diseases",544
"Colorectal Neoplasms",531
"Normal",526
"Fungal overgrowth",482
"Inflammatory Bowel Disease",452
"Hematologic Neoplasms",420
"Precursor Cell Lymphoblastic Leukemia-Lymphoma",406
"Attention Deficit Disorder with Hyperactivity",393
"Stomach Neoplasms",388
"Clostridium difficile colitis",388
"Diabetes Mellitus, Type 2",356
"CDI",346
"Inflammatory Bowel Diseases",322
"Cardiovascular Diseases",310
"Diarrhea Type 5 6 7",289
"Intestinal bacteria overgrow",269
"Liver Cirrhosis",268
"Diabetes Mellitus",252
"Non-alcoholic Fatty Liver Disease",244
"Clostridium Infections",240
"Autism Spectrum Disorder",235
"Arthritis, Juvenile",233
"Adenoma",223
"Pregnant",207
"Hepatitis B virus",206
"Celiac Disease",192
"Autistic Disorder",189
"Liver Diseases",186
"IBS",178
"Parkinson Disease",176
"IBD",171
"Small adenoma",171
"Prediabetic State",166
"Kidney Diseases",163
"Hypertension",156
"Uveomeningoencephalitic Syndrome",150
"Anorexia",147
"Asthma",145
"T1D",142
"breast cancer.",133
"Gastroesophageal Reflux",129
"HIV",124
"Melanoma",122
"Infant, Low Birth Weight",116
"Epilepsy",108
"Cystic Fibrosis",105
"Carcinoma",104
"GDM",98
"Spondylitis, Ankylosing",97
"Arthritis, Rheumatoid",96
"Helicobacter pylori",92
"Large adenoma",87
"Diabetes Mellitus, Type 1",86
"Clostridium difficile infection",85
"Clostridium difficile",84
"Gallstones",82
"HIV-1",79
"Short Bowel Syndrome",78
"Tuberculosis",76
"Metabolic Syndrome",72
"Dermatitis",70
"Overweight",66
"T2D",63
"nonIBD",55
"Rotavirus Infections",50
"Fussy",49
"Blastocystis Infections",48
"Severe Acute Malnutrition",46
"ASD",43
"Graves Disease",39
"Premature",39
"Cholangitis, Sclerosing",38
"Dermatitis, Atopic",38
"recurrent Clostridium difficile infection",38
"REM Sleep Behavior Disorder",37
"Hashimoto Disease",35
"Arthritis, Reactive",32
"Psoriasis",32
"Cough",32
"TD",31
"Thyroid Neoplasms",30
"PANDAS",30
"HIV Infections",30
"Symptomatic atherosclerosis",27
"Spondylarthritis",27
" Crohn’s disease",26
"IBS-D",25
"Behcet's disease",24
"ulcerative colitis",22
"Clostridium difficile infectio",20
"Adenomatous Polyps",20
"healthy control for CDI",20
"IBS-mix",18
"Moderate Chronic Periodontitis",16
"Gingivitis",16
"Renal Dialysis",15
"Peritoneal Dialysis",15
"Anemia, Sickle Cell",14
"Alzheimer Disease",13
"Phenylketonurias",11
"Fever",9
"Severe Chronic Periodontitis",9
"Periodontal Health",8
"Ear Infection",8
"Shiga-Toxigenic Escherichia coli",7
"Fever, Fussy",6
"Fever, Ear Infection, Cough",6
"Eczema",5
"IBS-C",5
"Cough, Eczema",5
"CD",4
"sepsis",4
"Ear Infection, Cough",3
"Fussy, Cough",3
"Fever, Ear Infection",2
"Fever, Ear Infection, Fussy",2
"Obesity, Morbid",2
"c.808delC p.Arg270Glu fs 288X",1
"Fever, Fussy, Cough",1
"1148 del47",1
"R294X MECP2",1
"deletion of exons 3,4 MECP2 gene",1
"Fussy, Cough, Eczema",1
"Fever, Cough",1
"Fever, Cough, Eczema",1
"RSV infection, Cough, Eczema",1
"Fever, Fussy, Cough, Eczema",1
"Ear Infection, RSV infection, Cough",1
"Fever, Ear Infection, Fussy, Cough",1
"R106W MECP2",1
"R306C MECP2",1
"R255X MECP2",1
"R133C MECP2",1
