ID	Group
SRR5279221	D013167
SRR5279281	D013167
SRR5279302	D013167
SRR5279241	D013167
SRR5279263	D013167
SRR5279310	D013167
SRR5279256	D013167
SRR5279303	D013167
SRR5279276	D013167
SRR5279229	D013167
SRR5279282	D013167
SRR5279242	D013167
SRR5279233	D013167
SRR5279278	D013167
SRR5279239	D013167
SRR5279308	D013167
SRR5279246	D013167
SRR5279232	D013167
SRR5279219	D013167
SRR5279285	D013167
SRR5279237	D013167
SRR5279235	D013167
SRR5279257	D013167
SRR5279286	D013167
SRR5279309	D013167
SRR5279304	D013167
SRR5279227	D013167
SRR5279238	D013167
SRR5279254	D013167
SRR5279280	D013167
SRR5279258	D013167
SRR5279228	D013167
SRR5279218	D013167
SRR5279259	D013167
SRR5279283	D013167
SRR5279300	D013167
SRR5279226	D013167
SRR5279294	D013167
SRR5279248	D013167
SRR5279267	D013167
SRR5279295	D013167
SRR5279225	D013167
SRR5279268	D013167
SRR5279217	D013167
SRR5279290	D013167
SRR5279236	D013167
SRR5279298	D013167
SRR5279297	D013167
SRR5279266	D013167
SRR5279230	D013167
SRR5279312	D013167
SRR5279284	D013167
SRR5279296	D013167
SRR5279273	D013167
SRR5279260	D013167
SRR5279269	D013167
SRR5279247	D013167
SRR5279253	D013167
SRR5279223	D013167
SRR5279252	D013167
SRR5279220	D013167
SRR5279293	D013167
SRR5279262	D013167
SRR5279265	D013167
SRR5279261	D013167
SRR5279243	D013167
SRR5279291	D013167
SRR5279277	D013167
SRR5279272	D013167
SRR5279255	D013167
SRR5279249	D013167
SRR5279287	D013167
SRR5279307	D013167
SRR5279311	D013167
SRR5279222	D013167
SRR5279289	D013167
SRR5279274	D013167
SRR5279271	D013167
SRR5279299	D013167
SRR5279313	D013167
SRR5279306	D013167
SRR5279224	D013167
SRR5279275	D013167
SRR5279292	D013167
SRR5279240	D013167
SRR5279288	D013167
SRR5279301	D013167
SRR5279264	D013167
SRR5279231	D013167
SRR5279244	D013167
SRR5279234	D013167
SRR5279245	D013167
SRR5279270	D013167
SRR5279279	D013167
SRR5279250	D013167
SRR5279251	D013167
ERR321207	Healthy
ERR719788	Healthy
ERR011148	Healthy
ERR479374	Healthy
ERR209687	Healthy
SRR961718	Healthy
SRR5091579	Healthy
ERR525750	Healthy
ERR719194	Healthy
ERR719924	Healthy
SRR5275407	Healthy
SRR5903372	Healthy
SRR6474280	Healthy
ERR209461	Healthy
ERR479324	Healthy
ERR209657	Healthy
ERR719519	Healthy
ERR481088	Healthy
