Species	Genus	Phylum	Enrichemnt
Aeromonas_hydrophila	Aeromonas	Proteobacteria	Case
unclassified_Selenomonas_sp._oral_taxon_149	Selenomonas	Firmicutes	Case
Centipeda_periodontii	Selenomonas	Firmicutes	Case
Dehalococcoides_mccartyi	Dehalococcoides	Chloroflexi	Control
unclassified_Peptoniphilus_sp._oral_taxon_375	Anaerococcus	Firmicutes	Control
Anaerococcus_tetradius	Anaerococcus	Firmicutes	Control
Selenomonas_noxia	Selenomonas	Firmicutes	Case
Bacteroidetes_oral_taxon_274	Unknown	Bacteroidetes	Control
Jonquetella_anthropi	Jonquetella	Synergistetes	Case
unclassified_Prevotella_sp._oral_taxon_317	Prevotella	Bacteroidetes	Case
Olsenella_uli	Olsenella	Actinobacteria	Control
Lactobacillus_amylolyticus	Lactobacillus	Firmicutes	Control
Pseudoramibacter_alactolyticus	Pseudoramibacter	Firmicutes	Control
Simonsiella_muelleri	Haemophilus	Proteobacteria	Case
Dehalogenimonas_lykanthroporepellens	Dehalogenimonas	Chloroflexi	Case
Acidovorax_ebreus	Acidovorax	Proteobacteria	Control
unclassified_Veillonella_sp._oral_taxon_780	Veillonella	Firmicutes	Control
Campylobacter_rectus	Campylobacter	Proteobacteria	Control
Mannheimia_haemolytica	Mannheimia	Proteobacteria	Control
Dichelobacter_nodosus	Dichelobacter	Proteobacteria	Control
Lactobacillus_coryniformis	Lactobacillus	Firmicutes	Case
Dialister_micraerophilus	Dialister	Firmicutes	Case
Alicycliphilus_denitrificans	Alicycliphilus	Proteobacteria	Case
Photobacterium_damselae	Photobacterium	Proteobacteria	Case
Listeria_seeligeri	Listeria	Firmicutes	Control
Atopobium_rimae	Atopobium	Actinobacteria	Control
Serratia_plymuthica/odorifera	Serratia	Proteobacteria	Case
Dysgonomonas_mossii	Dysgonomonas	Bacteroidetes	Case
Streptococcus_porcinus	Streptococcus	Firmicutes	Control
unclassified_Geobacter_sp._M18	Unknown	Proteobacteria	Case
Serratia_proteamaculans	Serratia	Proteobacteria	Control
Anaerococcus_prevotii	Anaerococcus	Firmicutes	Control
Vibrio_harveyi	Vibrio	Proteobacteria	Control
Azospira_oryzae	Azospira	Proteobacteria	Control
Oenococcus_oeni	Oenococcus	Firmicutes	Control
Lactobacillus_farciminis	Lactobacillus	Firmicutes	Control
Neisseria_elongata	Neisseria	Proteobacteria	Case
Pectobacterium_wasabiae	Pectobacterium	Proteobacteria	Case
Neisseria_lactamica	Neisseria	Proteobacteria	Control
Enterococcus_italicus	Enterococcus	Firmicutes	Control
Acinetobacter_nosocomialis	Acinetobacter	Proteobacteria	Case
unclassified_gamma_proteobacterium_HdN1	Unknown	Proteobacteria	Control
Anaerococcus_hydrogenalis	Anaerococcus	Firmicutes	Control
Propionibacterium_acnes	Propionibacterium	Actinobacteria	Control
Weissella_paramesenteroides	Weissella	Firmicutes	Case
Corynebacterium_striatum	Corynebacterium	Actinobacteria	Case
Ralstonia_pickettii	Ralstonia	Proteobacteria	Control
unclassified_Clostridium_sp._BNL1100	Clostridium	Firmicutes	Case
Providencia_stuartii	Escherichia	Proteobacteria	Control
Streptococcus_parauberis	Streptococcus	Firmicutes	Control
