	K01703	K01064	K02113	K19824	K13275
Aeromonas_hydrophila	0.386415144635625	0.00200121878729753	0.780620039501071	0.394272249682674	0.727306461875925
unclassified_Selenomonas_sp._oral_taxon_149	0.84199694101959	0.38591777041384	0.66959476794922	0.323112359008216	0.540337751591054
Centipeda_periodontii	0.586932124893524	0.580267512346864	0.966742370557069	0.822234141000746	0.660060345438823
Dehalococcoides_mccartyi	0.873335959454375	0.728295330816345	0.96877929365326	0.567049062505256	0.497579833422307
unclassified_Peptoniphilus_sp._oral_taxon_375	0.304083290117142	0.0321877519751452	0.0704604865757554	0.589866105775358	0.509551999512079
Anaerococcus_tetradius	0.436932724414839	0.0911879752610782	0.039529248082812	0.259400858872775	0.452404951382362
Selenomonas_noxia	0.341483447038362	0.641545785423785	0.789879087596717	0.134786992399194	0.469046182810674
Bacteroidetes_oral_taxon_274	0.24858025111033	0.0792891700825342	0.188600596197754	0.664060237073836	0.230610672959386
Jonquetella_anthropi	0.0341187457260366	0.912354354888274	0.0797924637167471	0.823593153381143	0.324125362790914
unclassified_Prevotella_sp._oral_taxon_317	0.102977579121544	0.954520114309931	0.158477000935753	0.832881700115333	0.280881372268512
Olsenella_uli	0.330895629377357	0.00644166991182749	0.152797832283818	0.773034387508449	0.371597486299157
Lactobacillus_amylolyticus	0.970597370425936	0.628906294907718	0.328049304416229	0.376908042386399	0.694295108808919
Pseudoramibacter_alactolyticus	0.551960402651764	0.735564039697459	0.42526709190624	0.921355788073275	0.0587801382673441
Simonsiella_muelleri	0.914029534789218	5.45141969641172e-05	0.188657296346117	0.849267702435373	0.134441830364509
Dehalogenimonas_lykanthroporepellens	0.0775783353208626	1.67066271927752e-08	0.135765650249738	0.320021787460232	0.74577020497676
Acidovorax_ebreus	0.824029110978257	0.69526591835419	0.467592876778841	0.46547872453614	0.692957723083694
unclassified_Veillonella_sp._oral_taxon_780	0.597600901936254	0.0515443663215938	0.0575065237882355	0.387405689596015	0.602350911177435
Campylobacter_rectus	0.0968739698390457	0.000144199524961586	0.0800811028156039	0.0107313640328641	0.335664255156754
Mannheimia_haemolytica	0.95816520114641	0.639767610162293	0.901291430841843	0.514646641370062	0.301883526644883
Dichelobacter_nodosus	0.227463004392402	0.6125164670701	0.457138038036741	0.825240401213619	0.545858275271094
Lactobacillus_coryniformis	0.673856375303382	0.750787464552324	0.970040289729297	0.646663475396241	0.726797321015137
Dialister_micraerophilus	0.230596480158308	0.00985161262756806	0.0689393488963068	0.632858225533736	0.988696023734134
Alicycliphilus_denitrificans	0.653158593540762	0.379795948660346	0.10183104745554	0.00767116896081133	0.836208817990395
Photobacterium_damselae	0.668956841514434	0.692617490552218	0.444731076579788	0.546326121876534	0.970097772088572
Listeria_seeligeri	0.857842126375863	0.634709544207794	0.814944966386784	0.967199715025967	0.651557504707585
Atopobium_rimae	0.712252308624366	0.865272849758125	0.212233590018659	0.951449990939617	0.233997129491155
Serratia_plymuthica/odorifera	0.441548004971165	0.0182244702402645	0.413734099923032	0.106874541514848	0.433189012213932
Dysgonomonas_mossii	0.475302193538556	0.283362036733965	0.0623690955151355	0.171523982108613	0.513051829477912
Streptococcus_porcinus	0.906406595852848	0.9443898904258	0.964194006180439	0.349425437729652	0.655158124472868
unclassified_Geobacter_sp._M18	0.830723454099145	0.880101506728817	0.301860933891122	0.520208685748086	0.762018565884627
Serratia_proteamaculans	0.858370860548392	0.69436821869698	0.365780327024162	0.347740876126279	0.764756243213719
Anaerococcus_prevotii	0.509866441508704	0.403246337347174	0.769498268061287	0.257269658222957	0.569068512494056
Vibrio_harveyi	0.966249809104575	0.385145167684182	0.167582405538647	0.228074793221124	0.527721391971997
Azospira_oryzae	0.551319405808087	0.411645301963554	0.102843684782451	0.741281862173461	0.026566936292745
Oenococcus_oeni	0.731279050904855	0.571803812491486	0.259455679373919	0.0958871954422362	0.582834471561474
Lactobacillus_farciminis	0.618038850998681	0.709709455422436	0.54776573251951	0.900616236385141	0.639925172042008
Neisseria_elongata	0.366477915608169	0.00978344953459476	0.196185900536244	0.120456361478953	0.180898742437519
Pectobacterium_wasabiae	0.477273783741857	0.636770578557563	0.116525326421514	0.497116170519023	0.305530668884979
Neisseria_lactamica	0.707314785124789	1.14337851142565e-06	0.205419902763877	0.784858971093315	0.0318970823312026
Enterococcus_italicus	0.0201099445169342	0.748503580162576	0.0138180251176254	0.879904153195316	0.163219985370742
Acinetobacter_nosocomialis	0.0820264274763975	0.00546636351823282	0.418868206060924	0.0692522406681118	0.790035829229506
unclassified_gamma_proteobacterium_HdN1	0.834280740787543	0.815744846479576	0.402806600568672	0.568321204394211	0.685148149473074
Anaerococcus_hydrogenalis	0.329921482539464	0.0430267508413347	0.266703305577644	0.192610250693489	0.245324280817693
Propionibacterium_acnes	0.347577512271182	0.0350584892554135	0.025326197068043	0.563661711808455	0.160104185750727
Weissella_paramesenteroides	0.208043351311761	0.708696026539282	0.132622767412054	0.726054624967469	0.366818762894887
Corynebacterium_striatum	0.0783527713895786	0.607328411403688	0.000200509354554512	0.264254463561598	2.73420369070188e-05
Ralstonia_pickettii	0.462609900283277	0.662909995488498	0.0638037147977588	0.828670300377025	0.0106901496856309
unclassified_Clostridium_sp._BNL1100	0.964324610012018	0.5362009002553	0.742454909711224	0.543082867776425	0.820176049781585
Providencia_stuartii	0.823421872807841	0.566197866522767	0.199917673487642	0.0350238805920675	0.63181498591091
Streptococcus_parauberis	0.466887020312953	0.99567232437356	0.0455071822946529	0.844718166009653	0.636026087903716
