project_name,clinical,subtype,rna,Consensus,ABIS,CIBERSORTX,CIBERSORT,ConsensusTME,EPIC,ImmuCellAI,MCPcounter,quanTIseq,TIMER,xCell
TCGA_ACC,true,true,true,true,false,true,true,true,true,true,true,true,true,true
TCGA_CHOL,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_DLBC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_ESCA,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_GBM,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_HNSC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_KICH,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_KIRC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_KIRP,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_LGG,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_LUAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_LUSC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_MESO,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_PAAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_PCPG,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_PRAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_READ,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_STAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_TGCT,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_THCA,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_THYM,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_UCS,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_UVM,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE143383,false,false,false,false,false,false,false,false,false,false,false,false,false,false
